calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Alameda (SF),LDA,Dsl,PMBW,DSL,PM,0.0008321137484943455
2017,July,Alameda (SF),LDA,Dsl,PMBW,DSL,PM10,0.0008321137484943455
2017,July,Alameda (SF),LDA,Dsl,PMBW,DSL,PM2_5,0.000291239811973021
2017,July,Alameda (SF),LDA,Dsl,PMTW,DSL,PM,0.0009533993288181046
2017,July,Alameda (SF),LDA,Dsl,PMTW,DSL,PM10,0.0009533993288181046
2017,July,Alameda (SF),LDA,Dsl,PMTW,DSL,PM2_5,0.00023834983220452616
2017,July,Alameda (SF),LDA,Dsl,RUNEX,DSL,CO,0.05367289484503037
2017,July,Alameda (SF),LDA,Dsl,RUNEX,DSL,NH3,0.0003694421340345523
2017,July,Alameda (SF),LDA,Dsl,RUNEX,DSL,NOx,0.0505713909421549
2017,July,Alameda (SF),LDA,Dsl,RUNEX,DSL,PM,0.0039039527766585045
2017,July,Alameda (SF),LDA,Dsl,RUNEX,DSL,PM10,0.0038805290599985523
2017,July,Alameda (SF),LDA,Dsl,RUNEX,DSL,PM2_5,0.003712659090602237
2017,July,Alameda (SF),LDA,Dsl,RUNEX,DSL,SOx,0.0002829233475787206
2017,July,Alameda (SF),LDA,Dsl,RUNEX,DSL,TOG,0.006518675694211981
2017,July,Alameda (SF),LDA,Elec,PMBW,ELEC,PM,0.0023952929182675217
2017,July,Alameda (SF),LDA,Elec,PMBW,ELEC,PM10,0.0023952929182675217
2017,July,Alameda (SF),LDA,Elec,PMBW,ELEC,PM2_5,0.0008383525213936326
2017,July,Alameda (SF),LDA,Elec,PMTW,ELEC,PM,0.004396438973380726
2017,July,Alameda (SF),LDA,Elec,PMTW,ELEC,PM10,0.004396438973380726
2017,July,Alameda (SF),LDA,Elec,PMTW,ELEC,PM2_5,0.0010991097433451814
2017,July,Alameda (SF),LDA,Gas,DIURN,CAT,TOG,1.3225341886505473
2017,July,Alameda (SF),LDA,Gas,DIURN,NCAT,TOG,0.025507533594221803
2017,July,Alameda (SF),LDA,Gas,HOTSOAK,CAT,TOG,0.39784354462835825
2017,July,Alameda (SF),LDA,Gas,HOTSOAK,NCAT,TOG,0.01819258258010525
2017,July,Alameda (SF),LDA,Gas,PMBW,CAT,PM,0.15950014319442501
2017,July,Alameda (SF),LDA,Gas,PMBW,CAT,PM10,0.15950014319442501
2017,July,Alameda (SF),LDA,Gas,PMBW,CAT,PM2_5,0.05582505011804876
2017,July,Alameda (SF),LDA,Gas,PMBW,NCAT,PM,6.676835055152784e-05
2017,July,Alameda (SF),LDA,Gas,PMBW,NCAT,PM10,6.676835055152784e-05
2017,July,Alameda (SF),LDA,Gas,PMBW,NCAT,PM2_5,2.336892269303475e-05
2017,July,Alameda (SF),LDA,Gas,PMTW,CAT,PM,0.18252552427181998
2017,July,Alameda (SF),LDA,Gas,PMTW,CAT,PM10,0.18252552427181998
2017,July,Alameda (SF),LDA,Gas,PMTW,CAT,PM2_5,0.045631381067954994
2017,July,Alameda (SF),LDA,Gas,PMTW,NCAT,PM,7.159681184364221e-05
2017,July,Alameda (SF),LDA,Gas,PMTW,NCAT,PM10,7.159681184364221e-05
2017,July,Alameda (SF),LDA,Gas,PMTW,NCAT,PM2_5,1.7899202960910552e-05
2017,July,Alameda (SF),LDA,Gas,RUNEX,CAT,CO,28.64400403410343
2017,July,Alameda (SF),LDA,Gas,RUNEX,CAT,NH3,0.6574511169898695
2017,July,Alameda (SF),LDA,Gas,RUNEX,CAT,NOx,2.157612643891485
2017,July,Alameda (SF),LDA,Gas,RUNEX,CAT,PM,0.038242027320911656
2017,July,Alameda (SF),LDA,Gas,RUNEX,CAT,PM10,0.034191584101804555
2017,July,Alameda (SF),LDA,Gas,RUNEX,CAT,PM2_5,0.031439500328034234
2017,July,Alameda (SF),LDA,Gas,RUNEX,CAT,SOx,0.06958457332517068
2017,July,Alameda (SF),LDA,Gas,RUNEX,CAT,TOG,0.805839986436061
2017,July,Alameda (SF),LDA,Gas,RUNEX,NCAT,CO,0.6156018910244856
2017,July,Alameda (SF),LDA,Gas,RUNEX,NCAT,NH3,5.3619589942970685e-05
2017,July,Alameda (SF),LDA,Gas,RUNEX,NCAT,NOx,0.03950679240526569
2017,July,Alameda (SF),LDA,Gas,RUNEX,NCAT,PM,0.000535481590377078
2017,July,Alameda (SF),LDA,Gas,RUNEX,NCAT,PM10,0.0005113861314428416
2017,July,Alameda (SF),LDA,Gas,RUNEX,NCAT,PM2_5,0.00048648274813092423
2017,July,Alameda (SF),LDA,Gas,RUNEX,NCAT,SOx,5.419003176325754e-05
2017,July,Alameda (SF),LDA,Gas,RUNEX,NCAT,TOG,0.049055490032029414
