calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Alpine (GBV),LDA,Dsl,PMBW,DSL,PM,3.969067872761018e-06
2017,July,Alpine (GBV),LDA,Dsl,PMBW,DSL,PM10,3.969067872761018e-06
2017,July,Alpine (GBV),LDA,Dsl,PMBW,DSL,PM2_5,1.3891737554663568e-06
2017,July,Alpine (GBV),LDA,Dsl,PMTW,DSL,PM,3.641454343102041e-06
2017,July,Alpine (GBV),LDA,Dsl,PMTW,DSL,PM10,3.641454343102041e-06
2017,July,Alpine (GBV),LDA,Dsl,PMTW,DSL,PM2_5,9.103635857755103e-07
2017,July,Alpine (GBV),LDA,Dsl,RUNEX,DSL,CO,0.00021487239821446088
2017,July,Alpine (GBV),LDA,Dsl,RUNEX,DSL,NH3,1.4110631535400138e-06
2017,July,Alpine (GBV),LDA,Dsl,RUNEX,DSL,NOx,0.00022489397474615618
2017,July,Alpine (GBV),LDA,Dsl,RUNEX,DSL,PM,1.4704471888126272e-05
2017,July,Alpine (GBV),LDA,Dsl,RUNEX,DSL,PM10,1.4616245056797514e-05
2017,July,Alpine (GBV),LDA,Dsl,RUNEX,DSL,PM2_5,1.3983952765608084e-05
2017,July,Alpine (GBV),LDA,Dsl,RUNEX,DSL,SOx,1.0262316542258908e-06
2017,July,Alpine (GBV),LDA,Dsl,RUNEX,DSL,TOG,2.616259242986584e-05
2017,July,Alpine (GBV),LDA,Elec,PMBW,ELEC,PM,4.80257824583533e-06
2017,July,Alpine (GBV),LDA,Elec,PMBW,ELEC,PM10,4.80257824583533e-06
2017,July,Alpine (GBV),LDA,Elec,PMBW,ELEC,PM2_5,1.6809023860423655e-06
2017,July,Alpine (GBV),LDA,Elec,PMTW,ELEC,PM,8.814975929501804e-06
2017,July,Alpine (GBV),LDA,Elec,PMTW,ELEC,PM10,8.814975929501804e-06
2017,July,Alpine (GBV),LDA,Elec,PMTW,ELEC,PM2_5,2.203743982375451e-06
2017,July,Alpine (GBV),LDA,Gas,DIURN,CAT,TOG,0.005797909020576731
2017,July,Alpine (GBV),LDA,Gas,DIURN,NCAT,TOG,0.0001465469263227054
2017,July,Alpine (GBV),LDA,Gas,HOTSOAK,CAT,TOG,0.0017127997987114417
2017,July,Alpine (GBV),LDA,Gas,HOTSOAK,NCAT,TOG,0.00010387811860389775
2017,July,Alpine (GBV),LDA,Gas,PMBW,CAT,PM,0.0009309292643028029
2017,July,Alpine (GBV),LDA,Gas,PMBW,CAT,PM10,0.0009309292643028029
2017,July,Alpine (GBV),LDA,Gas,PMBW,CAT,PM2_5,0.000325825242505981
2017,July,Alpine (GBV),LDA,Gas,PMBW,NCAT,PM,5.994517594745289e-07
2017,July,Alpine (GBV),LDA,Gas,PMBW,NCAT,PM10,5.994517594745289e-07
2017,July,Alpine (GBV),LDA,Gas,PMBW,NCAT,PM2_5,2.0980811581608516e-07
2017,July,Alpine (GBV),LDA,Gas,PMTW,CAT,PM,0.0008544017594203355
2017,July,Alpine (GBV),LDA,Gas,PMTW,CAT,PM10,0.0008544017594203355
2017,July,Alpine (GBV),LDA,Gas,PMTW,CAT,PM2_5,0.00021360043985508388
2017,July,Alpine (GBV),LDA,Gas,PMTW,NCAT,PM,5.158230809434036e-07
2017,July,Alpine (GBV),LDA,Gas,PMTW,NCAT,PM10,5.158230809434036e-07
2017,July,Alpine (GBV),LDA,Gas,PMTW,NCAT,PM2_5,1.289557702358509e-07
2017,July,Alpine (GBV),LDA,Gas,RUNEX,CAT,CO,0.1554089650980581
2017,July,Alpine (GBV),LDA,Gas,RUNEX,CAT,NH3,0.0031184483235727526
2017,July,Alpine (GBV),LDA,Gas,RUNEX,CAT,NOx,0.011267867706013797
2017,July,Alpine (GBV),LDA,Gas,RUNEX,CAT,PM,0.0001934727861585456
2017,July,Alpine (GBV),LDA,Gas,RUNEX,CAT,PM10,0.0001729944965106601
2017,July,Alpine (GBV),LDA,Gas,RUNEX,CAT,PM2_5,0.00015907692037258462
2017,July,Alpine (GBV),LDA,Gas,RUNEX,CAT,SOx,0.00032240591710318316
2017,July,Alpine (GBV),LDA,Gas,RUNEX,CAT,TOG,0.0041408665270231265
2017,July,Alpine (GBV),LDA,Gas,RUNEX,NCAT,CO,0.004024603672850681
2017,July,Alpine (GBV),LDA,Gas,RUNEX,NCAT,NH3,4.0821398429602814e-07
2017,July,Alpine (GBV),LDA,Gas,RUNEX,NCAT,NOx,0.00028431514947666563
2017,July,Alpine (GBV),LDA,Gas,RUNEX,NCAT,PM,3.685156328188835e-06
2017,July,Alpine (GBV),LDA,Gas,RUNEX,NCAT,PM10,3.5116095464691687e-06
2017,July,Alpine (GBV),LDA,Gas,RUNEX,NCAT,PM2_5,3.336998202689033e-06
2017,July,Alpine (GBV),LDA,Gas,RUNEX,NCAT,SOx,3.794158901038507e-07
2017,July,Alpine (GBV),LDA,Gas,RUNEX,NCAT,TOG,0.0003387592588154561
2017,July,Alpine (GBV),LDA,Gas,RUNLOSS,CAT,TOG,0.004321147367663305
2017,July,Alpine (GBV),LDA,Gas,RUNLOSS,NCAT,TOG,9.016653741835182e-05
2017,July,Alpine (GBV),LDA,Gas,STREX,CAT,CO,0.07161153960754199
