calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Amador (MC),LDA,Dsl,PMBW,DSL,PM,2.579133903147674e-05
2017,July,Amador (MC),LDA,Dsl,PMBW,DSL,PM10,2.579133903147674e-05
2017,July,Amador (MC),LDA,Dsl,PMBW,DSL,PM2_5,9.026968661016856e-06
2017,July,Amador (MC),LDA,Dsl,PMTW,DSL,PM,2.8537608412893123e-05
2017,July,Amador (MC),LDA,Dsl,PMTW,DSL,PM10,2.8537608412893123e-05
2017,July,Amador (MC),LDA,Dsl,PMTW,DSL,PM2_5,7.134402103223281e-06
2017,July,Amador (MC),LDA,Dsl,RUNEX,DSL,CO,0.001846114001297118
2017,July,Amador (MC),LDA,Dsl,RUNEX,DSL,NH3,1.1058320090671142e-05
2017,July,Amador (MC),LDA,Dsl,RUNEX,DSL,NOx,0.002340837407158132
2017,July,Amador (MC),LDA,Dsl,RUNEX,DSL,PM,0.00014939439377251317
2017,July,Amador (MC),LDA,Dsl,RUNEX,DSL,PM10,0.00014849802740987816
2017,July,Amador (MC),LDA,Dsl,RUNEX,DSL,PM2_5,0.00014207406847766007
2017,July,Amador (MC),LDA,Dsl,RUNEX,DSL,SOx,7.78252856048446e-06
2017,July,Amador (MC),LDA,Dsl,RUNEX,DSL,TOG,0.00024947127619507226
2017,July,Amador (MC),LDA,Elec,PMBW,ELEC,PM,4.0042441209397e-06
2017,July,Amador (MC),LDA,Elec,PMBW,ELEC,PM10,4.0042441209397e-06
2017,July,Amador (MC),LDA,Elec,PMBW,ELEC,PM2_5,1.4014854423288948e-06
2017,July,Amador (MC),LDA,Elec,PMTW,ELEC,PM,7.345561845947563e-06
2017,July,Amador (MC),LDA,Elec,PMTW,ELEC,PM10,7.345561845947563e-06
2017,July,Amador (MC),LDA,Elec,PMTW,ELEC,PM2_5,1.8363904614868908e-06
2017,July,Amador (MC),LDA,Gas,DIURN,CAT,TOG,0.045653312806723856
2017,July,Amador (MC),LDA,Gas,DIURN,NCAT,TOG,0.0014152011352489369
2017,July,Amador (MC),LDA,Gas,HOTSOAK,CAT,TOG,0.010541900289282934
2017,July,Amador (MC),LDA,Gas,HOTSOAK,NCAT,TOG,0.000712606700892272
2017,July,Amador (MC),LDA,Gas,PMBW,CAT,PM,0.0029161827571196723
2017,July,Amador (MC),LDA,Gas,PMBW,CAT,PM10,0.0029161827571196723
2017,July,Amador (MC),LDA,Gas,PMBW,CAT,PM2_5,0.0010206639649918852
2017,July,Amador (MC),LDA,Gas,PMBW,NCAT,PM,4.243095440698408e-06
2017,July,Amador (MC),LDA,Gas,PMBW,NCAT,PM10,4.243095440698408e-06
2017,July,Amador (MC),LDA,Gas,PMBW,NCAT,PM2_5,1.4850834042444422e-06
2017,July,Amador (MC),LDA,Gas,PMTW,CAT,PM,0.0032184786659963383
2017,July,Amador (MC),LDA,Gas,PMTW,CAT,PM10,0.0032184786659963383
2017,July,Amador (MC),LDA,Gas,PMTW,CAT,PM2_5,0.0008046196664990846
2017,July,Amador (MC),LDA,Gas,PMTW,NCAT,PM,4.436233866855761e-06
2017,July,Amador (MC),LDA,Gas,PMTW,NCAT,PM10,4.436233866855761e-06
2017,July,Amador (MC),LDA,Gas,PMTW,NCAT,PM2_5,1.1090584667139404e-06
2017,July,Amador (MC),LDA,Gas,RUNEX,CAT,CO,0.9940792361888517
2017,July,Amador (MC),LDA,Gas,RUNEX,CAT,NH3,0.012399764218382132
2017,July,Amador (MC),LDA,Gas,RUNEX,CAT,NOx,0.05952305888764191
2017,July,Amador (MC),LDA,Gas,RUNEX,CAT,PM,0.0007595278439722564
2017,July,Amador (MC),LDA,Gas,RUNEX,CAT,PM10,0.0006793363642098655
2017,July,Amador (MC),LDA,Gas,RUNEX,CAT,PM2_5,0.0006247834520940531
2017,July,Amador (MC),LDA,Gas,RUNEX,CAT,SOx,0.0012971640590059255
2017,July,Amador (MC),LDA,Gas,RUNEX,CAT,TOG,0.02262533858547389
2017,July,Amador (MC),LDA,Gas,RUNEX,NCAT,CO,0.04292905777653441
