calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Colusa (SV),LDA,Dsl,PMBW,DSL,PM,3.203800314224065e-05
2017,July,Colusa (SV),LDA,Dsl,PMBW,DSL,PM10,3.203800314224065e-05
2017,July,Colusa (SV),LDA,Dsl,PMBW,DSL,PM2_5,1.1213301099784228e-05
2017,July,Colusa (SV),LDA,Dsl,PMTW,DSL,PM,4.090937553459278e-05
2017,July,Colusa (SV),LDA,Dsl,PMTW,DSL,PM10,4.090937553459278e-05
2017,July,Colusa (SV),LDA,Dsl,PMTW,DSL,PM2_5,1.0227343883648195e-05
2017,July,Colusa (SV),LDA,Dsl,RUNEX,DSL,CO,0.0025831409480009692
2017,July,Colusa (SV),LDA,Dsl,RUNEX,DSL,NH3,1.585237847634812e-05
2017,July,Colusa (SV),LDA,Dsl,RUNEX,DSL,NOx,0.0026345793534204563
2017,July,Colusa (SV),LDA,Dsl,RUNEX,DSL,PM,0.0001746046582892829
2017,July,Colusa (SV),LDA,Dsl,RUNEX,DSL,PM10,0.0001735570303395472
2017,July,Colusa (SV),LDA,Dsl,RUNEX,DSL,PM2_5,0.000166049030033108
2017,July,Colusa (SV),LDA,Dsl,RUNEX,DSL,SOx,1.1968502174866128e-05
2017,July,Colusa (SV),LDA,Dsl,RUNEX,DSL,TOG,0.00030318092697093844
2017,July,Colusa (SV),LDA,Elec,PMBW,ELEC,PM,3.576469163942357e-05
2017,July,Colusa (SV),LDA,Elec,PMBW,ELEC,PM10,3.576469163942357e-05
2017,July,Colusa (SV),LDA,Elec,PMBW,ELEC,PM2_5,1.2517642073798249e-05
2017,July,Colusa (SV),LDA,Elec,PMTW,ELEC,PM,6.563767791519896e-05
2017,July,Colusa (SV),LDA,Elec,PMTW,ELEC,PM10,6.563767791519896e-05
2017,July,Colusa (SV),LDA,Elec,PMTW,ELEC,PM2_5,1.640941947879974e-05
2017,July,Colusa (SV),LDA,Gas,DIURN,CAT,TOG,0.07840410710042418
2017,July,Colusa (SV),LDA,Gas,DIURN,NCAT,TOG,0.0016290867688085226
2017,July,Colusa (SV),LDA,Gas,HOTSOAK,CAT,TOG,0.01797000955047729
2017,July,Colusa (SV),LDA,Gas,HOTSOAK,NCAT,TOG,0.0008282565849915993
2017,July,Colusa (SV),LDA,Gas,PMBW,CAT,PM,0.006376234948367113
2017,July,Colusa (SV),LDA,Gas,PMBW,CAT,PM10,0.006376234948367113
2017,July,Colusa (SV),LDA,Gas,PMBW,CAT,PM2_5,0.0022316822319284895
2017,July,Colusa (SV),LDA,Gas,PMBW,NCAT,PM,2.3002107738172005e-06
2017,July,Colusa (SV),LDA,Gas,PMBW,NCAT,PM10,2.3002107738172005e-06
2017,July,Colusa (SV),LDA,Gas,PMBW,NCAT,PM2_5,8.0507377083602e-07
2017,July,Colusa (SV),LDA,Gas,PMTW,CAT,PM,0.008134721691754339
