calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Contra Costa (SF),LDA,Dsl,PMBW,DSL,PM,0.0004633230810727716
2017,July,Contra Costa (SF),LDA,Dsl,PMBW,DSL,PM10,0.0004633230810727716
2017,July,Contra Costa (SF),LDA,Dsl,PMBW,DSL,PM2_5,0.0001621630783754701
2017,July,Contra Costa (SF),LDA,Dsl,PMTW,DSL,PM,0.0005136997827772047
2017,July,Contra Costa (SF),LDA,Dsl,PMTW,DSL,PM10,0.0005136997827772047
2017,July,Contra Costa (SF),LDA,Dsl,PMTW,DSL,PM2_5,0.00012842494569430116
2017,July,Contra Costa (SF),LDA,Dsl,RUNEX,DSL,CO,0.02524163677021681
2017,July,Contra Costa (SF),LDA,Dsl,RUNEX,DSL,NH3,0.00019905860877578223
2017,July,Contra Costa (SF),LDA,Dsl,RUNEX,DSL,NOx,0.023321804933246874
2017,July,Contra Costa (SF),LDA,Dsl,RUNEX,DSL,PM,0.0016318324712387543
2017,July,Contra Costa (SF),LDA,Dsl,RUNEX,DSL,PM10,0.0016220414764113217
2017,July,Contra Costa (SF),LDA,Dsl,RUNEX,DSL,PM2_5,0.001551872680148055
2017,July,Contra Costa (SF),LDA,Dsl,RUNEX,DSL,SOx,0.0001501294558634751
2017,July,Contra Costa (SF),LDA,Dsl,RUNEX,DSL,TOG,0.0028031132683249277
2017,July,Contra Costa (SF),LDA,Elec,PMBW,ELEC,PM,0.000731886515453602
2017,July,Contra Costa (SF),LDA,Elec,PMBW,ELEC,PM10,0.000731886515453602
2017,July,Contra Costa (SF),LDA,Elec,PMBW,ELEC,PM2_5,0.0002561602804087606
2017,July,Contra Costa (SF),LDA,Elec,PMTW,ELEC,PM,0.0013430628904634177
2017,July,Contra Costa (SF),LDA,Elec,PMTW,ELEC,PM10,0.0013430628904634177
2017,July,Contra Costa (SF),LDA,Elec,PMTW,ELEC,PM2_5,0.00033576572261585444
2017,July,Contra Costa (SF),LDA,Gas,DIURN,CAT,TOG,0.761419426335995
2017,July,Contra Costa (SF),LDA,Gas,DIURN,NCAT,TOG,0.017581075487304258
2017,July,Contra Costa (SF),LDA,Gas,HOTSOAK,CAT,TOG,0.21907907088064738
2017,July,Contra Costa (SF),LDA,Gas,HOTSOAK,NCAT,TOG,0.011776780755544523
2017,July,Contra Costa (SF),LDA,Gas,PMBW,CAT,PM,0.09267762768043525
2017,July,Contra Costa (SF),LDA,Gas,PMBW,CAT,PM10,0.09267762768043525
2017,July,Contra Costa (SF),LDA,Gas,PMBW,CAT,PM2_5,0.032437169688152336
2017,July,Contra Costa (SF),LDA,Gas,PMBW,NCAT,PM,2.461576666753639e-05
2017,July,Contra Costa (SF),LDA,Gas,PMBW,NCAT,PM10,2.461576666753639e-05
2017,July,Contra Costa (SF),LDA,Gas,PMBW,NCAT,PM2_5,8.615518333637735e-06
2017,July,Contra Costa (SF),LDA,Gas,PMTW,CAT,PM,0.10223004222950983
2017,July,Contra Costa (SF),LDA,Gas,PMTW,CAT,PM10,0.10223004222950983
2017,July,Contra Costa (SF),LDA,Gas,PMTW,CAT,PM2_5,0.02555751055737746
2017,July,Contra Costa (SF),LDA,Gas,PMTW,NCAT,PM,2.546001111616356e-05
2017,July,Contra Costa (SF),LDA,Gas,PMTW,NCAT,PM10,2.546001111616356e-05
2017,July,Contra Costa (SF),LDA,Gas,PMTW,NCAT,PM2_5,6.36500277904089e-06
2017,July,Contra Costa (SF),LDA,Gas,RUNEX,CAT,CO,16.598890847671544
2017,July,Contra Costa (SF),LDA,Gas,RUNEX,CAT,NH3,0.36523123060471135
2017,July,Contra Costa (SF),LDA,Gas,RUNEX,CAT,NOx,1.1682923390288646
2017,July,Contra Costa (SF),LDA,Gas,RUNEX,CAT,PM,0.020629520241164837
