calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Del Norte (NC),LDA,Dsl,PMBW,DSL,PM,2.3485889997144826e-05
2017,July,Del Norte (NC),LDA,Dsl,PMBW,DSL,PM10,2.3485889997144826e-05
2017,July,Del Norte (NC),LDA,Dsl,PMBW,DSL,PM2_5,8.220061499000688e-06
2017,July,Del Norte (NC),LDA,Dsl,PMTW,DSL,PM,2.6550720995827777e-05
2017,July,Del Norte (NC),LDA,Dsl,PMTW,DSL,PM10,2.6550720995827777e-05
2017,July,Del Norte (NC),LDA,Dsl,PMTW,DSL,PM2_5,6.637680248956944e-06
2017,July,Del Norte (NC),LDA,Dsl,RUNEX,DSL,CO,0.0022649854478183737
2017,July,Del Norte (NC),LDA,Dsl,RUNEX,DSL,NH3,1.0288401437217729e-05
2017,July,Del Norte (NC),LDA,Dsl,RUNEX,DSL,NOx,0.0022209130904541374
2017,July,Del Norte (NC),LDA,Dsl,RUNEX,DSL,PM,0.00015411798504425323
2017,July,Del Norte (NC),LDA,Dsl,RUNEX,DSL,PM10,0.00015319327713398764
2017,July,Del Norte (NC),LDA,Dsl,RUNEX,DSL,PM2_5,0.00014656620377708472
2017,July,Del Norte (NC),LDA,Dsl,RUNEX,DSL,SOx,8.485473316248162e-06
2017,July,Del Norte (NC),LDA,Dsl,RUNEX,DSL,TOG,0.000277889399170854
2017,July,Del Norte (NC),LDA,Elec,PMBW,ELEC,PM,8.231218492580231e-06
2017,July,Del Norte (NC),LDA,Elec,PMBW,ELEC,PM10,8.231218492580231e-06
2017,July,Del Norte (NC),LDA,Elec,PMBW,ELEC,PM2_5,2.8809264724030802e-06
2017,July,Del Norte (NC),LDA,Elec,PMTW,ELEC,PM,1.5103517898952974e-05
2017,July,Del Norte (NC),LDA,Elec,PMTW,ELEC,PM10,1.5103517898952974e-05
2017,July,Del Norte (NC),LDA,Elec,PMTW,ELEC,PM2_5,3.7758794747382434e-06
2017,July,Del Norte (NC),LDA,Gas,DIURN,CAT,TOG,0.02767227635024136
2017,July,Del Norte (NC),LDA,Gas,DIURN,NCAT,TOG,0.0007070094490774624
2017,July,Del Norte (NC),LDA,Gas,HOTSOAK,CAT,TOG,0.008492728036942811
2017,July,Del Norte (NC),LDA,Gas,HOTSOAK,NCAT,TOG,0.0005158813872890972
2017,July,Del Norte (NC),LDA,Gas,PMBW,CAT,PM,0.002661303891767966
2017,July,Del Norte (NC),LDA,Gas,PMBW,CAT,PM10,0.002661303891767966
2017,July,Del Norte (NC),LDA,Gas,PMBW,CAT,PM2_5,0.000931456362118788
2017,July,Del Norte (NC),LDA,Gas,PMBW,NCAT,PM,2.6339152903233854e-06
2017,July,Del Norte (NC),LDA,Gas,PMBW,NCAT,PM10,2.6339152903233854e-06
2017,July,Del Norte (NC),LDA,Gas,PMBW,NCAT,PM2_5,9.218703516131851e-07
2017,July,Del Norte (NC),LDA,Gas,PMTW,CAT,PM,0.0030013981696489253
2017,July,Del Norte (NC),LDA,Gas,PMTW,CAT,PM10,0.0030013981696489253
2017,July,Del Norte (NC),LDA,Gas,PMTW,CAT,PM2_5,0.0007503495424122313
2017,July,Del Norte (NC),LDA,Gas,PMTW,NCAT,PM,2.8129469365382223e-06
2017,July,Del Norte (NC),LDA,Gas,PMTW,NCAT,PM10,2.8129469365382223e-06
2017,July,Del Norte (NC),LDA,Gas,PMTW,NCAT,PM2_5,7.032367341345556e-07
2017,July,Del Norte (NC),LDA,Gas,RUNEX,CAT,CO,0.6535176208470876
2017,July,Del Norte (NC),LDA,Gas,RUNEX,CAT,NH3,0.01145530513766867
2017,July,Del Norte (NC),LDA,Gas,RUNEX,CAT,NOx,0.06063375761632787
2017,July,Del Norte (NC),LDA,Gas,RUNEX,CAT,PM,0.0008869258736187844
2017,July,Del Norte (NC),LDA,Gas,RUNEX,CAT,PM10,0.0007930625726613694
2017,July,Del Norte (NC),LDA,Gas,RUNEX,CAT,PM2_5,0.0007292669480607115
2017,July,Del Norte (NC),LDA,Gas,RUNEX,CAT,SOx,0.0012151453948032608
2017,July,Del Norte (NC),LDA,Gas,RUNEX,CAT,TOG,0.024616608212246857
2017,July,Del Norte (NC),LDA,Gas,RUNEX,NCAT,CO,0.025850782628048918
2017,July,Del Norte (NC),LDA,Gas,RUNEX,NCAT,NH3,2.1401850818336336e-06
2017,July,Del Norte (NC),LDA,Gas,RUNEX,NCAT,NOx,0.0016088502190995345
2017,July,Del Norte (NC),LDA,Gas,RUNEX,NCAT,PM,2.284969981928816e-05
2017,July,Del Norte (NC),LDA,Gas,RUNEX,NCAT,PM10,2.180771988015966e-05
2017,July,Del Norte (NC),LDA,Gas,RUNEX,NCAT,PM2_5,2.0739294788216426e-05
2017,July,Del Norte (NC),LDA,Gas,RUNEX,NCAT,SOx,2.2298802193645985e-06
2017,July,Del Norte (NC),LDA,Gas,RUNEX,NCAT,TOG,0.002267240612281632
2017,July,Del Norte (NC),LDA,Gas,RUNLOSS,CAT,TOG,0.021624889983150767
2017,July,Del Norte (NC),LDA,Gas,RUNLOSS,NCAT,TOG,0.0004252266249532029
2017,July,Del Norte (NC),LDA,Gas,STREX,CAT,CO,0.3447099292413022
2017,July,Del Norte (NC),LDA,Gas,STREX,CAT,NOx,0.024020038221349987
2017,July,Del Norte (NC),LDA,Gas,STREX,CAT,PM,0.00016478259845791642
2017,July,Del Norte (NC),LDA,Gas,STREX,CAT,PM10,0.00014736855118331038
2017,July,Del Norte (NC),LDA,Gas,STREX,CAT,PM2_5,0.0001355263149679841
2017,July,Del Norte (NC),LDA,Gas,STREX,CAT,SOx,4.226975627137415e-05
2017,July,Del Norte (NC),LDA,Gas,STREX,CAT,TOG,0.04063489194044463
2017,July,Del Norte (NC),LDA,Gas,STREX,NCAT,CO,0.0036233887468853842
2017,July,Del Norte (NC),LDA,Gas,STREX,NCAT,NOx,0.0001700935177750745
2017,July,Del Norte (NC),LDA,Gas,STREX,NCAT,PM,7.831726618493932e-06
2017,July,Del Norte (NC),LDA,Gas,STREX,NCAT,PM10,7.47338111843955e-06
2017,July,Del Norte (NC),LDA,Gas,STREX,NCAT,PM2_5,7.106674273582126e-06
2017,July,Del Norte (NC),LDA,Gas,STREX,NCAT,SOx,3.01842453856915e-07
2017,July,Del Norte (NC),LDA,Gas,STREX,NCAT,TOG,0.0006709573219586616
2017,July,Del Norte (NC),LDA,Phe,DIURN,CAT,TOG,4.4977179190405576e-05
2017,July,Del Norte (NC),LDA,Phe,HOTSOAK,CAT,TOG,1.2051154671464508e-05
2017,July,Del Norte (NC),LDA,Phe,PMBW,CAT,PM,1.1638771652366978e-05
2017,July,Del Norte (NC),LDA,Phe,PMBW,CAT,PM10,1.1638771652366978e-05
2017,July,Del Norte (NC),LDA,Phe,PMBW,CAT,PM2_5,4.073570078328442e-06
2017,July,Del Norte (NC),LDA,Phe,PMTW,CAT,PM,2.48699538071955e-05
2017,July,Del Norte (NC),LDA,Phe,PMTW,CAT,PM10,2.48699538071955e-05
2017,July,Del Norte (NC),LDA,Phe,PMTW,CAT,PM2_5,6.217488451798875e-06
2017,July,Del Norte (NC),LDA,Phe,RUNEX,CAT,CO,0.0007496681081429523
2017,July,Del Norte (NC),LDA,Phe,RUNEX,CAT,NH3,4.810118153080443e-05
2017,July,Del Norte (NC),LDA,Phe,RUNEX,CAT,NOx,1.140801115534652e-05
2017,July,Del Norte (NC),LDA,Phe,RUNEX,CAT,PM,3.232294545646344e-06
2017,July,Del Norte (NC),LDA,Phe,RUNEX,CAT,PM10,2.8896713238078317e-06
2017,July,Del Norte (NC),LDA,Phe,RUNEX,CAT,PM2_5,2.6569461165212945e-06
2017,July,Del Norte (NC),LDA,Phe,RUNEX,CAT,SOx,4.798618024785525e-06
2017,July,Del Norte (NC),LDA,Phe,RUNEX,CAT,TOG,8.17808555536975e-06
2017,July,Del Norte (NC),LDA,Phe,RUNLOSS,CAT,TOG,1.1013943000174127e-05
2017,July,Del Norte (NC),LDA,Phe,STREX,CAT,CO,0.0004204323070746623
2017,July,Del Norte (NC),LDA,Phe,STREX,CAT,NOx,3.535719268415738e-05
2017,July,Del Norte (NC),LDA,Phe,STREX,CAT,PM,7.758710697239038e-07
2017,July,Del Norte (NC),LDA,Phe,STREX,CAT,PM10,6.936287363331701e-07
2017,July,Del Norte (NC),LDA,Phe,STREX,CAT,PM2_5,6.37766019313049e-07
2017,July,Del Norte (NC),LDA,Phe,STREX,CAT,SOx,2.0509960700945827e-07
2017,July,Del Norte (NC),LDA,Phe,STREX,CAT,TOG,5.8584144298699536e-05
2017,July,Del Norte (NC),LDT1,Dsl,PMBW,DSL,PM,1.70075088696483e-06
2017,July,Del Norte (NC),LDT1,Dsl,PMBW,DSL,PM10,1.70075088696483e-06
2017,July,Del Norte (NC),LDT1,Dsl,PMBW,DSL,PM2_5,5.952628104376901e-07
2017,July,Del Norte (NC),LDT1,Dsl,PMTW,DSL,PM,1.35245975022921e-06
2017,July,Del Norte (NC),LDT1,Dsl,PMTW,DSL,PM10,1.35245975022921e-06
2017,July,Del Norte (NC),LDT1,Dsl,PMTW,DSL,PM2_5,3.381149375573025e-07
2017,July,Del Norte (NC),LDT1,Dsl,RUNEX,DSL,CO,0.0003420915610217338
2017,July,Del Norte (NC),LDT1,Dsl,RUNEX,DSL,NH3,5.240780030125701e-07
2017,July,Del Norte (NC),LDT1,Dsl,RUNEX,DSL,NOx,0.00024331935119248596
2017,July,Del Norte (NC),LDT1,Dsl,RUNEX,DSL,PM,4.287190231303402e-05
2017,July,Del Norte (NC),LDT1,Dsl,RUNEX,DSL,PM10,4.261467089915583e-05
2017,July,Del Norte (NC),LDT1,Dsl,RUNEX,DSL,PM2_5,4.0771179099695374e-05
2017,July,Del Norte (NC),LDT1,Dsl,RUNEX,DSL,SOx,6.890218393849268e-07
2017,July,Del Norte (NC),LDT1,Dsl,RUNEX,DSL,TOG,6.433650994582293e-05
