calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,El Dorado (LT),LDA,Dsl,PMBW,DSL,PM,2.043883833764309e-05
2017,July,El Dorado (LT),LDA,Dsl,PMBW,DSL,PM10,2.043883833764309e-05
2017,July,El Dorado (LT),LDA,Dsl,PMBW,DSL,PM2_5,7.153593418175079e-06
2017,July,El Dorado (LT),LDA,Dsl,PMTW,DSL,PM,1.585763605717536e-05
2017,July,El Dorado (LT),LDA,Dsl,PMTW,DSL,PM10,1.585763605717536e-05
2017,July,El Dorado (LT),LDA,Dsl,PMTW,DSL,PM2_5,3.96440901429384e-06
2017,July,El Dorado (LT),LDA,Dsl,RUNEX,DSL,CO,0.0014268259402916994
2017,July,El Dorado (LT),LDA,Dsl,RUNEX,DSL,NH3,6.144832211040758e-06
2017,July,El Dorado (LT),LDA,Dsl,RUNEX,DSL,NOx,0.0021199050232144977
2017,July,El Dorado (LT),LDA,Dsl,RUNEX,DSL,PM,0.0001425853873497904
2017,July,El Dorado (LT),LDA,Dsl,RUNEX,DSL,PM10,0.00014172987502569169
2017,July,El Dorado (LT),LDA,Dsl,RUNEX,DSL,PM2_5,0.0001355987033696507
2017,July,El Dorado (LT),LDA,Dsl,RUNEX,DSL,SOx,4.832173599090688e-06
2017,July,El Dorado (LT),LDA,Dsl,RUNEX,DSL,TOG,0.000232180719392914
2017,July,El Dorado (LT),LDA,Elec,PMBW,ELEC,PM,4.439204846694464e-06
2017,July,El Dorado (LT),LDA,Elec,PMBW,ELEC,PM10,4.439204846694464e-06
2017,July,El Dorado (LT),LDA,Elec,PMBW,ELEC,PM2_5,1.5537216963430625e-06
2017,July,El Dorado (LT),LDA,Elec,PMTW,ELEC,PM,8.144729441828892e-06
2017,July,El Dorado (LT),LDA,Elec,PMTW,ELEC,PM10,8.144729441828892e-06
2017,July,El Dorado (LT),LDA,Elec,PMTW,ELEC,PM2_5,2.036182360457223e-06
2017,July,El Dorado (LT),LDA,Gas,DIURN,CAT,TOG,0.03275144286873348
2017,July,El Dorado (LT),LDA,Gas,DIURN,NCAT,TOG,0.0009234571681383801
2017,July,El Dorado (LT),LDA,Gas,HOTSOAK,CAT,TOG,0.010069028122046434
2017,July,El Dorado (LT),LDA,Gas,HOTSOAK,NCAT,TOG,0.0006794612112148463
2017,July,El Dorado (LT),LDA,Gas,PMBW,CAT,PM,0.003183400415669037
2017,July,El Dorado (LT),LDA,Gas,PMBW,CAT,PM10,0.003183400415669037
2017,July,El Dorado (LT),LDA,Gas,PMBW,CAT,PM2_5,0.0011141901454841626
2017,July,El Dorado (LT),LDA,Gas,PMBW,NCAT,PM,8.703056907264197e-06
2017,July,El Dorado (LT),LDA,Gas,PMBW,NCAT,PM10,8.703056907264197e-06
2017,July,El Dorado (LT),LDA,Gas,PMBW,NCAT,PM2_5,3.0460699175424695e-06
2017,July,El Dorado (LT),LDA,Gas,PMTW,CAT,PM,0.0025022398223920033
2017,July,El Dorado (LT),LDA,Gas,PMTW,CAT,PM10,0.0025022398223920033
2017,July,El Dorado (LT),LDA,Gas,PMTW,CAT,PM2_5,0.0006255599555980008
2017,July,El Dorado (LT),LDA,Gas,PMTW,NCAT,PM,6.5420653805625245e-06
2017,July,El Dorado (LT),LDA,Gas,PMTW,NCAT,PM10,6.5420653805625245e-06
2017,July,El Dorado (LT),LDA,Gas,PMTW,NCAT,PM2_5,1.6355163451406311e-06
2017,July,El Dorado (LT),LDA,Gas,RUNEX,CAT,CO,0.8885782541574839
2017,July,El Dorado (LT),LDA,Gas,RUNEX,CAT,NH3,0.010446433097350447
2017,July,El Dorado (LT),LDA,Gas,RUNEX,CAT,NOx,0.06935700778536924
2017,July,El Dorado (LT),LDA,Gas,RUNEX,CAT,PM,0.0008242252397394656
2017,July,El Dorado (LT),LDA,Gas,RUNEX,CAT,PM10,0.0007373418904126969
2017,July,El Dorado (LT),LDA,Gas,RUNEX,CAT,PM2_5,0.0006782001616648464
2017,July,El Dorado (LT),LDA,Gas,RUNEX,CAT,SOx,0.000958905978934027
2017,July,El Dorado (LT),LDA,Gas,RUNEX,CAT,TOG,0.02652237976060357
2017,July,El Dorado (LT),LDA,Gas,RUNEX,NCAT,CO,0.08264988176788352
2017,July,El Dorado (LT),LDA,Gas,RUNEX,NCAT,NH3,5.5767180887500755e-06
2017,July,El Dorado (LT),LDA,Gas,RUNEX,NCAT,NOx,0.0021624830989179266
2017,July,El Dorado (LT),LDA,Gas,RUNEX,NCAT,PM,4.396076078417068e-05
2017,July,El Dorado (LT),LDA,Gas,RUNEX,NCAT,PM10,4.176176502797363e-05
2017,July,El Dorado (LT),LDA,Gas,RUNEX,NCAT,PM2_5,3.962500304007901e-05
2017,July,El Dorado (LT),LDA,Gas,RUNEX,NCAT,SOx,5.204667918331386e-06
2017,July,El Dorado (LT),LDA,Gas,RUNEX,NCAT,TOG,0.0050241139209683105
2017,July,El Dorado (LT),LDA,Gas,RUNLOSS,CAT,TOG,0.027002952456844465
2017,July,El Dorado (LT),LDA,Gas,RUNLOSS,NCAT,TOG,0.0006044163285940233
2017,July,El Dorado (LT),LDA,Gas,STREX,CAT,CO,0.3466797631598779
2017,July,El Dorado (LT),LDA,Gas,STREX,CAT,NOx,0.02513300564172411
2017,July,El Dorado (LT),LDA,Gas,STREX,CAT,PM,0.0002068549100357545
2017,July,El Dorado (LT),LDA,Gas,STREX,CAT,PM10,0.00018507208041870278
2017,July,El Dorado (LT),LDA,Gas,STREX,CAT,PM2_5,0.0001702386185932729
2017,July,El Dorado (LT),LDA,Gas,STREX,CAT,SOx,3.984519533782426e-05
2017,July,El Dorado (LT),LDA,Gas,STREX,CAT,TOG,0.04425510511927669
2017,July,El Dorado (LT),LDA,Gas,STREX,NCAT,CO,0.00011314523757351212
2017,July,El Dorado (LT),LDA,Gas,STREX,NCAT,NOx,0.0005846007809297841
2017,July,El Dorado (LT),LDA,Gas,STREX,NCAT,PM,1.1224700316901148e-05
2017,July,El Dorado (LT),LDA,Gas,STREX,NCAT,PM10,1.0643146157803692e-05
2017,July,El Dorado (LT),LDA,Gas,STREX,NCAT,PM2_5,1.0089167646715667e-05
2017,July,El Dorado (LT),LDA,Gas,STREX,NCAT,SOx,3.2420715189573576e-07
2017,July,El Dorado (LT),LDA,Gas,STREX,NCAT,TOG,0.00045554790708513405
2017,July,El Dorado (LT),LDA,Phe,DIURN,CAT,TOG,2.399515872985288e-05
2017,July,El Dorado (LT),LDA,Phe,HOTSOAK,CAT,TOG,6.630831836448419e-06
2017,July,El Dorado (LT),LDA,Phe,PMBW,CAT,PM,7.934180401396628e-06
2017,July,El Dorado (LT),LDA,Phe,PMBW,CAT,PM10,7.934180401396628e-06
2017,July,El Dorado (LT),LDA,Phe,PMBW,CAT,PM2_5,2.77696314048882e-06
2017,July,El Dorado (LT),LDA,Phe,PMTW,CAT,PM,1.451559650425776e-05
2017,July,El Dorado (LT),LDA,Phe,PMTW,CAT,PM10,1.451559650425776e-05
2017,July,El Dorado (LT),LDA,Phe,PMTW,CAT,PM2_5,3.62889912606444e-06
2017,July,El Dorado (LT),LDA,Phe,RUNEX,CAT,CO,0.0004644895821073081
2017,July,El Dorado (LT),LDA,Phe,RUNEX,CAT,NH3,2.7752807656757264e-05
2017,July,El Dorado (LT),LDA,Phe,RUNEX,CAT,NOx,6.47382922956401e-06
2017,July,El Dorado (LT),LDA,Phe,RUNEX,CAT,PM,1.4575437496934852e-06
2017,July,El Dorado (LT),LDA,Phe,RUNEX,CAT,PM10,1.3030441122259759e-06
2017,July,El Dorado (LT),LDA,Phe,RUNEX,CAT,PM2_5,1.198100962248045e-06
2017,July,El Dorado (LT),LDA,Phe,RUNEX,CAT,SOx,2.8408474246800676e-06
2017,July,El Dorado (LT),LDA,Phe,RUNEX,CAT,TOG,4.3025989976041655e-06
2017,July,El Dorado (LT),LDA,Phe,RUNLOSS,CAT,TOG,6.282761360673712e-06
2017,July,El Dorado (LT),LDA,Phe,STREX,CAT,CO,0.0002166721613917654
2017,July,El Dorado (LT),LDA,Phe,STREX,CAT,NOx,1.908797582919174e-05
2017,July,El Dorado (LT),LDA,Phe,STREX,CAT,PM,4.378699690900095e-07
2017,July,El Dorado (LT),LDA,Phe,STREX,CAT,PM10,3.9145575236646847e-07
2017,July,El Dorado (LT),LDA,Phe,STREX,CAT,PM2_5,3.599291145919878e-07
2017,July,El Dorado (LT),LDA,Phe,STREX,CAT,SOx,1.1751611761706908e-07
2017,July,El Dorado (LT),LDA,Phe,STREX,CAT,TOG,3.176901383654112e-05
2017,July,El Dorado (LT),LDT1,Dsl,PMBW,DSL,PM,6.241708274916154e-06
2017,July,El Dorado (LT),LDT1,Dsl,PMBW,DSL,PM10,6.241708274916154e-06
2017,July,El Dorado (LT),LDT1,Dsl,PMBW,DSL,PM2_5,2.1845978962206536e-06
2017,July,El Dorado (LT),LDT1,Dsl,PMTW,DSL,PM,4.013553404133249e-06
2017,July,El Dorado (LT),LDT1,Dsl,PMTW,DSL,PM10,4.013553404133249e-06
2017,July,El Dorado (LT),LDT1,Dsl,PMTW,DSL,PM2_5,1.0033883510333123e-06
2017,July,El Dorado (LT),LDT1,Dsl,RUNEX,DSL,CO,0.0004886580182716924
