calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,El Dorado (MC),LDA,Dsl,PMBW,DSL,PM,0.00012121595619958816
2017,July,El Dorado (MC),LDA,Dsl,PMBW,DSL,PM10,0.00012121595619958816
2017,July,El Dorado (MC),LDA,Dsl,PMBW,DSL,PM2_5,4.242558466985586e-05
2017,July,El Dorado (MC),LDA,Dsl,PMTW,DSL,PM,0.00012111898150090009
2017,July,El Dorado (MC),LDA,Dsl,PMTW,DSL,PM10,0.00012111898150090009
2017,July,El Dorado (MC),LDA,Dsl,PMTW,DSL,PM2_5,3.0279745375225022e-05
2017,July,El Dorado (MC),LDA,Dsl,RUNEX,DSL,CO,0.007703839586466284
2017,July,El Dorado (MC),LDA,Dsl,RUNEX,DSL,NH3,4.6933591880387197e-05
2017,July,El Dorado (MC),LDA,Dsl,RUNEX,DSL,NOx,0.008754561765324912
2017,July,El Dorado (MC),LDA,Dsl,RUNEX,DSL,PM,0.00045093299144470175
2017,July,El Dorado (MC),LDA,Dsl,RUNEX,DSL,PM10,0.0004482273934960335
2017,July,El Dorado (MC),LDA,Dsl,RUNEX,DSL,PM2_5,0.0004288372748639114
2017,July,El Dorado (MC),LDA,Dsl,RUNEX,DSL,SOx,3.601898766139186e-05
2017,July,El Dorado (MC),LDA,Dsl,RUNEX,DSL,TOG,0.0008320075831596161
2017,July,El Dorado (MC),LDA,Elec,PMBW,ELEC,PM,6.535860282643128e-05
2017,July,El Dorado (MC),LDA,Elec,PMBW,ELEC,PM10,6.535860282643128e-05
2017,July,El Dorado (MC),LDA,Elec,PMBW,ELEC,PM2_5,2.2875510989250947e-05
2017,July,El Dorado (MC),LDA,Elec,PMTW,ELEC,PM,0.00011991078147024128
2017,July,El Dorado (MC),LDA,Elec,PMTW,ELEC,PM10,0.00011991078147024128
2017,July,El Dorado (MC),LDA,Elec,PMTW,ELEC,PM2_5,2.997769536756032e-05
2017,July,El Dorado (MC),LDA,Gas,DIURN,CAT,TOG,0.11933366451114875
2017,July,El Dorado (MC),LDA,Gas,DIURN,NCAT,TOG,0.0047794404028007
2017,July,El Dorado (MC),LDA,Gas,HOTSOAK,CAT,TOG,0.02895758458348389
2017,July,El Dorado (MC),LDA,Gas,HOTSOAK,NCAT,TOG,0.002596518577097111
2017,July,El Dorado (MC),LDA,Gas,PMBW,CAT,PM,0.013948315190776798
2017,July,El Dorado (MC),LDA,Gas,PMBW,CAT,PM10,0.013948315190776798
2017,July,El Dorado (MC),LDA,Gas,PMBW,CAT,PM2_5,0.004881910316771878
2017,July,El Dorado (MC),LDA,Gas,PMBW,NCAT,PM,7.832417970861554e-06
2017,July,El Dorado (MC),LDA,Gas,PMBW,NCAT,PM10,7.832417970861554e-06
2017,July,El Dorado (MC),LDA,Gas,PMBW,NCAT,PM2_5,2.741346289801543e-06
2017,July,El Dorado (MC),LDA,Gas,PMTW,CAT,PM,0.013940816806868893
2017,July,El Dorado (MC),LDA,Gas,PMTW,CAT,PM10,0.013940816806868893
2017,July,El Dorado (MC),LDA,Gas,PMTW,CAT,PM2_5,0.003485204201717223
2017,July,El Dorado (MC),LDA,Gas,PMTW,NCAT,PM,7.352635946793983e-06
2017,July,El Dorado (MC),LDA,Gas,PMTW,NCAT,PM10,7.352635946793983e-06
2017,July,El Dorado (MC),LDA,Gas,PMTW,NCAT,PM2_5,1.8381589866984957e-06
2017,July,El Dorado (MC),LDA,Gas,RUNEX,CAT,CO,3.080511238418483
