calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Fresno (SJV),LDA,Dsl,PMBW,DSL,PM,0.00019031189690978548
2017,July,Fresno (SJV),LDA,Dsl,PMBW,DSL,PM10,0.00019031189690978548
2017,July,Fresno (SJV),LDA,Dsl,PMBW,DSL,PM2_5,6.660916391842491e-05
2017,July,Fresno (SJV),LDA,Dsl,PMTW,DSL,PM,0.00025964993500724614
2017,July,Fresno (SJV),LDA,Dsl,PMTW,DSL,PM10,0.00025964993500724614
2017,July,Fresno (SJV),LDA,Dsl,PMTW,DSL,PM2_5,6.491248375181154e-05
2017,July,Fresno (SJV),LDA,Dsl,RUNEX,DSL,CO,0.01449515080555294
2017,July,Fresno (SJV),LDA,Dsl,RUNEX,DSL,NH3,0.00010061432097914881
2017,July,Fresno (SJV),LDA,Dsl,RUNEX,DSL,NOx,0.014824711796882252
2017,July,Fresno (SJV),LDA,Dsl,RUNEX,DSL,PM,0.0010461088414918855
2017,July,Fresno (SJV),LDA,Dsl,RUNEX,DSL,PM10,0.0010398321884429339
2017,July,Fresno (SJV),LDA,Dsl,RUNEX,DSL,PM2_5,0.0009948495082587826
2017,July,Fresno (SJV),LDA,Dsl,RUNEX,DSL,SOx,7.431242456141504e-05
2017,July,Fresno (SJV),LDA,Dsl,RUNEX,DSL,TOG,0.0017473601738852314
2017,July,Fresno (SJV),LDA,Elec,PMBW,ELEC,PM,0.00042190189341942457
2017,July,Fresno (SJV),LDA,Elec,PMBW,ELEC,PM10,0.00042190189341942457
2017,July,Fresno (SJV),LDA,Elec,PMBW,ELEC,PM2_5,0.0001476656626967986
2017,July,Fresno (SJV),LDA,Elec,PMTW,ELEC,PM,0.000774825639899848
2017,July,Fresno (SJV),LDA,Elec,PMTW,ELEC,PM10,0.000774825639899848
2017,July,Fresno (SJV),LDA,Elec,PMTW,ELEC,PM2_5,0.000193706409974962
2017,July,Fresno (SJV),LDA,Gas,DIURN,CAT,TOG,1.0307994303293992
2017,July,Fresno (SJV),LDA,Gas,DIURN,NCAT,TOG,0.024080592375668855
2017,July,Fresno (SJV),LDA,Gas,HOTSOAK,CAT,TOG,0.2231072943487822
