calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Glenn (SV),LDA,Dsl,PMBW,DSL,PM,3.369269842801655e-05
2017,July,Glenn (SV),LDA,Dsl,PMBW,DSL,PM10,3.369269842801655e-05
2017,July,Glenn (SV),LDA,Dsl,PMBW,DSL,PM2_5,1.179244444980579e-05
2017,July,Glenn (SV),LDA,Dsl,PMTW,DSL,PM,3.541396446193527e-05
2017,July,Glenn (SV),LDA,Dsl,PMTW,DSL,PM10,3.541396446193527e-05
2017,July,Glenn (SV),LDA,Dsl,PMTW,DSL,PM2_5,8.853491115483818e-06
2017,July,Glenn (SV),LDA,Dsl,RUNEX,DSL,CO,0.0020538266527407962
2017,July,Glenn (SV),LDA,Dsl,RUNEX,DSL,NH3,1.3722907296001775e-05
2017,July,Glenn (SV),LDA,Dsl,RUNEX,DSL,NOx,0.0017625396772396292
2017,July,Glenn (SV),LDA,Dsl,RUNEX,DSL,PM,0.0001339216876466064
2017,July,Glenn (SV),LDA,Dsl,RUNEX,DSL,PM10,0.00013311815752072676
2017,July,Glenn (SV),LDA,Dsl,RUNEX,DSL,PM2_5,0.00012735952495192265
2017,July,Glenn (SV),LDA,Dsl,RUNEX,DSL,SOx,1.0471732055340052e-05
2017,July,Glenn (SV),LDA,Dsl,RUNEX,DSL,TOG,0.00024304827171969898
2017,July,Glenn (SV),LDA,Elec,PMBW,ELEC,PM,2.7285349376597728e-05
2017,July,Glenn (SV),LDA,Elec,PMBW,ELEC,PM10,2.7285349376597728e-05
2017,July,Glenn (SV),LDA,Elec,PMBW,ELEC,PM2_5,9.549872281809205e-06
2017,July,Glenn (SV),LDA,Elec,PMTW,ELEC,PM,5.007327213096173e-05
2017,July,Glenn (SV),LDA,Elec,PMTW,ELEC,PM10,5.007327213096173e-05
2017,July,Glenn (SV),LDA,Elec,PMTW,ELEC,PM2_5,1.2518318032740433e-05
2017,July,Glenn (SV),LDA,Gas,DIURN,CAT,TOG,0.07822355690070006
