calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Humboldt (NC),LDA,Dsl,PMBW,DSL,PM,0.0001621592575712286
2017,July,Humboldt (NC),LDA,Dsl,PMBW,DSL,PM10,0.0001621592575712286
2017,July,Humboldt (NC),LDA,Dsl,PMBW,DSL,PM2_5,5.675574014993002e-05
2017,July,Humboldt (NC),LDA,Dsl,PMTW,DSL,PM,0.00017786253600650138
2017,July,Humboldt (NC),LDA,Dsl,PMTW,DSL,PM10,0.00017786253600650138
2017,July,Humboldt (NC),LDA,Dsl,PMTW,DSL,PM2_5,4.4465634001625344e-05
2017,July,Humboldt (NC),LDA,Dsl,RUNEX,DSL,CO,0.016106467521976888
2017,July,Humboldt (NC),LDA,Dsl,RUNEX,DSL,NH3,6.89217129494915e-05
2017,July,Humboldt (NC),LDA,Dsl,RUNEX,DSL,NOx,0.019632844127749325
2017,July,Humboldt (NC),LDA,Dsl,RUNEX,DSL,PM,0.0011620748132846793
2017,July,Humboldt (NC),LDA,Dsl,RUNEX,DSL,PM10,0.0011551023644049713
2017,July,Humboldt (NC),LDA,Dsl,RUNEX,DSL,PM2_5,0.0011051331474337298
2017,July,Humboldt (NC),LDA,Dsl,RUNEX,DSL,SOx,5.5182947674390196e-05
2017,July,Humboldt (NC),LDA,Dsl,RUNEX,DSL,TOG,0.001984780743733004
2017,July,Humboldt (NC),LDA,Elec,PMBW,ELEC,PM,6.435107498497573e-05
2017,July,Humboldt (NC),LDA,Elec,PMBW,ELEC,PM10,6.435107498497573e-05
2017,July,Humboldt (NC),LDA,Elec,PMBW,ELEC,PM2_5,2.2522876244741505e-05
2017,July,Humboldt (NC),LDA,Elec,PMTW,ELEC,PM,0.0001179326636519756
2017,July,Humboldt (NC),LDA,Elec,PMTW,ELEC,PM10,0.0001179326636519756
2017,July,Humboldt (NC),LDA,Elec,PMTW,ELEC,PM2_5,2.94831659129939e-05
2017,July,Humboldt (NC),LDA,Gas,DIURN,CAT,TOG,0.14032253816446025
2017,July,Humboldt (NC),LDA,Gas,DIURN,NCAT,TOG,0.002775248401024082
2017,July,Humboldt (NC),LDA,Gas,HOTSOAK,CAT,TOG,0.04350161915470658
2017,July,Humboldt (NC),LDA,Gas,HOTSOAK,NCAT,TOG,0.0020554809064340933
2017,July,Humboldt (NC),LDA,Gas,PMBW,CAT,PM,0.013832672650659497
2017,July,Humboldt (NC),LDA,Gas,PMBW,CAT,PM10,0.013832672650659497
2017,July,Humboldt (NC),LDA,Gas,PMBW,CAT,PM2_5,0.004841435427730823
2017,July,Humboldt (NC),LDA,Gas,PMBW,NCAT,PM,1.1098051317742954e-05
2017,July,Humboldt (NC),LDA,Gas,PMBW,NCAT,PM10,1.1098051317742954e-05
2017,July,Humboldt (NC),LDA,Gas,PMBW,NCAT,PM2_5,3.884317961210033e-06
2017,July,Humboldt (NC),LDA,Gas,PMTW,CAT,PM,0.01525823932442256
2017,July,Humboldt (NC),LDA,Gas,PMTW,CAT,PM10,0.01525823932442256
2017,July,Humboldt (NC),LDA,Gas,PMTW,CAT,PM2_5,0.00381455983110564
2017,July,Humboldt (NC),LDA,Gas,PMTW,NCAT,PM,1.1602645236194578e-05
2017,July,Humboldt (NC),LDA,Gas,PMTW,NCAT,PM10,1.1602645236194578e-05
2017,July,Humboldt (NC),LDA,Gas,PMTW,NCAT,PM2_5,2.9006613090486444e-06
2017,July,Humboldt (NC),LDA,Gas,RUNEX,CAT,CO,3.242965176229749
2017,July,Humboldt (NC),LDA,Gas,RUNEX,CAT,NH3,0.05834354843710507
2017,July,Humboldt (NC),LDA,Gas,RUNEX,CAT,NOx,0.30382029957155376
2017,July,Humboldt (NC),LDA,Gas,RUNEX,CAT,PM,0.003996570354952224
2017,July,Humboldt (NC),LDA,Gas,RUNEX,CAT,PM10,0.0035737031904090255
