calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Imperial (SS),LDA,Dsl,PMBW,DSL,PM,5.8039891037850984e-05
2017,July,Imperial (SS),LDA,Dsl,PMBW,DSL,PM10,5.8039891037850984e-05
2017,July,Imperial (SS),LDA,Dsl,PMBW,DSL,PM2_5,2.0313961863247844e-05
2017,July,Imperial (SS),LDA,Dsl,PMTW,DSL,PM,9.261638163261354e-05
2017,July,Imperial (SS),LDA,Dsl,PMTW,DSL,PM10,9.261638163261354e-05
2017,July,Imperial (SS),LDA,Dsl,PMTW,DSL,PM2_5,2.3154095408153385e-05
2017,July,Imperial (SS),LDA,Dsl,RUNEX,DSL,CO,0.00647674427329615
2017,July,Imperial (SS),LDA,Dsl,RUNEX,DSL,NH3,3.5888837596863124e-05
2017,July,Imperial (SS),LDA,Dsl,RUNEX,DSL,NOx,0.0057847242797447376
2017,July,Imperial (SS),LDA,Dsl,RUNEX,DSL,PM,0.00047997451960490693
2017,July,Imperial (SS),LDA,Dsl,RUNEX,DSL,PM10,0.0004770946724872776
2017,July,Imperial (SS),LDA,Dsl,RUNEX,DSL,PM2_5,0.0004564557681442665
2017,July,Imperial (SS),LDA,Dsl,RUNEX,DSL,SOx,2.8672030142160858e-05
2017,July,Imperial (SS),LDA,Dsl,RUNEX,DSL,TOG,0.0007717833306747474
2017,July,Imperial (SS),LDA,Elec,PMBW,ELEC,PM,8.607546750886131e-05
2017,July,Imperial (SS),LDA,Elec,PMBW,ELEC,PM10,8.607546750886131e-05
2017,July,Imperial (SS),LDA,Elec,PMBW,ELEC,PM2_5,3.0126413628101455e-05
2017,July,Imperial (SS),LDA,Elec,PMTW,ELEC,PM,0.00015795995503504795
2017,July,Imperial (SS),LDA,Elec,PMTW,ELEC,PM10,0.00015795995503504795
2017,July,Imperial (SS),LDA,Elec,PMTW,ELEC,PM2_5,3.948998875876199e-05
2017,July,Imperial (SS),LDA,Gas,DIURN,CAT,TOG,0.37203031426642785
2017,July,Imperial (SS),LDA,Gas,DIURN,NCAT,TOG,0.008116439629009462
2017,July,Imperial (SS),LDA,Gas,HOTSOAK,CAT,TOG,0.060343136879425864
2017,July,Imperial (SS),LDA,Gas,HOTSOAK,NCAT,TOG,0.0027198562253200813
2017,July,Imperial (SS),LDA,Gas,PMBW,CAT,PM,0.016133799901435555
2017,July,Imperial (SS),LDA,Gas,PMBW,CAT,PM10,0.016133799901435555
