calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Inyo (GBV),LDA,Dsl,PMBW,DSL,PM,4.327963620170239e-05
2017,July,Inyo (GBV),LDA,Dsl,PMBW,DSL,PM10,4.327963620170239e-05
2017,July,Inyo (GBV),LDA,Dsl,PMBW,DSL,PM2_5,1.5147872670595836e-05
2017,July,Inyo (GBV),LDA,Dsl,PMTW,DSL,PM,5.4849760308506044e-05
2017,July,Inyo (GBV),LDA,Dsl,PMTW,DSL,PM10,5.4849760308506044e-05
2017,July,Inyo (GBV),LDA,Dsl,PMTW,DSL,PM2_5,1.3712440077126511e-05
2017,July,Inyo (GBV),LDA,Dsl,RUNEX,DSL,CO,0.004071714819748456
2017,July,Inyo (GBV),LDA,Dsl,RUNEX,DSL,NH3,2.1254276028050585e-05
2017,July,Inyo (GBV),LDA,Dsl,RUNEX,DSL,NOx,0.0036208010371068704
2017,July,Inyo (GBV),LDA,Dsl,RUNEX,DSL,PM,0.00030677472250063923
2017,July,Inyo (GBV),LDA,Dsl,RUNEX,DSL,PM10,0.0003049340741656356
2017,July,Inyo (GBV),LDA,Dsl,RUNEX,DSL,PM2_5,0.00029174276109810804
2017,July,Inyo (GBV),LDA,Dsl,RUNEX,DSL,SOx,1.692764216536913e-05
2017,July,Inyo (GBV),LDA,Dsl,RUNEX,DSL,TOG,0.0005288367283130532
2017,July,Inyo (GBV),LDA,Elec,PMBW,ELEC,PM,4.914867016274404e-05
2017,July,Inyo (GBV),LDA,Elec,PMBW,ELEC,PM10,4.914867016274404e-05
2017,July,Inyo (GBV),LDA,Elec,PMBW,ELEC,PM2_5,1.7202034556960418e-05
2017,July,Inyo (GBV),LDA,Elec,PMTW,ELEC,PM,9.019847015604153e-05
2017,July,Inyo (GBV),LDA,Elec,PMTW,ELEC,PM10,9.019847015604153e-05
2017,July,Inyo (GBV),LDA,Elec,PMTW,ELEC,PM2_5,2.2549617539010383e-05
2017,July,Inyo (GBV),LDA,Gas,DIURN,CAT,TOG,0.1139340614881547
2017,July,Inyo (GBV),LDA,Gas,DIURN,NCAT,TOG,0.002530280246198638
2017,July,Inyo (GBV),LDA,Gas,HOTSOAK,CAT,TOG,0.023675715734957956
2017,July,Inyo (GBV),LDA,Gas,HOTSOAK,NCAT,TOG,0.0011251404167747312
2017,July,Inyo (GBV),LDA,Gas,PMBW,CAT,PM,0.007763118904162166
2017,July,Inyo (GBV),LDA,Gas,PMBW,CAT,PM10,0.007763118904162166
2017,July,Inyo (GBV),LDA,Gas,PMBW,CAT,PM2_5,0.0027170916164567585
2017,July,Inyo (GBV),LDA,Gas,PMBW,NCAT,PM,3.935941387668198e-06
2017,July,Inyo (GBV),LDA,Gas,PMBW,NCAT,PM10,3.935941387668198e-06
2017,July,Inyo (GBV),LDA,Gas,PMBW,NCAT,PM2_5,1.3775794856838692e-06
2017,July,Inyo (GBV),LDA,Gas,PMTW,CAT,PM,0.009864177901463836
2017,July,Inyo (GBV),LDA,Gas,PMTW,CAT,PM10,0.009864177901463836
2017,July,Inyo (GBV),LDA,Gas,PMTW,CAT,PM2_5,0.002466044475365959
2017,July,Inyo (GBV),LDA,Gas,PMTW,NCAT,PM,4.6902195226567765e-06
2017,July,Inyo (GBV),LDA,Gas,PMTW,NCAT,PM10,4.6902195226567765e-06
2017,July,Inyo (GBV),LDA,Gas,PMTW,NCAT,PM2_5,1.1725548806641941e-06
2017,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,CO,2.4322311721175165
2017,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,NH3,0.03624886664187209
2017,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,NOx,0.1238234990117891
2017,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,PM,0.002436750031405764
2017,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,PM10,0.0021787756103586703
2017,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,PM2_5,0.00200346379173766
2017,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,SOx,0.004316775790471298
2017,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,TOG,0.0570126353548665
2017,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,CO,0.05838428257694175
2017,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,NH3,3.780674176194763e-06
2017,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,NOx,0.002435412052649867
2017,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,PM,3.669210219176519e-05
2017,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,PM10,3.4940027924369354e-05
2017,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,PM2_5,3.319139178772757e-05
2017,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,SOx,4.152597637207605e-06
2017,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,TOG,0.0031845003178071233
2017,July,Inyo (GBV),LDA,Gas,RUNLOSS,CAT,TOG,0.056892853872733525
2017,July,Inyo (GBV),LDA,Gas,RUNLOSS,NCAT,TOG,0.0009625146258656933
2017,July,Inyo (GBV),LDA,Gas,STREX,CAT,CO,0.6755589027324951
2017,July,Inyo (GBV),LDA,Gas,STREX,CAT,NOx,0.05566645801718019
2017,July,Inyo (GBV),LDA,Gas,STREX,CAT,PM,0.00046606182646208706
2017,July,Inyo (GBV),LDA,Gas,STREX,CAT,PM10,0.00041678373723729665
2017,July,Inyo (GBV),LDA,Gas,STREX,CAT,PM2_5,0.0003832793006968822
2017,July,Inyo (GBV),LDA,Gas,STREX,CAT,SOx,0.00012172908584991092
2017,July,Inyo (GBV),LDA,Gas,STREX,CAT,TOG,0.08221063960953652
2017,July,Inyo (GBV),LDA,Gas,STREX,NCAT,CO,0.00721984927582939
2017,July,Inyo (GBV),LDA,Gas,STREX,NCAT,NOx,0.00029840503182037247
2017,July,Inyo (GBV),LDA,Gas,STREX,NCAT,PM,1.5893856574168422e-05
2017,July,Inyo (GBV),LDA,Gas,STREX,NCAT,PM10,1.5149531787585013e-05
2017,July,Inyo (GBV),LDA,Gas,STREX,NCAT,PM2_5,1.4398187133465728e-05
2017,July,Inyo (GBV),LDA,Gas,STREX,NCAT,SOx,5.977822938871638e-07
2017,July,Inyo (GBV),LDA,Gas,STREX,NCAT,TOG,0.0010513943699532403
2017,July,Inyo (GBV),LDA,Phe,DIURN,CAT,TOG,0.0003236240524272022
2017,July,Inyo (GBV),LDA,Phe,HOTSOAK,CAT,TOG,5.658528937775791e-05
2017,July,Inyo (GBV),LDA,Phe,PMBW,CAT,PM,5.097693269038303e-05
2017,July,Inyo (GBV),LDA,Phe,PMBW,CAT,PM10,5.097693269038303e-05
2017,July,Inyo (GBV),LDA,Phe,PMBW,CAT,PM2_5,1.784192644163406e-05
2017,July,Inyo (GBV),LDA,Phe,PMTW,CAT,PM,0.00011310143166974601
2017,July,Inyo (GBV),LDA,Phe,PMTW,CAT,PM10,0.00011310143166974601
2017,July,Inyo (GBV),LDA,Phe,PMTW,CAT,PM2_5,2.8275357917436502e-05
2017,July,Inyo (GBV),LDA,Phe,RUNEX,CAT,CO,0.005041742052948523
2017,July,Inyo (GBV),LDA,Phe,RUNEX,CAT,NH3,0.0002314211690856792
2017,July,Inyo (GBV),LDA,Phe,RUNEX,CAT,NOx,4.3913190637247766e-05
2017,July,Inyo (GBV),LDA,Phe,RUNEX,CAT,PM,1.4426026631999168e-05
2017,July,Inyo (GBV),LDA,Phe,RUNEX,CAT,PM10,1.2896867809007255e-05
2017,July,Inyo (GBV),LDA,Phe,RUNEX,CAT,PM2_5,1.1858193891503314e-05
2017,July,Inyo (GBV),LDA,Phe,RUNEX,CAT,SOx,2.386668531662359e-05
2017,July,Inyo (GBV),LDA,Phe,RUNEX,CAT,TOG,3.6582462015146345e-05
2017,July,Inyo (GBV),LDA,Phe,RUNLOSS,CAT,TOG,5.2149251970150506e-05
2017,July,Inyo (GBV),LDA,Phe,STREX,CAT,CO,0.0012714858404021022
2017,July,Inyo (GBV),LDA,Phe,STREX,CAT,NOx,0.00012721153951168875
2017,July,Inyo (GBV),LDA,Phe,STREX,CAT,PM,3.3979242919856192e-06
2017,July,Inyo (GBV),LDA,Phe,STREX,CAT,PM10,3.0377443170351437e-06
2017,July,Inyo (GBV),LDA,Phe,STREX,CAT,PM2_5,2.793093768012179e-06
2017,July,Inyo (GBV),LDA,Phe,STREX,CAT,SOx,8.401591807909666e-07
2017,July,Inyo (GBV),LDA,Phe,STREX,CAT,TOG,0.00018661888278003575
2017,July,Inyo (GBV),LDT1,Dsl,PMBW,DSL,PM,1.1321757080947217e-06
2017,July,Inyo (GBV),LDT1,Dsl,PMBW,DSL,PM10,1.1321757080947217e-06
2017,July,Inyo (GBV),LDT1,Dsl,PMBW,DSL,PM2_5,3.9626149783315273e-07
2017,July,Inyo (GBV),LDT1,Dsl,PMTW,DSL,PM,1.0314633881062852e-06
2017,July,Inyo (GBV),LDT1,Dsl,PMTW,DSL,PM10,1.0314633881062852e-06
2017,July,Inyo (GBV),LDT1,Dsl,PMTW,DSL,PM2_5,2.578658470265713e-07
2017,July,Inyo (GBV),LDT1,Dsl,RUNEX,DSL,CO,0.00020400712916680288
2017,July,Inyo (GBV),LDT1,Dsl,RUNEX,DSL,NH3,3.9969194833909717e-07
2017,July,Inyo (GBV),LDT1,Dsl,RUNEX,DSL,NOx,0.0001795762648549475
2017,July,Inyo (GBV),LDT1,Dsl,RUNEX,DSL,PM,2.596739329521081e-05
2017,July,Inyo (GBV),LDT1,Dsl,RUNEX,DSL,PM10,2.5811588935439544e-05
2017,July,Inyo (GBV),LDT1,Dsl,RUNEX,DSL,PM2_5,2.469499102374547e-05
2017,July,Inyo (GBV),LDT1,Dsl,RUNEX,DSL,SOx,5.489516341796201e-07
2017,July,Inyo (GBV),LDT1,Dsl,RUNEX,DSL,TOG,3.697935015797914e-05
