calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Kern (SJV),LDA,Dsl,PMBW,DSL,PM,0.00018247891234977193
2017,July,Kern (SJV),LDA,Dsl,PMBW,DSL,PM10,0.00018247891234977193
2017,July,Kern (SJV),LDA,Dsl,PMBW,DSL,PM2_5,6.386761932242017e-05
2017,July,Kern (SJV),LDA,Dsl,PMTW,DSL,PM,0.00024544084141821715
2017,July,Kern (SJV),LDA,Dsl,PMTW,DSL,PM10,0.00024544084141821715
2017,July,Kern (SJV),LDA,Dsl,PMTW,DSL,PM2_5,6.136021035455429e-05
2017,July,Kern (SJV),LDA,Dsl,RUNEX,DSL,CO,0.012283843867645805
2017,July,Kern (SJV),LDA,Dsl,RUNEX,DSL,NH3,9.510829879143124e-05
2017,July,Kern (SJV),LDA,Dsl,RUNEX,DSL,NOx,0.01092786247212013
2017,July,Kern (SJV),LDA,Dsl,RUNEX,DSL,PM,0.0009016300078808853
2017,July,Kern (SJV),LDA,Dsl,RUNEX,DSL,PM10,0.0008962202278335998
2017,July,Kern (SJV),LDA,Dsl,RUNEX,DSL,PM2_5,0.0008574501374947218
2017,July,Kern (SJV),LDA,Dsl,RUNEX,DSL,SOx,7.129761864487931e-05
2017,July,Kern (SJV),LDA,Dsl,RUNEX,DSL,TOG,0.0014765892570252582
2017,July,Kern (SJV),LDA,Elec,PMBW,ELEC,PM,0.0002027422268102173
2017,July,Kern (SJV),LDA,Elec,PMBW,ELEC,PM10,0.0002027422268102173
2017,July,Kern (SJV),LDA,Elec,PMBW,ELEC,PM2_5,7.095977938357605e-05
2017,July,Kern (SJV),LDA,Elec,PMTW,ELEC,PM,0.00037210110748832164
2017,July,Kern (SJV),LDA,Elec,PMTW,ELEC,PM10,0.00037210110748832164
2017,July,Kern (SJV),LDA,Elec,PMTW,ELEC,PM2_5,9.302527687208041e-05
2017,July,Kern (SJV),LDA,Gas,DIURN,CAT,TOG,0.6905737548149393
2017,July,Kern (SJV),LDA,Gas,DIURN,NCAT,TOG,0.015807462149867852
2017,July,Kern (SJV),LDA,Gas,HOTSOAK,CAT,TOG,0.15076210752871422
2017,July,Kern (SJV),LDA,Gas,HOTSOAK,NCAT,TOG,0.007355852161774472
2017,July,Kern (SJV),LDA,Gas,PMBW,CAT,PM,0.05359917809494287
2017,July,Kern (SJV),LDA,Gas,PMBW,CAT,PM10,0.05359917809494287
2017,July,Kern (SJV),LDA,Gas,PMBW,CAT,PM2_5,0.018759712333230007
2017,July,Kern (SJV),LDA,Gas,PMBW,NCAT,PM,3.3047502639507894e-05
2017,July,Kern (SJV),LDA,Gas,PMBW,NCAT,PM10,3.3047502639507894e-05
2017,July,Kern (SJV),LDA,Gas,PMBW,NCAT,PM2_5,1.1566625923827765e-05
2017,July,Kern (SJV),LDA,Gas,PMTW,CAT,PM,0.07179809113912837
2017,July,Kern (SJV),LDA,Gas,PMTW,CAT,PM10,0.07179809113912837
2017,July,Kern (SJV),LDA,Gas,PMTW,CAT,PM2_5,0.017949522784782092
2017,July,Kern (SJV),LDA,Gas,PMTW,NCAT,PM,4.145219713954292e-05
2017,July,Kern (SJV),LDA,Gas,PMTW,NCAT,PM10,4.145219713954292e-05
2017,July,Kern (SJV),LDA,Gas,PMTW,NCAT,PM2_5,1.036304928488573e-05
2017,July,Kern (SJV),LDA,Gas,RUNEX,CAT,CO,17.19553448780497
2017,July,Kern (SJV),LDA,Gas,RUNEX,CAT,NH3,0.25480649654227566
2017,July,Kern (SJV),LDA,Gas,RUNEX,CAT,NOx,0.7668703830785586
2017,July,Kern (SJV),LDA,Gas,RUNEX,CAT,PM,0.013879692793880698
2017,July,Kern (SJV),LDA,Gas,RUNEX,CAT,PM10,0.012410119861205455
2017,July,Kern (SJV),LDA,Gas,RUNEX,CAT,PM2_5,0.011411481772543523
2017,July,Kern (SJV),LDA,Gas,RUNEX,CAT,SOx,0.0311921139918385
2017,July,Kern (SJV),LDA,Gas,RUNEX,CAT,TOG,0.30988413059187025
2017,July,Kern (SJV),LDA,Gas,RUNEX,NCAT,CO,0.641360098315431
2017,July,Kern (SJV),LDA,Gas,RUNEX,NCAT,NH3,3.06319336548443e-05
2017,July,Kern (SJV),LDA,Gas,RUNEX,NCAT,NOx,0.021884303454076093
2017,July,Kern (SJV),LDA,Gas,RUNEX,NCAT,PM,0.0003039889327699974
2017,July,Kern (SJV),LDA,Gas,RUNEX,NCAT,PM10,0.0002904588609158583
2017,July,Kern (SJV),LDA,Gas,RUNEX,NCAT,PM2_5,0.0002763835553765001
2017,July,Kern (SJV),LDA,Gas,RUNEX,NCAT,SOx,3.8087758260411264e-05
2017,July,Kern (SJV),LDA,Gas,RUNEX,NCAT,TOG,0.027963300551387665
2017,July,Kern (SJV),LDA,Gas,RUNLOSS,CAT,TOG,0.3586579218498322
2017,July,Kern (SJV),LDA,Gas,RUNLOSS,NCAT,TOG,0.006514415539190661
2017,July,Kern (SJV),LDA,Gas,STREX,CAT,CO,4.683349727548002
2017,July,Kern (SJV),LDA,Gas,STREX,CAT,NOx,0.3976916231212664
2017,July,Kern (SJV),LDA,Gas,STREX,CAT,PM,0.003054889970943933
2017,July,Kern (SJV),LDA,Gas,STREX,CAT,PM10,0.0027317003927595208
2017,July,Kern (SJV),LDA,Gas,STREX,CAT,PM2_5,0.002512011079696306
2017,July,Kern (SJV),LDA,Gas,STREX,CAT,SOx,0.0008833072745484915
2017,July,Kern (SJV),LDA,Gas,STREX,CAT,TOG,0.535373463078991
2017,July,Kern (SJV),LDA,Gas,STREX,NCAT,CO,0.05005999760609617
