calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Kings (SJV),LDA,Dsl,PMBW,DSL,PM,2.4500763563171644e-05
2017,July,Kings (SJV),LDA,Dsl,PMBW,DSL,PM10,2.4500763563171644e-05
2017,July,Kings (SJV),LDA,Dsl,PMBW,DSL,PM2_5,8.575267247110074e-06
2017,July,Kings (SJV),LDA,Dsl,PMTW,DSL,PM,4.7237509806129124e-05
2017,July,Kings (SJV),LDA,Dsl,PMTW,DSL,PM10,4.7237509806129124e-05
2017,July,Kings (SJV),LDA,Dsl,PMTW,DSL,PM2_5,1.1809377451532281e-05
2017,July,Kings (SJV),LDA,Dsl,RUNEX,DSL,CO,0.003087186503756327
2017,July,Kings (SJV),LDA,Dsl,RUNEX,DSL,NH3,1.8304529803779566e-05
2017,July,Kings (SJV),LDA,Dsl,RUNEX,DSL,NOx,0.0028875724753366816
2017,July,Kings (SJV),LDA,Dsl,RUNEX,DSL,PM,0.00021704235143276876
2017,July,Kings (SJV),LDA,Dsl,RUNEX,DSL,PM10,0.00021574009732417215
2017,July,Kings (SJV),LDA,Dsl,RUNEX,DSL,PM2_5,0.00020640727621256308
2017,July,Kings (SJV),LDA,Dsl,RUNEX,DSL,SOx,1.4292684718390661e-05
2017,July,Kings (SJV),LDA,Dsl,RUNEX,DSL,TOG,0.00035513908170384603
2017,July,Kings (SJV),LDA,Elec,PMBW,ELEC,PM,4.5814833558916165e-05
2017,July,Kings (SJV),LDA,Elec,PMBW,ELEC,PM10,4.5814833558916165e-05
2017,July,Kings (SJV),LDA,Elec,PMBW,ELEC,PM2_5,1.6035191745620654e-05
2017,July,Kings (SJV),LDA,Elec,PMTW,ELEC,PM,8.40869308619838e-05
2017,July,Kings (SJV),LDA,Elec,PMTW,ELEC,PM10,8.40869308619838e-05
2017,July,Kings (SJV),LDA,Elec,PMTW,ELEC,PM2_5,2.102173271549595e-05
2017,July,Kings (SJV),LDA,Gas,DIURN,CAT,TOG,0.14759794896077724
2017,July,Kings (SJV),LDA,Gas,DIURN,NCAT,TOG,0.0034063923838734142
2017,July,Kings (SJV),LDA,Gas,HOTSOAK,CAT,TOG,0.03250494601919752
2017,July,Kings (SJV),LDA,Gas,HOTSOAK,NCAT,TOG,0.0016174524815426292
2017,July,Kings (SJV),LDA,Gas,PMBW,CAT,PM,0.00824255552391839
2017,July,Kings (SJV),LDA,Gas,PMBW,CAT,PM10,0.00824255552391839
2017,July,Kings (SJV),LDA,Gas,PMBW,CAT,PM2_5,0.0028848944333714367
2017,July,Kings (SJV),LDA,Gas,PMBW,NCAT,PM,2.484915779387008e-06
2017,July,Kings (SJV),LDA,Gas,PMBW,NCAT,PM10,2.484915779387008e-06
2017,July,Kings (SJV),LDA,Gas,PMBW,NCAT,PM2_5,8.697205227854527e-07
2017,July,Kings (SJV),LDA,Gas,PMTW,CAT,PM,0.015883532293429516
2017,July,Kings (SJV),LDA,Gas,PMTW,CAT,PM10,0.015883532293429516
2017,July,Kings (SJV),LDA,Gas,PMTW,CAT,PM2_5,0.003970883073357379
2017,July,Kings (SJV),LDA,Gas,PMTW,NCAT,PM,4.484370532908452e-06
2017,July,Kings (SJV),LDA,Gas,PMTW,NCAT,PM10,4.484370532908452e-06
2017,July,Kings (SJV),LDA,Gas,PMTW,NCAT,PM2_5,1.121092633227113e-06
2017,July,Kings (SJV),LDA,Gas,RUNEX,CAT,CO,3.255582273845604
2017,July,Kings (SJV),LDA,Gas,RUNEX,CAT,NH3,0.056604325480881186
2017,July,Kings (SJV),LDA,Gas,RUNEX,CAT,NOx,0.17050894435276387
2017,July,Kings (SJV),LDA,Gas,RUNEX,CAT,PM,0.0031197680479081178
2017,July,Kings (SJV),LDA,Gas,RUNEX,CAT,PM10,0.002789312307113838
2017,July,Kings (SJV),LDA,Gas,RUNEX,CAT,PM2_5,0.002564789169215967
2017,July,Kings (SJV),LDA,Gas,RUNEX,CAT,SOx,0.006905488240121969
2017,July,Kings (SJV),LDA,Gas,RUNEX,CAT,TOG,0.06806312611362637
2017,July,Kings (SJV),LDA,Gas,RUNEX,NCAT,CO,0.06576644059143262
2017,July,Kings (SJV),LDA,Gas,RUNEX,NCAT,NH3,3.4591786950613914e-06
2017,July,Kings (SJV),LDA,Gas,RUNEX,NCAT,NOx,0.0024866444233712535
2017,July,Kings (SJV),LDA,Gas,RUNEX,NCAT,PM,3.388348317807604e-05
2017,July,Kings (SJV),LDA,Gas,RUNEX,NCAT,PM10,3.232235505015056e-05
2017,July,Kings (SJV),LDA,Gas,RUNEX,NCAT,PM2_5,3.073132023880097e-05
2017,July,Kings (SJV),LDA,Gas,RUNEX,NCAT,SOx,4.102709253105924e-06
2017,July,Kings (SJV),LDA,Gas,RUNEX,NCAT,TOG,0.003034840568884766
2017,July,Kings (SJV),LDA,Gas,RUNLOSS,CAT,TOG,0.07681481545390396
2017,July,Kings (SJV),LDA,Gas,RUNLOSS,NCAT,TOG,0.0013873529869900746
2017,July,Kings (SJV),LDA,Gas,STREX,CAT,CO,0.9963697370332345
2017,July,Kings (SJV),LDA,Gas,STREX,CAT,NOx,0.08268858070260827
2017,July,Kings (SJV),LDA,Gas,STREX,CAT,PM,0.0006536450179167107
2017,July,Kings (SJV),LDA,Gas,STREX,CAT,PM10,0.0005845032959566005
2017,July,Kings (SJV),LDA,Gas,STREX,CAT,PM2_5,0.000537501305387399
2017,July,Kings (SJV),LDA,Gas,STREX,CAT,SOx,0.0001851136157680222
2017,July,Kings (SJV),LDA,Gas,STREX,CAT,TOG,0.1172359334842704
2017,July,Kings (SJV),LDA,Gas,STREX,NCAT,CO,0.010582035281287327
2017,July,Kings (SJV),LDA,Gas,STREX,NCAT,NOx,0.0004313037377187251
2017,July,Kings (SJV),LDA,Gas,STREX,NCAT,PM,2.261788320628003e-05
2017,July,Kings (SJV),LDA,Gas,STREX,NCAT,PM10,2.1591135822173994e-05
2017,July,Kings (SJV),LDA,Gas,STREX,NCAT,PM2_5,2.053549824029602e-05
2017,July,Kings (SJV),LDA,Gas,STREX,NCAT,SOx,8.631189749247571e-07
2017,July,Kings (SJV),LDA,Gas,STREX,NCAT,TOG,0.001534675744270117
2017,July,Kings (SJV),LDA,Phe,DIURN,CAT,TOG,0.000486436544068497
2017,July,Kings (SJV),LDA,Phe,HOTSOAK,CAT,TOG,8.954660373127621e-05
2017,July,Kings (SJV),LDA,Phe,PMBW,CAT,PM,7.306153949677626e-05
2017,July,Kings (SJV),LDA,Phe,PMBW,CAT,PM10,7.306153949677626e-05
2017,July,Kings (SJV),LDA,Phe,PMBW,CAT,PM2_5,2.5571538823871693e-05
2017,July,Kings (SJV),LDA,Phe,PMTW,CAT,PM,0.00018514555665742993
2017,July,Kings (SJV),LDA,Phe,PMTW,CAT,PM10,0.00018514555665742993
2017,July,Kings (SJV),LDA,Phe,PMTW,CAT,PM2_5,4.628638916435748e-05
2017,July,Kings (SJV),LDA,Phe,RUNEX,CAT,CO,0.007255427530845399
2017,July,Kings (SJV),LDA,Phe,RUNEX,CAT,NH3,0.0003707581431437963
2017,July,Kings (SJV),LDA,Phe,RUNEX,CAT,NOx,6.290766035508513e-05
2017,July,Kings (SJV),LDA,Phe,RUNEX,CAT,PM,2.0335083470919095e-05
2017,July,Kings (SJV),LDA,Phe,RUNEX,CAT,PM10,1.8179564623001673e-05
2017,July,Kings (SJV),LDA,Phe,RUNEX,CAT,PM2_5,1.6715438613095495e-05
2017,July,Kings (SJV),LDA,Phe,RUNEX,CAT,SOx,3.528779792288346e-05
2017,July,Kings (SJV),LDA,Phe,RUNEX,CAT,TOG,4.5359604723483715e-05
2017,July,Kings (SJV),LDA,Phe,RUNLOSS,CAT,TOG,8.236178956455155e-05
2017,July,Kings (SJV),LDA,Phe,STREX,CAT,CO,0.0020878508362090764
2017,July,Kings (SJV),LDA,Phe,STREX,CAT,NOx,0.00020481322044993877
2017,July,Kings (SJV),LDA,Phe,STREX,CAT,PM,5.267345825698443e-06
2017,July,Kings (SJV),LDA,Phe,STREX,CAT,PM10,4.709007168174407e-06
2017,July,Kings (SJV),LDA,Phe,STREX,CAT,PM2_5,4.329758268724119e-06
2017,July,Kings (SJV),LDA,Phe,STREX,CAT,SOx,1.3288894671431974e-06
2017,July,Kings (SJV),LDA,Phe,STREX,CAT,TOG,0.00029746284155274965
2017,July,Kings (SJV),LDT1,Dsl,PMBW,DSL,PM,1.4442018166586186e-06
2017,July,Kings (SJV),LDT1,Dsl,PMBW,DSL,PM10,1.4442018166586186e-06
