calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Lake (LC),LDA,Dsl,PMBW,DSL,PM,5.885314724982032e-05
2017,July,Lake (LC),LDA,Dsl,PMBW,DSL,PM10,5.885314724982032e-05
2017,July,Lake (LC),LDA,Dsl,PMBW,DSL,PM2_5,2.0598601537437112e-05
2017,July,Lake (LC),LDA,Dsl,PMTW,DSL,PM,6.142559603309704e-05
2017,July,Lake (LC),LDA,Dsl,PMTW,DSL,PM10,6.142559603309704e-05
2017,July,Lake (LC),LDA,Dsl,PMTW,DSL,PM2_5,1.535639900827426e-05
2017,July,Lake (LC),LDA,Dsl,RUNEX,DSL,CO,0.0061608029289498085
2017,July,Lake (LC),LDA,Dsl,RUNEX,DSL,NH3,2.3802411641031534e-05
2017,July,Lake (LC),LDA,Dsl,RUNEX,DSL,NOx,0.007010852560087445
2017,July,Lake (LC),LDA,Dsl,RUNEX,DSL,PM,0.0005601119106681052
2017,July,Lake (LC),LDA,Dsl,RUNEX,DSL,PM10,0.0005567512392040967
2017,July,Lake (LC),LDA,Dsl,RUNEX,DSL,PM2_5,0.0005326664270453684
2017,July,Lake (LC),LDA,Dsl,RUNEX,DSL,SOx,1.971127046168695e-05
2017,July,Lake (LC),LDA,Dsl,RUNEX,DSL,TOG,0.0008897997140445753
2017,July,Lake (LC),LDA,Elec,PMBW,ELEC,PM,1.7122114397242245e-05
2017,July,Lake (LC),LDA,Elec,PMBW,ELEC,PM10,1.7122114397242245e-05
2017,July,Lake (LC),LDA,Elec,PMBW,ELEC,PM2_5,5.992740039034785e-06
2017,July,Lake (LC),LDA,Elec,PMTW,ELEC,PM,3.139947955219879e-05
2017,July,Lake (LC),LDA,Elec,PMTW,ELEC,PM10,3.139947955219879e-05
2017,July,Lake (LC),LDA,Elec,PMTW,ELEC,PM2_5,7.849869888049697e-06
2017,July,Lake (LC),LDA,Gas,DIURN,CAT,TOG,0.11900709925996733
2017,July,Lake (LC),LDA,Gas,DIURN,NCAT,TOG,0.0026911834965026578
2017,July,Lake (LC),LDA,Gas,HOTSOAK,CAT,TOG,0.02843992250425304
2017,July,Lake (LC),LDA,Gas,HOTSOAK,NCAT,TOG,0.001414855649519986
2017,July,Lake (LC),LDA,Gas,PMBW,CAT,PM,0.0076288068278626605
2017,July,Lake (LC),LDA,Gas,PMBW,CAT,PM10,0.0076288068278626605
2017,July,Lake (LC),LDA,Gas,PMBW,CAT,PM2_5,0.002670082389751931
2017,July,Lake (LC),LDA,Gas,PMBW,NCAT,PM,1.2434582888573286e-05
2017,July,Lake (LC),LDA,Gas,PMBW,NCAT,PM10,1.2434582888573286e-05
2017,July,Lake (LC),LDA,Gas,PMBW,NCAT,PM2_5,4.352104011000649e-06
2017,July,Lake (LC),LDA,Gas,PMTW,CAT,PM,0.008008525511571912
2017,July,Lake (LC),LDA,Gas,PMTW,CAT,PM10,0.008008525511571912
2017,July,Lake (LC),LDA,Gas,PMTW,CAT,PM2_5,0.002002131377892978
2017,July,Lake (LC),LDA,Gas,PMTW,NCAT,PM,1.2397376022467703e-05
2017,July,Lake (LC),LDA,Gas,PMTW,NCAT,PM10,1.2397376022467703e-05
2017,July,Lake (LC),LDA,Gas,PMTW,NCAT,PM2_5,3.099344005616926e-06
2017,July,Lake (LC),LDA,Gas,RUNEX,CAT,CO,2.256443746885822
2017,July,Lake (LC),LDA,Gas,RUNEX,CAT,NH3,0.03220766662190803
2017,July,Lake (LC),LDA,Gas,RUNEX,CAT,NOx,0.19565949969796734
2017,July,Lake (LC),LDA,Gas,RUNEX,CAT,PM,0.00275613466766304
2017,July,Lake (LC),LDA,Gas,RUNEX,CAT,PM10,0.0024650967065748476
2017,July,Lake (LC),LDA,Gas,RUNEX,CAT,PM2_5,0.002267119858012878
2017,July,Lake (LC),LDA,Gas,RUNEX,CAT,SOx,0.0032040314234291515
2017,July,Lake (LC),LDA,Gas,RUNEX,CAT,TOG,0.08099189400186137
2017,July,Lake (LC),LDA,Gas,RUNEX,NCAT,CO,0.09977348981896489
2017,July,Lake (LC),LDA,Gas,RUNEX,NCAT,NH3,1.0779386144061812e-05
2017,July,Lake (LC),LDA,Gas,RUNEX,NCAT,NOx,0.006775529375208414
2017,July,Lake (LC),LDA,Gas,RUNEX,NCAT,PM,9.3825238713809e-05
2017,July,Lake (LC),LDA,Gas,RUNEX,NCAT,PM10,8.905374071987964e-05
2017,July,Lake (LC),LDA,Gas,RUNEX,NCAT,PM2_5,8.446058270670277e-05
2017,July,Lake (LC),LDA,Gas,RUNEX,NCAT,SOx,9.438681779519418e-06
2017,July,Lake (LC),LDA,Gas,RUNEX,NCAT,TOG,0.008225290867829142
2017,July,Lake (LC),LDA,Gas,RUNLOSS,CAT,TOG,0.07181531856506802
2017,July,Lake (LC),LDA,Gas,RUNLOSS,NCAT,TOG,0.0012054931073456905
2017,July,Lake (LC),LDA,Gas,STREX,CAT,CO,0.9595261516108742
2017,July,Lake (LC),LDA,Gas,STREX,CAT,NOx,0.06430759485318396
2017,July,Lake (LC),LDA,Gas,STREX,CAT,PM,0.0005277987593839602
2017,July,Lake (LC),LDA,Gas,STREX,CAT,PM10,0.0004721252276026624
2017,July,Lake (LC),LDA,Gas,STREX,CAT,PM2_5,0.00043423786361321525
2017,July,Lake (LC),LDA,Gas,STREX,CAT,SOx,0.00011290463955668333
2017,July,Lake (LC),LDA,Gas,STREX,CAT,TOG,0.11559607118428572
2017,July,Lake (LC),LDA,Gas,STREX,NCAT,CO,0.009641614068426878
2017,July,Lake (LC),LDA,Gas,STREX,NCAT,NOx,0.0004102273652227524
2017,July,Lake (LC),LDA,Gas,STREX,NCAT,PM,2.1383068556661824e-05
2017,July,Lake (LC),LDA,Gas,STREX,NCAT,PM10,2.0275992169549977e-05
2017,July,Lake (LC),LDA,Gas,STREX,NCAT,PM2_5,1.9220990466858987e-05
2017,July,Lake (LC),LDA,Gas,STREX,NCAT,SOx,7.887483747267484e-07
2017,July,Lake (LC),LDA,Gas,STREX,NCAT,TOG,0.0016356770616477712
2017,July,Lake (LC),LDA,Phe,DIURN,CAT,TOG,0.0001537394881792849
2017,July,Lake (LC),LDA,Phe,HOTSOAK,CAT,TOG,3.153472044922484e-05
2017,July,Lake (LC),LDA,Phe,PMBW,CAT,PM,2.9911651957205618e-05
2017,July,Lake (LC),LDA,Phe,PMBW,CAT,PM10,2.9911651957205618e-05
2017,July,Lake (LC),LDA,Phe,PMBW,CAT,PM2_5,1.0469078185021966e-05
2017,July,Lake (LC),LDA,Phe,PMTW,CAT,PM,6.198154015156013e-05
2017,July,Lake (LC),LDA,Phe,PMTW,CAT,PM10,6.198154015156013e-05
2017,July,Lake (LC),LDA,Phe,PMTW,CAT,PM2_5,1.5495385037890033e-05
2017,July,Lake (LC),LDA,Phe,RUNEX,CAT,CO,0.0019340462445029802
2017,July,Lake (LC),LDA,Phe,RUNEX,CAT,NH3,0.00011861598047194924
2017,July,Lake (LC),LDA,Phe,RUNEX,CAT,NOx,2.682400695019612e-05
2017,July,Lake (LC),LDA,Phe,RUNEX,CAT,PM,7.268988504646777e-06
2017,July,Lake (LC),LDA,Phe,RUNEX,CAT,PM10,6.498475723154219e-06
2017,July,Lake (LC),LDA,Phe,RUNEX,CAT,PM2_5,5.9751085508196506e-06
2017,July,Lake (LC),LDA,Phe,RUNEX,CAT,SOx,1.1943955176607614e-05
2017,July,Lake (LC),LDA,Phe,RUNEX,CAT,TOG,1.927234869490158e-05
2017,July,Lake (LC),LDA,Phe,RUNLOSS,CAT,TOG,2.874571311269442e-05
2017,July,Lake (LC),LDA,Phe,STREX,CAT,CO,0.0009304622572413888
2017,July,Lake (LC),LDA,Phe,STREX,CAT,NOx,8.124941355219932e-05
2017,July,Lake (LC),LDA,Phe,STREX,CAT,PM,1.8538459151018347e-06
2017,July,Lake (LC),LDA,Phe,STREX,CAT,PM10,1.6573382481010405e-06
2017,July,Lake (LC),LDA,Phe,STREX,CAT,PM2_5,1.523861342213708e-06
2017,July,Lake (LC),LDA,Phe,STREX,CAT,SOx,4.922093421467262e-07
2017,July,Lake (LC),LDA,Phe,STREX,CAT,TOG,0.00013462921188883036
2017,July,Lake (LC),LDT1,Dsl,PMBW,DSL,PM,2.309282037285486e-06
2017,July,Lake (LC),LDT1,Dsl,PMBW,DSL,PM10,2.309282037285486e-06
2017,July,Lake (LC),LDT1,Dsl,PMBW,DSL,PM2_5,8.0824871304992e-07
2017,July,Lake (LC),LDT1,Dsl,PMTW,DSL,PM,1.763609709929636e-06
2017,July,Lake (LC),LDT1,Dsl,PMTW,DSL,PM10,1.763609709929636e-06
2017,July,Lake (LC),LDT1,Dsl,PMTW,DSL,PM2_5,4.40902427482409e-07
2017,July,Lake (LC),LDT1,Dsl,RUNEX,DSL,CO,0.00037340267736549074
2017,July,Lake (LC),LDT1,Dsl,RUNEX,DSL,NH3,6.833985667350614e-07
2017,July,Lake (LC),LDT1,Dsl,RUNEX,DSL,NOx,0.000341243034976612
2017,July,Lake (LC),LDT1,Dsl,RUNEX,DSL,PM,5.771720265038492e-05
2017,July,Lake (LC),LDT1,Dsl,RUNEX,DSL,PM10,5.737089943448261e-05
2017,July,Lake (LC),LDT1,Dsl,RUNEX,DSL,PM2_5,5.4889059720516065e-05
2017,July,Lake (LC),LDT1,Dsl,RUNEX,DSL,SOx,8.747564008468071e-07
2017,July,Lake (LC),LDT1,Dsl,RUNEX,DSL,TOG,7.739766231147738e-05
2017,July,Lake (LC),LDT1,Elec,PMBW,ELEC,PM,3.8878451727313625e-07
2017,July,Lake (LC),LDT1,Elec,PMBW,ELEC,PM10,3.8878451727313625e-07
2017,July,Lake (LC),LDT1,Elec,PMBW,ELEC,PM2_5,1.3607458104559766e-07
2017,July,Lake (LC),LDT1,Elec,PMTW,ELEC,PM,7.029570474593446e-07
2017,July,Lake (LC),LDT1,Elec,PMTW,ELEC,PM10,7.029570474593446e-07
2017,July,Lake (LC),LDT1,Elec,PMTW,ELEC,PM2_5,1.7573926186483615e-07
2017,July,Lake (LC),LDT1,Gas,DIURN,CAT,TOG,0.05170263216816953
2017,July,Lake (LC),LDT1,Gas,DIURN,NCAT,TOG,0.0022578657759737904
2017,July,Lake (LC),LDT1,Gas,HOTSOAK,CAT,TOG,0.012093025232401147
2017,July,Lake (LC),LDT1,Gas,HOTSOAK,NCAT,TOG,0.0012053581730374439
2017,July,Lake (LC),LDT1,Gas,PMBW,CAT,PM,0.0015318258219767329
2017,July,Lake (LC),LDT1,Gas,PMBW,CAT,PM10,0.0015318258219767329
2017,July,Lake (LC),LDT1,Gas,PMBW,CAT,PM2_5,0.0005361390376918563
2017,July,Lake (LC),LDT1,Gas,PMBW,NCAT,PM,9.093757104039996e-06
2017,July,Lake (LC),LDT1,Gas,PMBW,NCAT,PM10,9.093757104039996e-06
