calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Los Angeles (MD),LDA,Dsl,PMBW,DSL,PM,0.0001455609416794016
2017,July,Los Angeles (MD),LDA,Dsl,PMBW,DSL,PM10,0.0001455609416794016
2017,July,Los Angeles (MD),LDA,Dsl,PMBW,DSL,PM2_5,5.0946329587790555e-05
2017,July,Los Angeles (MD),LDA,Dsl,PMTW,DSL,PM,0.0001592270834211452
2017,July,Los Angeles (MD),LDA,Dsl,PMTW,DSL,PM10,0.0001592270834211452
2017,July,Los Angeles (MD),LDA,Dsl,PMTW,DSL,PM2_5,3.98067708552863e-05
2017,July,Los Angeles (MD),LDA,Dsl,RUNEX,DSL,CO,0.009488450698713229
2017,July,Los Angeles (MD),LDA,Dsl,RUNEX,DSL,NH3,6.170047714227896e-05
2017,July,Los Angeles (MD),LDA,Dsl,RUNEX,DSL,NOx,0.009699404319266223
2017,July,Los Angeles (MD),LDA,Dsl,RUNEX,DSL,PM,0.0006709170301882694
2017,July,Los Angeles (MD),LDA,Dsl,RUNEX,DSL,PM10,0.0006668915280071399
2017,July,Los Angeles (MD),LDA,Dsl,RUNEX,DSL,PM2_5,0.0006380420957090441
2017,July,Los Angeles (MD),LDA,Dsl,RUNEX,DSL,SOx,4.5948803114529206e-05
2017,July,Los Angeles (MD),LDA,Dsl,RUNEX,DSL,TOG,0.0011503151438889724
2017,July,Los Angeles (MD),LDA,Elec,PMBW,ELEC,PM,3.3183994273138835e-05
2017,July,Los Angeles (MD),LDA,Elec,PMBW,ELEC,PM10,3.3183994273138835e-05
2017,July,Los Angeles (MD),LDA,Elec,PMBW,ELEC,PM2_5,1.1614397995598591e-05
2017,July,Los Angeles (MD),LDA,Elec,PMTW,ELEC,PM,6.0851534075912765e-05
2017,July,Los Angeles (MD),LDA,Elec,PMTW,ELEC,PM10,6.0851534075912765e-05
2017,July,Los Angeles (MD),LDA,Elec,PMTW,ELEC,PM2_5,1.5212883518978191e-05
2017,July,Los Angeles (MD),LDA,Gas,DIURN,CAT,TOG,0.355002681351671
2017,July,Los Angeles (MD),LDA,Gas,DIURN,NCAT,TOG,0.00794521364747897
2017,July,Los Angeles (MD),LDA,Gas,HOTSOAK,CAT,TOG,0.07776663667633518
2017,July,Los Angeles (MD),LDA,Gas,HOTSOAK,NCAT,TOG,0.003801481626527716
2017,July,Los Angeles (MD),LDA,Gas,PMBW,CAT,PM,0.039464626268813405
2017,July,Los Angeles (MD),LDA,Gas,PMBW,CAT,PM10,0.039464626268813405
2017,July,Los Angeles (MD),LDA,Gas,PMBW,CAT,PM2_5,0.013812619194084694
2017,July,Los Angeles (MD),LDA,Gas,PMBW,NCAT,PM,2.045536120882268e-05
2017,July,Los Angeles (MD),LDA,Gas,PMBW,NCAT,PM10,2.045536120882268e-05
2017,July,Los Angeles (MD),LDA,Gas,PMBW,NCAT,PM2_5,7.159376423087937e-06
2017,July,Los Angeles (MD),LDA,Gas,PMTW,CAT,PM,0.04311759083217284
2017,July,Los Angeles (MD),LDA,Gas,PMTW,CAT,PM10,0.04311759083217284
2017,July,Los Angeles (MD),LDA,Gas,PMTW,CAT,PM2_5,0.01077939770804321
2017,July,Los Angeles (MD),LDA,Gas,PMTW,NCAT,PM,2.1007114258444557e-05
2017,July,Los Angeles (MD),LDA,Gas,PMTW,NCAT,PM10,2.1007114258444557e-05
2017,July,Los Angeles (MD),LDA,Gas,PMTW,NCAT,PM2_5,5.251778564611139e-06
2017,July,Los Angeles (MD),LDA,Gas,RUNEX,CAT,CO,11.321545790737634
2017,July,Los Angeles (MD),LDA,Gas,RUNEX,CAT,NH3,0.15759778219694626
2017,July,Los Angeles (MD),LDA,Gas,RUNEX,CAT,NOx,0.5310607813401047
2017,July,Los Angeles (MD),LDA,Gas,RUNEX,CAT,PM,0.009008683139575414
2017,July,Los Angeles (MD),LDA,Gas,RUNEX,CAT,PM10,0.008054543349657661
2017,July,Los Angeles (MD),LDA,Gas,RUNEX,CAT,PM2_5,0.0074062443940643916
2017,July,Los Angeles (MD),LDA,Gas,RUNEX,CAT,SOx,0.018191481784280303
2017,July,Los Angeles (MD),LDA,Gas,RUNEX,CAT,TOG,0.22364320559617099
2017,July,Los Angeles (MD),LDA,Gas,RUNEX,NCAT,CO,0.2615804922390197
2017,July,Los Angeles (MD),LDA,Gas,RUNEX,NCAT,NH3,1.5376546291415072e-05
2017,July,Los Angeles (MD),LDA,Gas,RUNEX,NCAT,NOx,0.010668053413853698
2017,July,Los Angeles (MD),LDA,Gas,RUNEX,NCAT,PM,0.00015053493637691851
2017,July,Los Angeles (MD),LDA,Gas,RUNEX,NCAT,PM10,0.0001438834509809785
2017,July,Los Angeles (MD),LDA,Gas,RUNEX,NCAT,PM2_5,0.00013693368332423403
2017,July,Los Angeles (MD),LDA,Gas,RUNEX,NCAT,SOx,1.78359177189333e-05
2017,July,Los Angeles (MD),LDA,Gas,RUNEX,NCAT,TOG,0.013576523282988097
2017,July,Los Angeles (MD),LDA,Gas,RUNLOSS,CAT,TOG,0.18777403841013265
2017,July,Los Angeles (MD),LDA,Gas,RUNLOSS,NCAT,TOG,0.0032629620950551195
2017,July,Los Angeles (MD),LDA,Gas,STREX,CAT,CO,2.289906807635663
2017,July,Los Angeles (MD),LDA,Gas,STREX,CAT,NOx,0.1961210811327946
2017,July,Los Angeles (MD),LDA,Gas,STREX,CAT,PM,0.001563790089010398
2017,July,Los Angeles (MD),LDA,Gas,STREX,CAT,PM10,0.0013983136864598466
2017,July,Los Angeles (MD),LDA,Gas,STREX,CAT,PM2_5,0.0012858400494953877
2017,July,Los Angeles (MD),LDA,Gas,STREX,CAT,SOx,0.0004348341988324691
2017,July,Los Angeles (MD),LDA,Gas,STREX,CAT,TOG,0.2781031616465271
2017,July,Los Angeles (MD),LDA,Gas,STREX,NCAT,CO,0.024844608280592304
2017,July,Los Angeles (MD),LDA,Gas,STREX,NCAT,NOx,0.0010359152150727967
2017,July,Los Angeles (MD),LDA,Gas,STREX,NCAT,PM,5.3756880606333525e-05
2017,July,Los Angeles (MD),LDA,Gas,STREX,NCAT,PM10,5.137501537813579e-05
2017,July,Los Angeles (MD),LDA,Gas,STREX,NCAT,PM2_5,4.889046318716725e-05
2017,July,Los Angeles (MD),LDA,Gas,STREX,NCAT,SOx,2.0557119243355844e-06
2017,July,Los Angeles (MD),LDA,Gas,STREX,NCAT,TOG,0.003571241464406347
2017,July,Los Angeles (MD),LDA,Phe,DIURN,CAT,TOG,0.0010844654851722602
2017,July,Los Angeles (MD),LDA,Phe,HOTSOAK,CAT,TOG,0.00020018229651370267
2017,July,Los Angeles (MD),LDA,Phe,PMBW,CAT,PM,0.00021604118188678383
2017,July,Los Angeles (MD),LDA,Phe,PMBW,CAT,PM10,0.00021604118188678383
2017,July,Los Angeles (MD),LDA,Phe,PMBW,CAT,PM2_5,7.561441366037434e-05
2017,July,Los Angeles (MD),LDA,Phe,PMTW,CAT,PM,0.0004510795785211356
2017,July,Los Angeles (MD),LDA,Phe,PMTW,CAT,PM10,0.0004510795785211356
2017,July,Los Angeles (MD),LDA,Phe,PMTW,CAT,PM2_5,0.0001127698946302839
2017,July,Los Angeles (MD),LDA,Phe,RUNEX,CAT,CO,0.019927971300636955
2017,July,Los Angeles (MD),LDA,Phe,RUNEX,CAT,NH3,0.0008940492678346009
2017,July,Los Angeles (MD),LDA,Phe,RUNEX,CAT,NOx,0.00016174961232172082
2017,July,Los Angeles (MD),LDA,Phe,RUNEX,CAT,PM,4.8785248444622e-05
2017,July,Los Angeles (MD),LDA,Phe,RUNEX,CAT,PM10,4.3614012109492065e-05
2017,July,Los Angeles (MD),LDA,Phe,RUNEX,CAT,PM2_5,4.0101474221479286e-05
2017,July,Los Angeles (MD),LDA,Phe,RUNEX,CAT,SOx,9.354890064784095e-05
2017,July,Los Angeles (MD),LDA,Phe,RUNEX,CAT,TOG,0.00012844809788880316
2017,July,Los Angeles (MD),LDA,Phe,RUNLOSS,CAT,TOG,0.00018482403423420932
2017,July,Los Angeles (MD),LDA,Phe,STREX,CAT,CO,0.004499712839239103
2017,July,Los Angeles (MD),LDA,Phe,STREX,CAT,NOx,0.0004551821240412355
2017,July,Los Angeles (MD),LDA,Phe,STREX,CAT,PM,1.2028927044226363e-05
2017,July,Los Angeles (MD),LDA,Phe,STREX,CAT,PM10,1.0753860777538369e-05
2017,July,Los Angeles (MD),LDA,Phe,STREX,CAT,PM2_5,9.88777803035407e-06
2017,July,Los Angeles (MD),LDA,Phe,STREX,CAT,SOx,3.0182732030523304e-06
2017,July,Los Angeles (MD),LDA,Phe,STREX,CAT,TOG,0.0006566297685447438
2017,July,Los Angeles (MD),LDT1,Dsl,PMBW,DSL,PM,2.670584184066174e-06
2017,July,Los Angeles (MD),LDT1,Dsl,PMBW,DSL,PM10,2.670584184066174e-06
2017,July,Los Angeles (MD),LDT1,Dsl,PMBW,DSL,PM2_5,9.347044644231608e-07
2017,July,Los Angeles (MD),LDT1,Dsl,PMTW,DSL,PM,2.1239832819677247e-06
2017,July,Los Angeles (MD),LDT1,Dsl,PMTW,DSL,PM10,2.1239832819677247e-06
2017,July,Los Angeles (MD),LDT1,Dsl,PMTW,DSL,PM2_5,5.309958204919312e-07
2017,July,Los Angeles (MD),LDT1,Dsl,RUNEX,DSL,CO,0.0004347816683303061
2017,July,Los Angeles (MD),LDT1,Dsl,RUNEX,DSL,NH3,8.230432858775131e-07
2017,July,Los Angeles (MD),LDT1,Dsl,RUNEX,DSL,NOx,0.00041464546693320906
2017,July,Los Angeles (MD),LDT1,Dsl,RUNEX,DSL,PM,6.537850516282286e-05
2017,July,Los Angeles (MD),LDT1,Dsl,RUNEX,DSL,PM10,6.498623413184591e-05
2017,July,Los Angeles (MD),LDT1,Dsl,RUNEX,DSL,PM2_5,6.217495840984453e-05
2017,July,Los Angeles (MD),LDT1,Dsl,RUNEX,DSL,SOx,1.0257804843496276e-06
2017,July,Los Angeles (MD),LDT1,Dsl,RUNEX,DSL,TOG,8.406972815095203e-05
2017,July,Los Angeles (MD),LDT1,Elec,PMBW,ELEC,PM,1.7354178905039497e-07
2017,July,Los Angeles (MD),LDT1,Elec,PMBW,ELEC,PM10,1.7354178905039497e-07
2017,July,Los Angeles (MD),LDT1,Elec,PMBW,ELEC,PM2_5,6.073962616763824e-08
2017,July,Los Angeles (MD),LDT1,Elec,PMTW,ELEC,PM,3.117405808800298e-07
2017,July,Los Angeles (MD),LDT1,Elec,PMTW,ELEC,PM10,3.117405808800298e-07
2017,July,Los Angeles (MD),LDT1,Elec,PMTW,ELEC,PM2_5,7.793514522000745e-08
2017,July,Los Angeles (MD),LDT1,Gas,DIURN,CAT,TOG,0.08420148862868715
2017,July,Los Angeles (MD),LDT1,Gas,DIURN,NCAT,TOG,0.0019075522205429494
2017,July,Los Angeles (MD),LDT1,Gas,HOTSOAK,CAT,TOG,0.017449073479090534
2017,July,Los Angeles (MD),LDT1,Gas,HOTSOAK,NCAT,TOG,0.000911991111147395
2017,July,Los Angeles (MD),LDT1,Gas,PMBW,CAT,PM,0.004073220091823142
2017,July,Los Angeles (MD),LDT1,Gas,PMBW,CAT,PM10,0.004073220091823142
2017,July,Los Angeles (MD),LDT1,Gas,PMBW,CAT,PM2_5,0.0014256270321380995
2017,July,Los Angeles (MD),LDT1,Gas,PMBW,NCAT,PM,1.2258136567327678e-05
2017,July,Los Angeles (MD),LDT1,Gas,PMBW,NCAT,PM10,1.2258136567327678e-05
