calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Madera (SJV),LDA,Dsl,PMBW,DSL,PM,3.2853026585526e-05
2017,July,Madera (SJV),LDA,Dsl,PMBW,DSL,PM10,3.2853026585526e-05
2017,July,Madera (SJV),LDA,Dsl,PMBW,DSL,PM2_5,1.14985593049341e-05
2017,July,Madera (SJV),LDA,Dsl,PMTW,DSL,PM,6.194019810117677e-05
2017,July,Madera (SJV),LDA,Dsl,PMTW,DSL,PM10,6.194019810117677e-05
2017,July,Madera (SJV),LDA,Dsl,PMTW,DSL,PM2_5,1.5485049525294193e-05
2017,July,Madera (SJV),LDA,Dsl,RUNEX,DSL,CO,0.0036957271929031255
2017,July,Madera (SJV),LDA,Dsl,RUNEX,DSL,NH3,2.400181988526184e-05
2017,July,Madera (SJV),LDA,Dsl,RUNEX,DSL,NOx,0.0038713580542311483
2017,July,Madera (SJV),LDA,Dsl,RUNEX,DSL,PM,0.0002373277115731817
2017,July,Madera (SJV),LDA,Dsl,RUNEX,DSL,PM10,0.0002359037453037427
2017,July,Madera (SJV),LDA,Dsl,RUNEX,DSL,PM2_5,0.00022569865370609583
2017,July,Madera (SJV),LDA,Dsl,RUNEX,DSL,SOx,1.8182750647453572e-05
2017,July,Madera (SJV),LDA,Dsl,RUNEX,DSL,TOG,0.00038895430700310605
2017,July,Madera (SJV),LDA,Elec,PMBW,ELEC,PM,5.178487968167815e-05
2017,July,Madera (SJV),LDA,Elec,PMBW,ELEC,PM10,5.178487968167815e-05
2017,July,Madera (SJV),LDA,Elec,PMBW,ELEC,PM2_5,1.8124707888587352e-05
2017,July,Madera (SJV),LDA,Elec,PMTW,ELEC,PM,9.503424742898916e-05
2017,July,Madera (SJV),LDA,Elec,PMTW,ELEC,PM10,9.503424742898916e-05
2017,July,Madera (SJV),LDA,Elec,PMTW,ELEC,PM2_5,2.375856185724729e-05
2017,July,Madera (SJV),LDA,Gas,DIURN,CAT,TOG,0.16961031896398873
2017,July,Madera (SJV),LDA,Gas,DIURN,NCAT,TOG,0.004119311847644032
2017,July,Madera (SJV),LDA,Gas,HOTSOAK,CAT,TOG,0.037606309851365184
2017,July,Madera (SJV),LDA,Gas,HOTSOAK,NCAT,TOG,0.001995660169176587
2017,July,Madera (SJV),LDA,Gas,PMBW,CAT,PM,0.008901299721819564
2017,July,Madera (SJV),LDA,Gas,PMBW,CAT,PM10,0.008901299721819564
2017,July,Madera (SJV),LDA,Gas,PMBW,CAT,PM2_5,0.003115454902636848
2017,July,Madera (SJV),LDA,Gas,PMBW,NCAT,PM,3.2814313328250675e-06
2017,July,Madera (SJV),LDA,Gas,PMBW,NCAT,PM10,3.2814313328250675e-06
2017,July,Madera (SJV),LDA,Gas,PMBW,NCAT,PM2_5,1.1485009664887738e-06
2017,July,Madera (SJV),LDA,Gas,PMTW,CAT,PM,0.016760694277268978
2017,July,Madera (SJV),LDA,Gas,PMTW,CAT,PM10,0.016760694277268978
2017,July,Madera (SJV),LDA,Gas,PMTW,CAT,PM2_5,0.0041901735693172446
2017,July,Madera (SJV),LDA,Gas,PMTW,NCAT,PM,5.804157106606221e-06
2017,July,Madera (SJV),LDA,Gas,PMTW,NCAT,PM10,5.804157106606221e-06
2017,July,Madera (SJV),LDA,Gas,PMTW,NCAT,PM2_5,1.4510392766515552e-06
2017,July,Madera (SJV),LDA,Gas,RUNEX,CAT,CO,3.5210877445052904
2017,July,Madera (SJV),LDA,Gas,RUNEX,CAT,NH3,0.060122440284598566
2017,July,Madera (SJV),LDA,Gas,RUNEX,CAT,NOx,0.20101228856348904
2017,July,Madera (SJV),LDA,Gas,RUNEX,CAT,PM,0.0031174316301342104
2017,July,Madera (SJV),LDA,Gas,RUNEX,CAT,PM10,0.00278725443202008
2017,July,Madera (SJV),LDA,Gas,RUNEX,CAT,PM2_5,0.0025629124222779198
2017,July,Madera (SJV),LDA,Gas,RUNEX,CAT,SOx,0.007097500704048085
2017,July,Madera (SJV),LDA,Gas,RUNEX,CAT,TOG,0.07520992054353512
2017,July,Madera (SJV),LDA,Gas,RUNEX,NCAT,CO,0.07949116073568586
2017,July,Madera (SJV),LDA,Gas,RUNEX,NCAT,NH3,4.399212395613031e-06
2017,July,Madera (SJV),LDA,Gas,RUNEX,NCAT,NOx,0.0032849321062752
2017,July,Madera (SJV),LDA,Gas,RUNEX,NCAT,PM,4.2064411629391396e-05
2017,July,Madera (SJV),LDA,Gas,RUNEX,NCAT,PM10,4.015334489574874e-05
2017,July,Madera (SJV),LDA,Gas,RUNEX,NCAT,PM2_5,3.818944315655257e-05
2017,July,Madera (SJV),LDA,Gas,RUNEX,NCAT,SOx,5.095597814327607e-06
2017,July,Madera (SJV),LDA,Gas,RUNEX,NCAT,TOG,0.0037682430910276656
2017,July,Madera (SJV),LDA,Gas,RUNLOSS,CAT,TOG,0.09044066649211106
2017,July,Madera (SJV),LDA,Gas,RUNLOSS,NCAT,TOG,0.0017087166695668242
2017,July,Madera (SJV),LDA,Gas,STREX,CAT,CO,1.131330905666255
2017,July,Madera (SJV),LDA,Gas,STREX,CAT,NOx,0.09359314969068985
2017,July,Madera (SJV),LDA,Gas,STREX,CAT,PM,0.0007264410480106766
2017,July,Madera (SJV),LDA,Gas,STREX,CAT,PM10,0.0006496136770499328
2017,July,Madera (SJV),LDA,Gas,STREX,CAT,PM2_5,0.000597383214781147
2017,July,Madera (SJV),LDA,Gas,STREX,CAT,SOx,0.00020076543043119892
2017,July,Madera (SJV),LDA,Gas,STREX,CAT,TOG,0.13655604755048661
2017,July,Madera (SJV),LDA,Gas,STREX,NCAT,CO,0.012990742983991556
2017,July,Madera (SJV),LDA,Gas,STREX,NCAT,NOx,0.0005413815025043129
2017,July,Madera (SJV),LDA,Gas,STREX,NCAT,PM,2.8248035340876745e-05
2017,July,Madera (SJV),LDA,Gas,STREX,NCAT,PM10,2.697098183419447e-05
2017,July,Madera (SJV),LDA,Gas,STREX,NCAT,PM2_5,2.565477509121282e-05
2017,July,Madera (SJV),LDA,Gas,STREX,NCAT,SOx,1.0749506636319922e-06
2017,July,Madera (SJV),LDA,Gas,STREX,NCAT,TOG,0.0019029169487077158
2017,July,Madera (SJV),LDA,Phe,DIURN,CAT,TOG,0.0004621981981408136
2017,July,Madera (SJV),LDA,Phe,HOTSOAK,CAT,TOG,8.676799197987695e-05
2017,July,Madera (SJV),LDA,Phe,PMBW,CAT,PM,7.108217905527769e-05
2017,July,Madera (SJV),LDA,Phe,PMBW,CAT,PM10,7.108217905527769e-05
2017,July,Madera (SJV),LDA,Phe,PMBW,CAT,PM2_5,2.4878762669347193e-05
2017,July,Madera (SJV),LDA,Phe,PMTW,CAT,PM,0.0001784023240144493
2017,July,Madera (SJV),LDA,Phe,PMTW,CAT,PM10,0.0001784023240144493
2017,July,Madera (SJV),LDA,Phe,PMTW,CAT,PM2_5,4.460058100361233e-05
2017,July,Madera (SJV),LDA,Phe,RUNEX,CAT,CO,0.006434943083204079
2017,July,Madera (SJV),LDA,Phe,RUNEX,CAT,NH3,0.00034966512350291274
2017,July,Madera (SJV),LDA,Phe,RUNEX,CAT,NOx,5.89275040008161e-05
2017,July,Madera (SJV),LDA,Phe,RUNEX,CAT,PM,1.7886220626400183e-05
2017,July,Madera (SJV),LDA,Phe,RUNEX,CAT,PM10,1.5990281240001764e-05
2017,July,Madera (SJV),LDA,Phe,RUNEX,CAT,PM2_5,1.4702473354900947e-05
2017,July,Madera (SJV),LDA,Phe,RUNEX,CAT,SOx,3.2828893513792867e-05
2017,July,Madera (SJV),LDA,Phe,RUNEX,CAT,TOG,4.023675782774871e-05
2017,July,Madera (SJV),LDA,Phe,RUNLOSS,CAT,TOG,7.960807724671269e-05
2017,July,Madera (SJV),LDA,Phe,STREX,CAT,CO,0.0020026549783892355
2017,July,Madera (SJV),LDA,Phe,STREX,CAT,NOx,0.0001977012334173584
2017,July,Madera (SJV),LDA,Phe,STREX,CAT,PM,5.036092272526281e-06
2017,July,Madera (SJV),LDA,Phe,STREX,CAT,PM10,4.502266491638497e-06
2017,July,Madera (SJV),LDA,Phe,STREX,CAT,PM2_5,4.139667848016603e-06
2017,July,Madera (SJV),LDA,Phe,STREX,CAT,SOx,1.2934045096676332e-06
2017,July,Madera (SJV),LDA,Phe,STREX,CAT,TOG,0.0002894205299556779
2017,July,Madera (SJV),LDT1,Dsl,PMBW,DSL,PM,2.046676862104404e-06
2017,July,Madera (SJV),LDT1,Dsl,PMBW,DSL,PM10,2.046676862104404e-06
2017,July,Madera (SJV),LDT1,Dsl,PMBW,DSL,PM2_5,7.163369017365416e-07
2017,July,Madera (SJV),LDT1,Dsl,PMTW,DSL,PM,2.8988549098294033e-06
2017,July,Madera (SJV),LDT1,Dsl,PMTW,DSL,PM10,2.8988549098294033e-06
2017,July,Madera (SJV),LDT1,Dsl,PMTW,DSL,PM2_5,7.247137274573508e-07
2017,July,Madera (SJV),LDT1,Dsl,RUNEX,DSL,CO,0.000466057824669625
2017,July,Madera (SJV),LDT1,Dsl,RUNEX,DSL,NH3,1.1233059556183502e-06
2017,July,Madera (SJV),LDT1,Dsl,RUNEX,DSL,NOx,0.00046214626782873914
2017,July,Madera (SJV),LDT1,Dsl,RUNEX,DSL,PM,4.3391601556290334e-05
2017,July,Madera (SJV),LDT1,Dsl,RUNEX,DSL,PM10,4.31312519469526e-05
2017,July,Madera (SJV),LDT1,Dsl,RUNEX,DSL,PM2_5,4.1265413080032134e-05
2017,July,Madera (SJV),LDT1,Dsl,RUNEX,DSL,SOx,1.5448336462538832e-06
2017,July,Madera (SJV),LDT1,Dsl,RUNEX,DSL,TOG,6.438844291533663e-05
2017,July,Madera (SJV),LDT1,Elec,PMBW,ELEC,PM,4.047857560710005e-07
2017,July,Madera (SJV),LDT1,Elec,PMBW,ELEC,PM10,4.047857560710005e-07
2017,July,Madera (SJV),LDT1,Elec,PMBW,ELEC,PM2_5,1.4167501462485017e-07
2017,July,Madera (SJV),LDT1,Elec,PMTW,ELEC,PM,7.354780902850348e-07
2017,July,Madera (SJV),LDT1,Elec,PMTW,ELEC,PM10,7.354780902850348e-07
2017,July,Madera (SJV),LDT1,Elec,PMTW,ELEC,PM2_5,1.838695225712587e-07
2017,July,Madera (SJV),LDT1,Gas,DIURN,CAT,TOG,0.05043308221451932
2017,July,Madera (SJV),LDT1,Gas,DIURN,NCAT,TOG,0.0024713443124331617
2017,July,Madera (SJV),LDT1,Gas,HOTSOAK,CAT,TOG,0.010788452804981091
2017,July,Madera (SJV),LDT1,Gas,HOTSOAK,NCAT,TOG,0.0012046960517737588
2017,July,Madera (SJV),LDT1,Gas,PMBW,CAT,PM,0.0011367991697512378
2017,July,Madera (SJV),LDT1,Gas,PMBW,CAT,PM10,0.0011367991697512378
2017,July,Madera (SJV),LDT1,Gas,PMBW,CAT,PM2_5,0.0003978797094129332
2017,July,Madera (SJV),LDT1,Gas,PMBW,NCAT,PM,3.834595852672912e-06
2017,July,Madera (SJV),LDT1,Gas,PMBW,NCAT,PM10,3.834595852672912e-06
2017,July,Madera (SJV),LDT1,Gas,PMBW,NCAT,PM2_5,1.342108548435519e-06
2017,July,Madera (SJV),LDT1,Gas,PMTW,CAT,PM,0.0017123862785583435
2017,July,Madera (SJV),LDT1,Gas,PMTW,CAT,PM10,0.0017123862785583435
2017,July,Madera (SJV),LDT1,Gas,PMTW,CAT,PM2_5,0.00042809656963958587
2017,July,Madera (SJV),LDT1,Gas,PMTW,NCAT,PM,5.056698166021875e-06
2017,July,Madera (SJV),LDT1,Gas,PMTW,NCAT,PM10,5.056698166021875e-06
2017,July,Madera (SJV),LDT1,Gas,PMTW,NCAT,PM2_5,1.2641745415054688e-06
2017,July,Madera (SJV),LDT1,Gas,RUNEX,CAT,CO,0.8254990265423052
2017,July,Madera (SJV),LDT1,Gas,RUNEX,CAT,NH3,0.007990225025125397
2017,July,Madera (SJV),LDT1,Gas,RUNEX,CAT,NOx,0.062142910635048766
2017,July,Madera (SJV),LDT1,Gas,RUNEX,CAT,PM,0.0006908383896870795
2017,July,Madera (SJV),LDT1,Gas,RUNEX,CAT,PM10,0.0006179287638943294
2017,July,Madera (SJV),LDT1,Gas,RUNEX,CAT,PM2_5,0.0005683218150367737
2017,July,Madera (SJV),LDT1,Gas,RUNEX,CAT,SOx,0.0008484448696164816
2017,July,Madera (SJV),LDT1,Gas,RUNEX,CAT,TOG,0.022031491561848814
2017,July,Madera (SJV),LDT1,Gas,RUNEX,NCAT,CO,0.048464116727740106
2017,July,Madera (SJV),LDT1,Gas,RUNEX,NCAT,NH3,4.864959851559889e-06
2017,July,Madera (SJV),LDT1,Gas,RUNEX,NCAT,NOx,0.003041562817299088
2017,July,Madera (SJV),LDT1,Gas,RUNEX,NCAT,PM,3.666483447392631e-05
2017,July,Madera (SJV),LDT1,Gas,RUNEX,NCAT,PM10,3.491566241536282e-05
2017,July,Madera (SJV),LDT1,Gas,RUNEX,NCAT,PM2_5,3.3168994498595886e-05
2017,July,Madera (SJV),LDT1,Gas,RUNEX,NCAT,SOx,3.853498670062669e-06
2017,July,Madera (SJV),LDT1,Gas,RUNEX,NCAT,TOG,0.003306881278739147
2017,July,Madera (SJV),LDT1,Gas,RUNLOSS,CAT,TOG,0.03039805921491787
2017,July,Madera (SJV),LDT1,Gas,RUNLOSS,NCAT,TOG,0.0010250697194482327
2017,July,Madera (SJV),LDT1,Gas,STREX,CAT,CO,0.2719476604842619
2017,July,Madera (SJV),LDT1,Gas,STREX,CAT,NOx,0.018891450756426363
2017,July,Madera (SJV),LDT1,Gas,STREX,CAT,PM,0.00017786870442494088
2017,July,Madera (SJV),LDT1,Gas,STREX,CAT,PM10,0.00015916003851669725
2017,July,Madera (SJV),LDT1,Gas,STREX,CAT,PM2_5,0.00014641426298171947
2017,July,Madera (SJV),LDT1,Gas,STREX,CAT,SOx,3.0353890719783354e-05
2017,July,Madera (SJV),LDT1,Gas,STREX,CAT,TOG,0.030361121159090926
2017,July,Madera (SJV),LDT1,Gas,STREX,NCAT,CO,0.00887212026248592
2017,July,Madera (SJV),LDT1,Gas,STREX,NCAT,NOx,0.00034838779555223853
2017,July,Madera (SJV),LDT1,Gas,STREX,NCAT,PM,1.7578863060656477e-05
2017,July,Madera (SJV),LDT1,Gas,STREX,NCAT,PM10,1.674787064049079e-05
2017,July,Madera (SJV),LDT1,Gas,STREX,NCAT,PM2_5,1.591362948220396e-05
2017,July,Madera (SJV),LDT1,Gas,STREX,NCAT,SOx,6.723994988093156e-07
2017,July,Madera (SJV),LDT1,Gas,STREX,NCAT,TOG,0.0012251018225494614
2017,July,Madera (SJV),LDT1,Phe,DIURN,CAT,TOG,5.524904573413001e-08
2017,July,Madera (SJV),LDT1,Phe,HOTSOAK,CAT,TOG,1.060160960647134e-08
2017,July,Madera (SJV),LDT1,Phe,PMBW,CAT,PM,1.0640287417212777e-08
2017,July,Madera (SJV),LDT1,Phe,PMBW,CAT,PM10,1.0640287417212777e-08
2017,July,Madera (SJV),LDT1,Phe,PMBW,CAT,PM2_5,3.724100596024472e-09
2017,July,Madera (SJV),LDT1,Phe,PMTW,CAT,PM,2.6790423906977885e-08
2017,July,Madera (SJV),LDT1,Phe,PMTW,CAT,PM10,2.6790423906977885e-08
2017,July,Madera (SJV),LDT1,Phe,PMTW,CAT,PM2_5,6.697605976744471e-09
2017,July,Madera (SJV),LDT1,Phe,RUNEX,CAT,CO,9.763834942903406e-07
2017,July,Madera (SJV),LDT1,Phe,RUNEX,CAT,NH3,7.621407446031565e-08
2017,July,Madera (SJV),LDT1,Phe,RUNEX,CAT,NOx,8.849059678360108e-09
2017,July,Madera (SJV),LDT1,Phe,RUNEX,CAT,PM,3.601463335110559e-09
2017,July,Madera (SJV),LDT1,Phe,RUNEX,CAT,PM10,3.2197082215888404e-09
2017,July,Madera (SJV),LDT1,Phe,RUNEX,CAT,PM2_5,2.9604028614608793e-09
2017,July,Madera (SJV),LDT1,Phe,RUNEX,CAT,SOx,4.949123782173481e-09
2017,July,Madera (SJV),LDT1,Phe,RUNEX,CAT,TOG,6.042296841158255e-09
2017,July,Madera (SJV),LDT1,Phe,RUNLOSS,CAT,TOG,1.047806631328376e-08
2017,July,Madera (SJV),LDT1,Phe,STREX,CAT,CO,2.925805625741512e-07
2017,July,Madera (SJV),LDT1,Phe,STREX,CAT,NOx,2.8883426610697905e-08
2017,July,Madera (SJV),LDT1,Phe,STREX,CAT,PM,1.021493715795524e-09
2017,July,Madera (SJV),LDT1,Phe,STREX,CAT,PM10,9.132153819211989e-10
2017,July,Madera (SJV),LDT1,Phe,STREX,CAT,PM2_5,8.396678343839208e-10
2017,July,Madera (SJV),LDT1,Phe,STREX,CAT,SOx,2.1451739724299732e-10
2017,July,Madera (SJV),LDT1,Phe,STREX,CAT,TOG,4.2283280139971796e-08
2017,July,Madera (SJV),LDT2,Dsl,PMBW,DSL,PM,1.1103034931987567e-05
2017,July,Madera (SJV),LDT2,Dsl,PMBW,DSL,PM10,1.1103034931987567e-05
2017,July,Madera (SJV),LDT2,Dsl,PMBW,DSL,PM2_5,3.8860622261956484e-06
2017,July,Madera (SJV),LDT2,Dsl,PMTW,DSL,PM,1.8758986401481118e-05
2017,July,Madera (SJV),LDT2,Dsl,PMTW,DSL,PM10,1.8758986401481118e-05
2017,July,Madera (SJV),LDT2,Dsl,PMTW,DSL,PM2_5,4.689746600370279e-06
2017,July,Madera (SJV),LDT2,Dsl,RUNEX,DSL,CO,0.0004961848278675965
2017,July,Madera (SJV),LDT2,Dsl,RUNEX,DSL,NH3,7.269105147241558e-06
2017,July,Madera (SJV),LDT2,Dsl,RUNEX,DSL,NOx,0.00041612243684434786
2017,July,Madera (SJV),LDT2,Dsl,RUNEX,DSL,PM,4.7791030100833213e-05
2017,July,Madera (SJV),LDT2,Dsl,RUNEX,DSL,PM10,4.7504283920228234e-05
2017,July,Madera (SJV),LDT2,Dsl,RUNEX,DSL,PM2_5,4.54492696258924e-05
2017,July,Madera (SJV),LDT2,Dsl,RUNEX,DSL,SOx,7.483738966187687e-06
2017,July,Madera (SJV),LDT2,Dsl,RUNEX,DSL,TOG,8.342918488957417e-05
2017,July,Madera (SJV),LDT2,Elec,PMBW,ELEC,PM,4.5018013707452476e-07
2017,July,Madera (SJV),LDT2,Elec,PMBW,ELEC,PM10,4.5018013707452476e-07
2017,July,Madera (SJV),LDT2,Elec,PMBW,ELEC,PM2_5,1.5756304797608364e-07
2017,July,Madera (SJV),LDT2,Elec,PMTW,ELEC,PM,8.196594686107702e-07
2017,July,Madera (SJV),LDT2,Elec,PMTW,ELEC,PM10,8.196594686107702e-07
2017,July,Madera (SJV),LDT2,Elec,PMTW,ELEC,PM2_5,2.0491486715269254e-07
2017,July,Madera (SJV),LDT2,Gas,DIURN,CAT,TOG,0.09596026700344613
2017,July,Madera (SJV),LDT2,Gas,DIURN,NCAT,TOG,0.002521047135173528
2017,July,Madera (SJV),LDT2,Gas,HOTSOAK,CAT,TOG,0.021086504288768477
