calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Marin (SF),LDA,Dsl,PMBW,DSL,PM,0.0002741774666136555
2017,July,Marin (SF),LDA,Dsl,PMBW,DSL,PM10,0.0002741774666136555
2017,July,Marin (SF),LDA,Dsl,PMBW,DSL,PM2_5,9.596211331477942e-05
2017,July,Marin (SF),LDA,Dsl,PMTW,DSL,PM,0.0003247116246246529
2017,July,Marin (SF),LDA,Dsl,PMTW,DSL,PM10,0.0003247116246246529
2017,July,Marin (SF),LDA,Dsl,PMTW,DSL,PM2_5,8.117790615616322e-05
2017,July,Marin (SF),LDA,Dsl,RUNEX,DSL,CO,0.016181442555865358
2017,July,Marin (SF),LDA,Dsl,RUNEX,DSL,NH3,0.00012582571848028369
2017,July,Marin (SF),LDA,Dsl,RUNEX,DSL,NOx,0.014775223974065298
2017,July,Marin (SF),LDA,Dsl,RUNEX,DSL,PM,0.001047315791972906
2017,July,Marin (SF),LDA,Dsl,RUNEX,DSL,PM10,0.001041031897221068
2017,July,Marin (SF),LDA,Dsl,RUNEX,DSL,PM2_5,0.0009959973181662334
2017,July,Marin (SF),LDA,Dsl,RUNEX,DSL,SOx,9.568024274526538e-05
2017,July,Marin (SF),LDA,Dsl,RUNEX,DSL,TOG,0.001778127263900364
2017,July,Marin (SF),LDA,Elec,PMBW,ELEC,PM,0.00044518349629316627
2017,July,Marin (SF),LDA,Elec,PMBW,ELEC,PM10,0.00044518349629316627
2017,July,Marin (SF),LDA,Elec,PMBW,ELEC,PM2_5,0.0001558142237026082
2017,July,Marin (SF),LDA,Elec,PMTW,ELEC,PM,0.0008170337847729306
2017,July,Marin (SF),LDA,Elec,PMTW,ELEC,PM10,0.0008170337847729306
2017,July,Marin (SF),LDA,Elec,PMTW,ELEC,PM2_5,0.00020425844619323264
2017,July,Marin (SF),LDA,Gas,DIURN,CAT,TOG,0.21757671616623325
2017,July,Marin (SF),LDA,Gas,DIURN,NCAT,TOG,0.005347455560895385
2017,July,Marin (SF),LDA,Gas,HOTSOAK,CAT,TOG,0.06822074688447266
2017,July,Marin (SF),LDA,Gas,HOTSOAK,NCAT,TOG,0.004024715994048771
2017,July,Marin (SF),LDA,Gas,PMBW,CAT,PM,0.023998872188372378
2017,July,Marin (SF),LDA,Gas,PMBW,CAT,PM10,0.023998872188372378
2017,July,Marin (SF),LDA,Gas,PMBW,CAT,PM2_5,0.00839960526593033
2017,July,Marin (SF),LDA,Gas,PMBW,NCAT,PM,1.5915470447608027e-05
2017,July,Marin (SF),LDA,Gas,PMBW,NCAT,PM10,1.5915470447608027e-05
2017,July,Marin (SF),LDA,Gas,PMBW,NCAT,PM2_5,5.570414656662809e-06
2017,July,Marin (SF),LDA,Gas,PMTW,CAT,PM,0.028210157147617924
2017,July,Marin (SF),LDA,Gas,PMTW,CAT,PM10,0.028210157147617924
2017,July,Marin (SF),LDA,Gas,PMTW,CAT,PM2_5,0.007052539286904481
2017,July,Marin (SF),LDA,Gas,PMTW,NCAT,PM,1.7557945920448627e-05
2017,July,Marin (SF),LDA,Gas,PMTW,NCAT,PM10,1.7557945920448627e-05
2017,July,Marin (SF),LDA,Gas,PMTW,NCAT,PM2_5,4.389486480112157e-06
2017,July,Marin (SF),LDA,Gas,RUNEX,CAT,CO,4.346490108636246
2017,July,Marin (SF),LDA,Gas,RUNEX,CAT,NH3,0.10290517976975205
2017,July,Marin (SF),LDA,Gas,RUNEX,CAT,NOx,0.3743208633438191
2017,July,Marin (SF),LDA,Gas,RUNEX,CAT,PM,0.006100886838201297
2017,July,Marin (SF),LDA,Gas,RUNEX,CAT,PM10,0.005454907143953815
