calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Mariposa (MC),LDA,Dsl,PMBW,DSL,PM,2.3320017671161623e-05
2017,July,Mariposa (MC),LDA,Dsl,PMBW,DSL,PM10,2.3320017671161623e-05
2017,July,Mariposa (MC),LDA,Dsl,PMBW,DSL,PM2_5,8.162006184906568e-06
2017,July,Mariposa (MC),LDA,Dsl,PMTW,DSL,PM,2.092874861814398e-05
2017,July,Mariposa (MC),LDA,Dsl,PMTW,DSL,PM10,2.092874861814398e-05
2017,July,Mariposa (MC),LDA,Dsl,PMTW,DSL,PM2_5,5.232187154535995e-06
2017,July,Mariposa (MC),LDA,Dsl,RUNEX,DSL,CO,0.0016688525228604856
2017,July,Mariposa (MC),LDA,Dsl,RUNEX,DSL,NH3,8.109887765229327e-06
2017,July,Mariposa (MC),LDA,Dsl,RUNEX,DSL,NOx,0.0016750171276524865
2017,July,Mariposa (MC),LDA,Dsl,RUNEX,DSL,PM,0.00010433515833000256
2017,July,Mariposa (MC),LDA,Dsl,RUNEX,DSL,PM10,0.00010370914738002254
2017,July,Mariposa (MC),LDA,Dsl,RUNEX,DSL,PM2_5,9.922273557183241e-05
2017,July,Mariposa (MC),LDA,Dsl,RUNEX,DSL,SOx,6.506953444199951e-06
2017,July,Mariposa (MC),LDA,Dsl,RUNEX,DSL,TOG,0.0001944874649991129
2017,July,Mariposa (MC),LDA,Elec,PMBW,ELEC,PM,1.199161402996988e-06
2017,July,Mariposa (MC),LDA,Elec,PMBW,ELEC,PM10,1.199161402996988e-06
2017,July,Mariposa (MC),LDA,Elec,PMBW,ELEC,PM2_5,4.1970649104894566e-07
2017,July,Mariposa (MC),LDA,Elec,PMTW,ELEC,PM,2.200296027151398e-06
2017,July,Mariposa (MC),LDA,Elec,PMTW,ELEC,PM10,2.200296027151398e-06
2017,July,Mariposa (MC),LDA,Elec,PMTW,ELEC,PM2_5,5.500740067878495e-07
2017,July,Mariposa (MC),LDA,Gas,DIURN,CAT,TOG,0.020332633587972878
2017,July,Mariposa (MC),LDA,Gas,DIURN,NCAT,TOG,0.00048824284843234126
2017,July,Mariposa (MC),LDA,Gas,HOTSOAK,CAT,TOG,0.005073732005248556
2017,July,Mariposa (MC),LDA,Gas,HOTSOAK,NCAT,TOG,0.00026843483139893327
2017,July,Mariposa (MC),LDA,Gas,PMBW,CAT,PM,0.0015708509897597327
2017,July,Mariposa (MC),LDA,Gas,PMBW,CAT,PM10,0.0015708509897597327
2017,July,Mariposa (MC),LDA,Gas,PMBW,CAT,PM2_5,0.0005497978464159063
2017,July,Mariposa (MC),LDA,Gas,PMBW,NCAT,PM,1.6656279209577593e-06
2017,July,Mariposa (MC),LDA,Gas,PMBW,NCAT,PM10,1.6656279209577593e-06
2017,July,Mariposa (MC),LDA,Gas,PMBW,NCAT,PM2_5,5.829697723352156e-07
2017,July,Mariposa (MC),LDA,Gas,PMTW,CAT,PM,0.0014049980018325302
2017,July,Mariposa (MC),LDA,Gas,PMTW,CAT,PM10,0.0014049980018325302
2017,July,Mariposa (MC),LDA,Gas,PMTW,CAT,PM2_5,0.00035124950045813255
2017,July,Mariposa (MC),LDA,Gas,PMTW,NCAT,PM,1.4133439679822817e-06
2017,July,Mariposa (MC),LDA,Gas,PMTW,NCAT,PM10,1.4133439679822817e-06
2017,July,Mariposa (MC),LDA,Gas,PMTW,NCAT,PM2_5,3.533359919955704e-07
2017,July,Mariposa (MC),LDA,Gas,RUNEX,CAT,CO,0.5007473733962851
2017,July,Mariposa (MC),LDA,Gas,RUNEX,CAT,NH3,0.0054842994940520005
2017,July,Mariposa (MC),LDA,Gas,RUNEX,CAT,NOx,0.02903320153242158
2017,July,Mariposa (MC),LDA,Gas,RUNEX,CAT,PM,0.00048230168580860714
2017,July,Mariposa (MC),LDA,Gas,RUNEX,CAT,PM10,0.0004313179393991439
2017,July,Mariposa (MC),LDA,Gas,RUNEX,CAT,PM2_5,0.000396650822558461
2017,July,Mariposa (MC),LDA,Gas,RUNEX,CAT,SOx,0.0006139151287594822
2017,July,Mariposa (MC),LDA,Gas,RUNEX,CAT,TOG,0.014657083269532105
2017,July,Mariposa (MC),LDA,Gas,RUNEX,NCAT,CO,0.013092321776973455
2017,July,Mariposa (MC),LDA,Gas,RUNEX,NCAT,NH3,1.2436501475534193e-06
2017,July,Mariposa (MC),LDA,Gas,RUNEX,NCAT,NOx,0.0006898661337215756
2017,July,Mariposa (MC),LDA,Gas,RUNEX,NCAT,PM,1.1258437996409904e-05
2017,July,Mariposa (MC),LDA,Gas,RUNEX,NCAT,PM10,1.0679126628300909e-05
2017,July,Mariposa (MC),LDA,Gas,RUNEX,NCAT,PM2_5,1.0125150818921978e-05
2017,July,Mariposa (MC),LDA,Gas,RUNEX,NCAT,SOx,1.1654141900092677e-06
2017,July,Mariposa (MC),LDA,Gas,RUNEX,NCAT,TOG,0.0009280993336136219
