calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Mendocino (NC),LDA,Dsl,PMBW,DSL,PM,0.00015079769866572387
2017,July,Mendocino (NC),LDA,Dsl,PMBW,DSL,PM10,0.00015079769866572387
2017,July,Mendocino (NC),LDA,Dsl,PMBW,DSL,PM2_5,5.277919453300335e-05
2017,July,Mendocino (NC),LDA,Dsl,PMTW,DSL,PM,0.0001572869959772176
2017,July,Mendocino (NC),LDA,Dsl,PMTW,DSL,PM10,0.0001572869959772176
2017,July,Mendocino (NC),LDA,Dsl,PMTW,DSL,PM2_5,3.93217489943044e-05
2017,July,Mendocino (NC),LDA,Dsl,RUNEX,DSL,CO,0.0140517453265799
2017,July,Mendocino (NC),LDA,Dsl,RUNEX,DSL,NH3,6.094869347321892e-05
2017,July,Mendocino (NC),LDA,Dsl,RUNEX,DSL,NOx,0.016943988936823542
2017,July,Mendocino (NC),LDA,Dsl,RUNEX,DSL,PM,0.0011306426351160115
2017,July,Mendocino (NC),LDA,Dsl,RUNEX,DSL,PM10,0.001123858779305316
2017,July,Mendocino (NC),LDA,Dsl,RUNEX,DSL,PM2_5,0.0010752411459953272
2017,July,Mendocino (NC),LDA,Dsl,RUNEX,DSL,SOx,4.855437703387215e-05
2017,July,Mendocino (NC),LDA,Dsl,RUNEX,DSL,TOG,0.0018775265961566794
2017,July,Mendocino (NC),LDA,Elec,PMBW,ELEC,PM,6.690550239554983e-05
2017,July,Mendocino (NC),LDA,Elec,PMBW,ELEC,PM10,6.690550239554983e-05
2017,July,Mendocino (NC),LDA,Elec,PMBW,ELEC,PM2_5,2.341692583844244e-05
2017,July,Mendocino (NC),LDA,Elec,PMTW,ELEC,PM,0.0001227306382050395
2017,July,Mendocino (NC),LDA,Elec,PMTW,ELEC,PM10,0.0001227306382050395
2017,July,Mendocino (NC),LDA,Elec,PMTW,ELEC,PM2_5,3.0682659551259875e-05
2017,July,Mendocino (NC),LDA,Gas,DIURN,CAT,TOG,0.14033601918533892
2017,July,Mendocino (NC),LDA,Gas,DIURN,NCAT,TOG,0.0029025482828981914
2017,July,Mendocino (NC),LDA,Gas,HOTSOAK,CAT,TOG,0.040583358011736605
2017,July,Mendocino (NC),LDA,Gas,HOTSOAK,NCAT,TOG,0.0019794183604046078
2017,July,Mendocino (NC),LDA,Gas,PMBW,CAT,PM,0.014375941507931476
2017,July,Mendocino (NC),LDA,Gas,PMBW,CAT,PM10,0.014375941507931476
2017,July,Mendocino (NC),LDA,Gas,PMBW,CAT,PM2_5,0.005031579527776016
2017,July,Mendocino (NC),LDA,Gas,PMBW,NCAT,PM,1.1712243566803227e-05
2017,July,Mendocino (NC),LDA,Gas,PMBW,NCAT,PM10,1.1712243566803227e-05
2017,July,Mendocino (NC),LDA,Gas,PMBW,NCAT,PM2_5,4.09928524838113e-06
2017,July,Mendocino (NC),LDA,Gas,PMTW,CAT,PM,0.015128457175714483
2017,July,Mendocino (NC),LDA,Gas,PMTW,CAT,PM10,0.015128457175714483
2017,July,Mendocino (NC),LDA,Gas,PMTW,CAT,PM2_5,0.0037821142939286206
2017,July,Mendocino (NC),LDA,Gas,PMTW,NCAT,PM,1.1624864816819837e-05
2017,July,Mendocino (NC),LDA,Gas,PMTW,NCAT,PM10,1.1624864816819837e-05
2017,July,Mendocino (NC),LDA,Gas,PMTW,NCAT,PM2_5,2.9062162042049592e-06
2017,July,Mendocino (NC),LDA,Gas,RUNEX,CAT,CO,3.288458810508876
2017,July,Mendocino (NC),LDA,Gas,RUNEX,CAT,NH3,0.05742647891390976
2017,July,Mendocino (NC),LDA,Gas,RUNEX,CAT,NOx,0.2557602294148911
2017,July,Mendocino (NC),LDA,Gas,RUNEX,CAT,PM,0.003885289703915231
2017,July,Mendocino (NC),LDA,Gas,RUNEX,CAT,PM10,0.003474203298691474
2017,July,Mendocino (NC),LDA,Gas,RUNEX,CAT,PM2_5,0.003194777671277566
2017,July,Mendocino (NC),LDA,Gas,RUNEX,CAT,SOx,0.00590449164171448
2017,July,Mendocino (NC),LDA,Gas,RUNEX,CAT,TOG,0.10128825029455728
2017,July,Mendocino (NC),LDA,Gas,RUNEX,NCAT,CO,0.09118428441699085
2017,July,Mendocino (NC),LDA,Gas,RUNEX,NCAT,NH3,9.381723267764982e-06
2017,July,Mendocino (NC),LDA,Gas,RUNEX,NCAT,NOx,0.006347901553713083
2017,July,Mendocino (NC),LDA,Gas,RUNEX,NCAT,PM,8.557497002801886e-05
2017,July,Mendocino (NC),LDA,Gas,RUNEX,NCAT,PM10,8.148324280566786e-05
2017,July,Mendocino (NC),LDA,Gas,RUNEX,NCAT,PM2_5,7.74027128564465e-05
2017,July,Mendocino (NC),LDA,Gas,RUNEX,NCAT,SOx,8.701497041511035e-06
2017,July,Mendocino (NC),LDA,Gas,RUNEX,NCAT,TOG,0.007548950923314773
2017,July,Mendocino (NC),LDA,Gas,RUNLOSS,CAT,TOG,0.10130991044434023
2017,July,Mendocino (NC),LDA,Gas,RUNLOSS,NCAT,TOG,0.0016312031031780715
2017,July,Mendocino (NC),LDA,Gas,STREX,CAT,CO,1.4300487472360603
2017,July,Mendocino (NC),LDA,Gas,STREX,CAT,NOx,0.10455779034464226
2017,July,Mendocino (NC),LDA,Gas,STREX,CAT,PM,0.0008151462297047177
2017,July,Mendocino (NC),LDA,Gas,STREX,CAT,PM10,0.0007290034057706051
2017,July,Mendocino (NC),LDA,Gas,STREX,CAT,PM2_5,0.0006704226524499021
2017,July,Mendocino (NC),LDA,Gas,STREX,CAT,SOx,0.00020285596563767453
2017,July,Mendocino (NC),LDA,Gas,STREX,CAT,TOG,0.1747027340031105
2017,July,Mendocino (NC),LDA,Gas,STREX,NCAT,CO,0.01296951702481667
2017,July,Mendocino (NC),LDA,Gas,STREX,NCAT,NOx,0.0005934250641780516
2017,July,Mendocino (NC),LDA,Gas,STREX,NCAT,PM,3.0159569713513487e-05
2017,July,Mendocino (NC),LDA,Gas,STREX,NCAT,PM10,2.8720670080098924e-05
2017,July,Mendocino (NC),LDA,Gas,STREX,NCAT,PM2_5,2.7283873794667745e-05
2017,July,Mendocino (NC),LDA,Gas,STREX,NCAT,SOx,1.1228094045994531e-06
2017,July,Mendocino (NC),LDA,Gas,STREX,NCAT,TOG,0.0021691202715157093
2017,July,Mendocino (NC),LDA,Phe,DIURN,CAT,TOG,0.0002647213190566281
2017,July,Mendocino (NC),LDA,Phe,HOTSOAK,CAT,TOG,6.692054889649145e-05
2017,July,Mendocino (NC),LDA,Phe,PMBW,CAT,PM,7.104872691792236e-05
2017,July,Mendocino (NC),LDA,Phe,PMBW,CAT,PM10,7.104872691792236e-05
2017,July,Mendocino (NC),LDA,Phe,PMBW,CAT,PM2_5,2.4867054421272824e-05
2017,July,Mendocino (NC),LDA,Phe,PMTW,CAT,PM,0.00014693514504710554
2017,July,Mendocino (NC),LDA,Phe,PMTW,CAT,PM10,0.00014693514504710554
2017,July,Mendocino (NC),LDA,Phe,PMTW,CAT,PM2_5,3.6733786261776385e-05
2017,July,Mendocino (NC),LDA,Phe,RUNEX,CAT,CO,0.004590261955138485
2017,July,Mendocino (NC),LDA,Phe,RUNEX,CAT,NH3,0.00029345824737933075
2017,July,Mendocino (NC),LDA,Phe,RUNEX,CAT,NOx,6.0412774716863297e-05
2017,July,Mendocino (NC),LDA,Phe,RUNEX,CAT,PM,1.7022368884939387e-05
2017,July,Mendocino (NC),LDA,Phe,RUNEX,CAT,PM10,1.521799778313581e-05
2017,July,Mendocino (NC),LDA,Phe,RUNEX,CAT,PM2_5,1.3992387223420172e-05
2017,July,Mendocino (NC),LDA,Phe,RUNEX,CAT,SOx,2.8090936017725754e-05
2017,July,Mendocino (NC),LDA,Phe,RUNEX,CAT,TOG,4.373893911316296e-05
2017,July,Mendocino (NC),LDA,Phe,RUNLOSS,CAT,TOG,6.144305472692888e-05
2017,July,Mendocino (NC),LDA,Phe,STREX,CAT,CO,0.0020001062194991565
2017,July,Mendocino (NC),LDA,Phe,STREX,CAT,NOx,0.00018169155589624442
2017,July,Mendocino (NC),LDA,Phe,STREX,CAT,PM,4.429479265268845e-06
2017,July,Mendocino (NC),LDA,Phe,STREX,CAT,PM10,3.959954463150347e-06
2017,July,Mendocino (NC),LDA,Phe,STREX,CAT,PM2_5,3.64103195605099e-06
2017,July,Mendocino (NC),LDA,Phe,STREX,CAT,SOx,1.1288981519982373e-06
2017,July,Mendocino (NC),LDA,Phe,STREX,CAT,TOG,0.0002925570036456598
2017,July,Mendocino (NC),LDT1,Dsl,PMBW,DSL,PM,5.295710705037741e-06
2017,July,Mendocino (NC),LDT1,Dsl,PMBW,DSL,PM10,5.295710705037741e-06
2017,July,Mendocino (NC),LDT1,Dsl,PMBW,DSL,PM2_5,1.8534987467632093e-06
2017,July,Mendocino (NC),LDT1,Dsl,PMTW,DSL,PM,4.0809976023958625e-06
2017,July,Mendocino (NC),LDT1,Dsl,PMTW,DSL,PM10,4.0809976023958625e-06
2017,July,Mendocino (NC),LDT1,Dsl,PMTW,DSL,PM2_5,1.0202494005989656e-06
2017,July,Mendocino (NC),LDT1,Dsl,RUNEX,DSL,CO,0.000816577653576306
2017,July,Mendocino (NC),LDT1,Dsl,RUNEX,DSL,NH3,1.5813861177016482e-06
2017,July,Mendocino (NC),LDT1,Dsl,RUNEX,DSL,NOx,0.0008415624213088843
2017,July,Mendocino (NC),LDT1,Dsl,RUNEX,DSL,PM,0.00014035373775001873
2017,July,Mendocino (NC),LDT1,Dsl,RUNEX,DSL,PM10,0.00013951161532351863
2017,July,Mendocino (NC),LDT1,Dsl,RUNEX,DSL,PM2_5,0.00013347640460026775
2017,July,Mendocino (NC),LDT1,Dsl,RUNEX,DSL,SOx,2.0534799841558546e-06
2017,July,Mendocino (NC),LDT1,Dsl,RUNEX,DSL,TOG,0.00019989311604421314
2017,July,Mendocino (NC),LDT1,Elec,PMBW,ELEC,PM,1.7106483147135023e-06
2017,July,Mendocino (NC),LDT1,Elec,PMBW,ELEC,PM10,1.7106483147135023e-06
2017,July,Mendocino (NC),LDT1,Elec,PMBW,ELEC,PM2_5,5.987269101497258e-07
2017,July,Mendocino (NC),LDT1,Elec,PMTW,ELEC,PM,3.115913573737398e-06
2017,July,Mendocino (NC),LDT1,Elec,PMTW,ELEC,PM10,3.115913573737398e-06
2017,July,Mendocino (NC),LDT1,Elec,PMTW,ELEC,PM2_5,7.789783934343495e-07
2017,July,Mendocino (NC),LDT1,Gas,DIURN,CAT,TOG,0.06559043949744586
2017,July,Mendocino (NC),LDT1,Gas,DIURN,NCAT,TOG,0.002119474447515125
2017,July,Mendocino (NC),LDT1,Gas,HOTSOAK,CAT,TOG,0.018227158454768962
2017,July,Mendocino (NC),LDT1,Gas,HOTSOAK,NCAT,TOG,0.0014459032586351195
2017,July,Mendocino (NC),LDT1,Gas,PMBW,CAT,PM,0.0028219144653817835
2017,July,Mendocino (NC),LDT1,Gas,PMBW,CAT,PM10,0.0028219144653817835
2017,July,Mendocino (NC),LDT1,Gas,PMBW,CAT,PM2_5,0.0009876700628836243
2017,July,Mendocino (NC),LDT1,Gas,PMBW,NCAT,PM,1.730181793812419e-05
2017,July,Mendocino (NC),LDT1,Gas,PMBW,NCAT,PM10,1.730181793812419e-05
2017,July,Mendocino (NC),LDT1,Gas,PMBW,NCAT,PM2_5,6.055636278343466e-06
2017,July,Mendocino (NC),LDT1,Gas,PMTW,CAT,PM,0.0024131944541653386
2017,July,Mendocino (NC),LDT1,Gas,PMTW,CAT,PM10,0.0024131944541653386
2017,July,Mendocino (NC),LDT1,Gas,PMTW,CAT,PM2_5,0.0006032986135413346
2017,July,Mendocino (NC),LDT1,Gas,PMTW,NCAT,PM,1.3238731010691376e-05
2017,July,Mendocino (NC),LDT1,Gas,PMTW,NCAT,PM10,1.3238731010691376e-05
2017,July,Mendocino (NC),LDT1,Gas,PMTW,NCAT,PM2_5,3.309682752672844e-06
2017,July,Mendocino (NC),LDT1,Gas,RUNEX,CAT,CO,1.3174466494668917
