calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Merced (SJV),LDA,Dsl,PMBW,DSL,PM,9.512655807773958e-05
2017,July,Merced (SJV),LDA,Dsl,PMBW,DSL,PM10,9.512655807773958e-05
2017,July,Merced (SJV),LDA,Dsl,PMBW,DSL,PM2_5,3.329429532720885e-05
2017,July,Merced (SJV),LDA,Dsl,PMTW,DSL,PM,0.00010624722596932803
2017,July,Merced (SJV),LDA,Dsl,PMTW,DSL,PM10,0.00010624722596932803
2017,July,Merced (SJV),LDA,Dsl,PMTW,DSL,PM2_5,2.656180649233201e-05
2017,July,Merced (SJV),LDA,Dsl,RUNEX,DSL,CO,0.005985561498282689
2017,July,Merced (SJV),LDA,Dsl,RUNEX,DSL,NH3,4.1170788263527965e-05
2017,July,Merced (SJV),LDA,Dsl,RUNEX,DSL,NOx,0.00664369883976071
2017,July,Merced (SJV),LDA,Dsl,RUNEX,DSL,PM,0.0003893782168312453
2017,July,Merced (SJV),LDA,Dsl,RUNEX,DSL,PM10,0.0003870419475302577
2017,July,Merced (SJV),LDA,Dsl,RUNEX,DSL,PM2_5,0.00037029868420651417
2017,July,Merced (SJV),LDA,Dsl,RUNEX,DSL,SOx,3.0161715241504832e-05
2017,July,Merced (SJV),LDA,Dsl,RUNEX,DSL,TOG,0.0006740209125335716
2017,July,Merced (SJV),LDA,Elec,PMBW,ELEC,PM,3.8517683433755536e-05
2017,July,Merced (SJV),LDA,Elec,PMBW,ELEC,PM10,3.8517683433755536e-05
2017,July,Merced (SJV),LDA,Elec,PMBW,ELEC,PM2_5,1.3481189201814438e-05
2017,July,Merced (SJV),LDA,Elec,PMTW,ELEC,PM,7.066016906409807e-05
2017,July,Merced (SJV),LDA,Elec,PMTW,ELEC,PM10,7.066016906409807e-05
2017,July,Merced (SJV),LDA,Elec,PMTW,ELEC,PM2_5,1.7665042266024517e-05
2017,July,Merced (SJV),LDA,Gas,DIURN,CAT,TOG,0.27968427460504064
2017,July,Merced (SJV),LDA,Gas,DIURN,NCAT,TOG,0.005918584846114905
2017,July,Merced (SJV),LDA,Gas,HOTSOAK,CAT,TOG,0.06403554297208784
2017,July,Merced (SJV),LDA,Gas,HOTSOAK,NCAT,TOG,0.0030208098257577917
2017,July,Merced (SJV),LDA,Gas,PMBW,CAT,PM,0.02574104617599994
2017,July,Merced (SJV),LDA,Gas,PMBW,CAT,PM10,0.02574104617599994
2017,July,Merced (SJV),LDA,Gas,PMBW,CAT,PM2_5,0.00900936616159998
2017,July,Merced (SJV),LDA,Gas,PMBW,NCAT,PM,9.796985926198444e-06
2017,July,Merced (SJV),LDA,Gas,PMBW,NCAT,PM10,9.796985926198444e-06
2017,July,Merced (SJV),LDA,Gas,PMBW,NCAT,PM2_5,3.428945074169456e-06
2017,July,Merced (SJV),LDA,Gas,PMTW,CAT,PM,0.02868808428068266
2017,July,Merced (SJV),LDA,Gas,PMTW,CAT,PM10,0.02868808428068266
2017,July,Merced (SJV),LDA,Gas,PMTW,CAT,PM2_5,0.007172021070170665
2017,July,Merced (SJV),LDA,Gas,PMTW,NCAT,PM,1.0272062777082883e-05
2017,July,Merced (SJV),LDA,Gas,PMTW,NCAT,PM10,1.0272062777082883e-05
2017,July,Merced (SJV),LDA,Gas,PMTW,NCAT,PM2_5,2.568015694270721e-06
2017,July,Merced (SJV),LDA,Gas,RUNEX,CAT,CO,7.154749978614006
2017,July,Merced (SJV),LDA,Gas,RUNEX,CAT,NH3,0.1039902509001813
2017,July,Merced (SJV),LDA,Gas,RUNEX,CAT,NOx,0.37604342605511876
