calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Modoc (NEP),LDA,Dsl,PMBW,DSL,PM,1.5035213571234819e-05
2017,July,Modoc (NEP),LDA,Dsl,PMBW,DSL,PM10,1.5035213571234819e-05
2017,July,Modoc (NEP),LDA,Dsl,PMBW,DSL,PM2_5,5.262324749932186e-06
2017,July,Modoc (NEP),LDA,Dsl,PMTW,DSL,PM,1.284046181303212e-05
2017,July,Modoc (NEP),LDA,Dsl,PMTW,DSL,PM10,1.284046181303212e-05
2017,July,Modoc (NEP),LDA,Dsl,PMTW,DSL,PM2_5,3.21011545325803e-06
2017,July,Modoc (NEP),LDA,Dsl,RUNEX,DSL,CO,0.001274713736893756
2017,July,Modoc (NEP),LDA,Dsl,RUNEX,DSL,NH3,4.975677526516085e-06
2017,July,Modoc (NEP),LDA,Dsl,RUNEX,DSL,NOx,0.0010066017979236013
2017,July,Modoc (NEP),LDA,Dsl,RUNEX,DSL,PM,8.326266505053778e-05
2017,July,Modoc (NEP),LDA,Dsl,RUNEX,DSL,PM10,8.276308906023454e-05
2017,July,Modoc (NEP),LDA,Dsl,RUNEX,DSL,PM2_5,7.918279446306142e-05
2017,July,Modoc (NEP),LDA,Dsl,RUNEX,DSL,SOx,4.5601655204956475e-06
2017,July,Modoc (NEP),LDA,Dsl,RUNEX,DSL,TOG,0.00015927962848786322
2017,July,Modoc (NEP),LDA,Elec,PMBW,ELEC,PM,1.1384708025638938e-05
2017,July,Modoc (NEP),LDA,Elec,PMBW,ELEC,PM10,1.1384708025638938e-05
2017,July,Modoc (NEP),LDA,Elec,PMBW,ELEC,PM2_5,3.9846478089736285e-06
2017,July,Modoc (NEP),LDA,Elec,PMTW,ELEC,PM,2.0892156738089002e-05
2017,July,Modoc (NEP),LDA,Elec,PMTW,ELEC,PM10,2.0892156738089002e-05
2017,July,Modoc (NEP),LDA,Elec,PMTW,ELEC,PM2_5,5.2230391845222505e-06
2017,July,Modoc (NEP),LDA,Gas,DIURN,CAT,TOG,0.02370060632051705
2017,July,Modoc (NEP),LDA,Gas,DIURN,NCAT,TOG,0.0006762493639781556
2017,July,Modoc (NEP),LDA,Gas,HOTSOAK,CAT,TOG,0.005909145677552925
2017,July,Modoc (NEP),LDA,Gas,HOTSOAK,NCAT,TOG,0.00039357016917020957
2017,July,Modoc (NEP),LDA,Gas,PMBW,CAT,PM,0.002817729196817094
2017,July,Modoc (NEP),LDA,Gas,PMBW,CAT,PM10,0.002817729196817094
2017,July,Modoc (NEP),LDA,Gas,PMBW,CAT,PM2_5,0.0009862052188859829
2017,July,Modoc (NEP),LDA,Gas,PMBW,NCAT,PM,1.6551194626871448e-06
2017,July,Modoc (NEP),LDA,Gas,PMBW,NCAT,PM10,1.6551194626871448e-06
2017,July,Modoc (NEP),LDA,Gas,PMBW,NCAT,PM2_5,5.792918119405005e-07
2017,July,Modoc (NEP),LDA,Gas,PMTW,CAT,PM,0.0024178789128593853
2017,July,Modoc (NEP),LDA,Gas,PMTW,CAT,PM10,0.0024178789128593853
2017,July,Modoc (NEP),LDA,Gas,PMTW,CAT,PM2_5,0.0006044697282148463
