calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Monterey (NCC),LDA,Dsl,PMBW,DSL,PM,0.00015570357890788155
2017,July,Monterey (NCC),LDA,Dsl,PMBW,DSL,PM10,0.00015570357890788155
2017,July,Monterey (NCC),LDA,Dsl,PMBW,DSL,PM2_5,5.4496252617758554e-05
2017,July,Monterey (NCC),LDA,Dsl,PMTW,DSL,PM,0.00018420399125536883
2017,July,Monterey (NCC),LDA,Dsl,PMTW,DSL,PM10,0.00018420399125536883
2017,July,Monterey (NCC),LDA,Dsl,PMTW,DSL,PM2_5,4.605099781384221e-05
2017,July,Monterey (NCC),LDA,Dsl,RUNEX,DSL,CO,0.01327190880459148
2017,July,Monterey (NCC),LDA,Dsl,RUNEX,DSL,NH3,7.137902615415937e-05
2017,July,Monterey (NCC),LDA,Dsl,RUNEX,DSL,NOx,0.013201987924765728
2017,July,Monterey (NCC),LDA,Dsl,RUNEX,DSL,PM,0.0010593679703035882
2017,July,Monterey (NCC),LDA,Dsl,RUNEX,DSL,PM10,0.0010530117624817667
2017,July,Monterey (NCC),LDA,Dsl,RUNEX,DSL,PM2_5,0.0010074589397587124
2017,July,Monterey (NCC),LDA,Dsl,RUNEX,DSL,SOx,5.6853572534811186e-05
2017,July,Monterey (NCC),LDA,Dsl,RUNEX,DSL,TOG,0.0016992719253294591
2017,July,Monterey (NCC),LDA,Elec,PMBW,ELEC,PM,0.00010044957013289425
2017,July,Monterey (NCC),LDA,Elec,PMBW,ELEC,PM10,0.00010044957013289425
2017,July,Monterey (NCC),LDA,Elec,PMBW,ELEC,PM2_5,3.5157349546512986e-05
2017,July,Monterey (NCC),LDA,Elec,PMTW,ELEC,PM,0.00018427198480784452
2017,July,Monterey (NCC),LDA,Elec,PMTW,ELEC,PM10,0.00018427198480784452
2017,July,Monterey (NCC),LDA,Elec,PMTW,ELEC,PM2_5,4.606799620196113e-05
2017,July,Monterey (NCC),LDA,Gas,DIURN,CAT,TOG,0.274169230067854
