calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Orange (SC),LDA,Dsl,PMBW,DSL,PM,0.0015144429980271394
2017,July,Orange (SC),LDA,Dsl,PMBW,DSL,PM10,0.0015144429980271394
2017,July,Orange (SC),LDA,Dsl,PMBW,DSL,PM2_5,0.0005300550493094988
2017,July,Orange (SC),LDA,Dsl,PMTW,DSL,PM,0.0014787675151035884
2017,July,Orange (SC),LDA,Dsl,PMTW,DSL,PM10,0.0014787675151035884
2017,July,Orange (SC),LDA,Dsl,PMTW,DSL,PM2_5,0.0003696918787758971
2017,July,Orange (SC),LDA,Dsl,RUNEX,DSL,CO,0.07062934418382234
2017,July,Orange (SC),LDA,Dsl,RUNEX,DSL,NH3,0.0005730222478739251
2017,July,Orange (SC),LDA,Dsl,RUNEX,DSL,NOx,0.04806159809840116
2017,July,Orange (SC),LDA,Dsl,RUNEX,DSL,PM,0.004702427034509882
2017,July,Orange (SC),LDA,Dsl,RUNEX,DSL,PM10,0.00467421247230282
2017,July,Orange (SC),LDA,Dsl,RUNEX,DSL,PM2_5,0.004472008109818898
2017,July,Orange (SC),LDA,Dsl,RUNEX,DSL,SOx,0.0004343732440458961
2017,July,Orange (SC),LDA,Dsl,RUNEX,DSL,TOG,0.008299481296504431
2017,July,Orange (SC),LDA,Elec,PMBW,ELEC,PM,0.002734448299053718
2017,July,Orange (SC),LDA,Elec,PMBW,ELEC,PM10,0.002734448299053718
2017,July,Orange (SC),LDA,Elec,PMBW,ELEC,PM2_5,0.0009570569046688013
2017,July,Orange (SC),LDA,Elec,PMTW,ELEC,PM,0.005019294295345976
2017,July,Orange (SC),LDA,Elec,PMTW,ELEC,PM10,0.005019294295345976
2017,July,Orange (SC),LDA,Elec,PMTW,ELEC,PM2_5,0.001254823573836494
2017,July,Orange (SC),LDA,Gas,DIURN,CAT,TOG,2.4349710359516927
2017,July,Orange (SC),LDA,Gas,DIURN,NCAT,TOG,0.05061996380314392
2017,July,Orange (SC),LDA,Gas,HOTSOAK,CAT,TOG,0.6716468702634126
2017,July,Orange (SC),LDA,Gas,HOTSOAK,NCAT,TOG,0.03155078094271001
2017,July,Orange (SC),LDA,Gas,PMBW,CAT,PM,0.3831766802082733
2017,July,Orange (SC),LDA,Gas,PMBW,CAT,PM10,0.3831766802082733
2017,July,Orange (SC),LDA,Gas,PMBW,CAT,PM2_5,0.13411183807289564
2017,July,Orange (SC),LDA,Gas,PMBW,NCAT,PM,7.478692208593346e-05
2017,July,Orange (SC),LDA,Gas,PMBW,NCAT,PM10,7.478692208593346e-05
2017,July,Orange (SC),LDA,Gas,PMBW,NCAT,PM2_5,2.61754227300767e-05
2017,July,Orange (SC),LDA,Gas,PMTW,CAT,PM,0.37209346401203003
2017,July,Orange (SC),LDA,Gas,PMTW,CAT,PM10,0.37209346401203003
2017,July,Orange (SC),LDA,Gas,PMTW,CAT,PM2_5,0.09302336600300751
2017,July,Orange (SC),LDA,Gas,PMTW,NCAT,PM,6.780496595996892e-05
2017,July,Orange (SC),LDA,Gas,PMTW,NCAT,PM10,6.780496595996892e-05
2017,July,Orange (SC),LDA,Gas,PMTW,NCAT,PM2_5,1.695124148999223e-05
2017,July,Orange (SC),LDA,Gas,RUNEX,CAT,CO,69.46154853519955
2017,July,Orange (SC),LDA,Gas,RUNEX,CAT,NH3,1.3290717875554923
2017,July,Orange (SC),LDA,Gas,RUNEX,CAT,NOx,3.1616995745722964
2017,July,Orange (SC),LDA,Gas,RUNEX,CAT,PM,0.07959442606113347
2017,July,Orange (SC),LDA,Gas,RUNEX,CAT,PM10,0.07116153582651376
2017,July,Orange (SC),LDA,Gas,RUNEX,CAT,PM2_5,0.06543245849309859
2017,July,Orange (SC),LDA,Gas,RUNEX,CAT,SOx,0.15132598562567015
2017,July,Orange (SC),LDA,Gas,RUNEX,CAT,TOG,1.4868930955019228
2017,July,Orange (SC),LDA,Gas,RUNEX,NCAT,CO,0.6637162681158213
2017,July,Orange (SC),LDA,Gas,RUNEX,NCAT,NH3,5.3430791123007865e-05
2017,July,Orange (SC),LDA,Gas,RUNEX,NCAT,NOx,0.03118615824035806
2017,July,Orange (SC),LDA,Gas,RUNEX,NCAT,PM,0.0005211414398204489
2017,July,Orange (SC),LDA,Gas,RUNEX,NCAT,PM10,0.0004966979958070214
2017,July,Orange (SC),LDA,Gas,RUNEX,NCAT,PM2_5,0.0004720464294684733
2017,July,Orange (SC),LDA,Gas,RUNEX,NCAT,SOx,5.476658028264563e-05
2017,July,Orange (SC),LDA,Gas,RUNEX,NCAT,TOG,0.043994028574399935
2017,July,Orange (SC),LDA,Gas,RUNLOSS,CAT,TOG,1.5437945796621957
2017,July,Orange (SC),LDA,Gas,RUNLOSS,NCAT,TOG,0.025641602835716197
2017,July,Orange (SC),LDA,Gas,STREX,CAT,CO,21.306369137911176
2017,July,Orange (SC),LDA,Gas,STREX,CAT,NOx,1.826540228041091
2017,July,Orange (SC),LDA,Gas,STREX,CAT,PM,0.015599906197342125
2017,July,Orange (SC),LDA,Gas,STREX,CAT,PM10,0.013949269458818586
2017,July,Orange (SC),LDA,Gas,STREX,CAT,PM2_5,0.012827310435222672
2017,July,Orange (SC),LDA,Gas,STREX,CAT,SOx,0.004431475145315125
2017,July,Orange (SC),LDA,Gas,STREX,CAT,TOG,2.665226447813971
2017,July,Orange (SC),LDA,Gas,STREX,NCAT,CO,0.19623334248974153
2017,July,Orange (SC),LDA,Gas,STREX,NCAT,NOx,0.00889765859643338
2017,July,Orange (SC),LDA,Gas,STREX,NCAT,PM,0.0004654277767576976
2017,July,Orange (SC),LDA,Gas,STREX,NCAT,PM10,0.0004443227750694233
2017,July,Orange (SC),LDA,Gas,STREX,NCAT,PM2_5,0.00042260973027936433
2017,July,Orange (SC),LDA,Gas,STREX,NCAT,SOx,1.7365982504141468e-05
2017,July,Orange (SC),LDA,Gas,STREX,NCAT,TOG,0.029557993050509858
2017,July,Orange (SC),LDA,Phe,DIURN,CAT,TOG,0.00950917817553457
2017,July,Orange (SC),LDA,Phe,HOTSOAK,CAT,TOG,0.0021955309580581972
2017,July,Orange (SC),LDA,Phe,PMBW,CAT,PM,0.002409037294663676
2017,July,Orange (SC),LDA,Phe,PMBW,CAT,PM10,0.002409037294663676
2017,July,Orange (SC),LDA,Phe,PMBW,CAT,PM2_5,0.0008431630531322866
2017,July,Orange (SC),LDA,Phe,PMTW,CAT,PM,0.004826208077107117
2017,July,Orange (SC),LDA,Phe,PMTW,CAT,PM10,0.004826208077107117
2017,July,Orange (SC),LDA,Phe,PMTW,CAT,PM2_5,0.0012065520192767792
2017,July,Orange (SC),LDA,Phe,RUNEX,CAT,CO,0.19102943547112938
2017,July,Orange (SC),LDA,Phe,RUNEX,CAT,NH3,0.010034352788792576
2017,July,Orange (SC),LDA,Phe,RUNEX,CAT,NOx,0.0016887759835752369
2017,July,Orange (SC),LDA,Phe,RUNEX,CAT,PM,0.0006064376901618605
2017,July,Orange (SC),LDA,Phe,RUNEX,CAT,PM10,0.0005421552950047033
2017,July,Orange (SC),LDA,Phe,RUNEX,CAT,PM2_5,0.0004984917813130493
2017,July,Orange (SC),LDA,Phe,RUNEX,CAT,SOx,0.0010011776713481646
2017,July,Orange (SC),LDA,Phe,RUNEX,CAT,TOG,0.0014973456801314683
2017,July,Orange (SC),LDA,Phe,RUNLOSS,CAT,TOG,0.0020214868888162037
2017,July,Orange (SC),LDA,Phe,STREX,CAT,CO,0.053812383174309475
2017,July,Orange (SC),LDA,Phe,STREX,CAT,NOx,0.005454795668207465
2017,July,Orange (SC),LDA,Phe,STREX,CAT,PM,0.00014989339306821053
2017,July,Orange (SC),LDA,Phe,STREX,CAT,PM10,0.00013400469340298023
2017,July,Orange (SC),LDA,Phe,STREX,CAT,PM2_5,0.00012321236910206907
2017,July,Orange (SC),LDA,Phe,STREX,CAT,SOx,3.63722775855933e-05
2017,July,Orange (SC),LDA,Phe,STREX,CAT,TOG,0.008163013951698134
2017,July,Orange (SC),LDT1,Dsl,PMBW,DSL,PM,1.902180358875406e-05
2017,July,Orange (SC),LDT1,Dsl,PMBW,DSL,PM10,1.902180358875406e-05
2017,July,Orange (SC),LDT1,Dsl,PMBW,DSL,PM2_5,6.6576312560639225e-06
2017,July,Orange (SC),LDT1,Dsl,PMTW,DSL,PM,1.3339025329184693e-05
2017,July,Orange (SC),LDT1,Dsl,PMTW,DSL,PM10,1.3339025329184693e-05
2017,July,Orange (SC),LDT1,Dsl,PMTW,DSL,PM2_5,3.3347563322961733e-06
2017,July,Orange (SC),LDT1,Dsl,RUNEX,DSL,CO,0.002907596888305093
2017,July,Orange (SC),LDT1,Dsl,RUNEX,DSL,NH3,5.168870833655825e-06
2017,July,Orange (SC),LDT1,Dsl,RUNEX,DSL,NOx,0.0023694026116692383
2017,July,Orange (SC),LDT1,Dsl,RUNEX,DSL,PM,0.00041024247453802027
2017,July,Orange (SC),LDT1,Dsl,RUNEX,DSL,PM10,0.0004077810196907921
