calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Placer (MC),LDA,Dsl,PMBW,DSL,PM,3.1611687940661894e-05
2017,July,Placer (MC),LDA,Dsl,PMBW,DSL,PM10,3.1611687940661894e-05
2017,July,Placer (MC),LDA,Dsl,PMBW,DSL,PM2_5,1.1064090779231662e-05
2017,July,Placer (MC),LDA,Dsl,PMTW,DSL,PM,3.1558933173953914e-05
2017,July,Placer (MC),LDA,Dsl,PMTW,DSL,PM10,3.1558933173953914e-05
2017,July,Placer (MC),LDA,Dsl,PMTW,DSL,PM2_5,7.889733293488478e-06
2017,July,Placer (MC),LDA,Dsl,RUNEX,DSL,CO,0.002074074251700973
2017,July,Placer (MC),LDA,Dsl,RUNEX,DSL,NH3,1.2229083100040417e-05
2017,July,Placer (MC),LDA,Dsl,RUNEX,DSL,NOx,0.002171362822669323
2017,July,Placer (MC),LDA,Dsl,RUNEX,DSL,PM,0.0001474720207508348
2017,July,Placer (MC),LDA,Dsl,RUNEX,DSL,PM10,0.0001465871886263298
2017,July,Placer (MC),LDA,Dsl,RUNEX,DSL,PM2_5,0.00014024589173404394
2017,July,Placer (MC),LDA,Dsl,RUNEX,DSL,SOx,9.487117359787169e-06
2017,July,Placer (MC),LDA,Dsl,RUNEX,DSL,TOG,0.0002561695949082905
2017,July,Placer (MC),LDA,Elec,PMBW,ELEC,PM,2.9635357072124557e-05
2017,July,Placer (MC),LDA,Elec,PMBW,ELEC,PM10,2.9635357072124557e-05
2017,July,Placer (MC),LDA,Elec,PMBW,ELEC,PM2_5,1.0372374975243594e-05
2017,July,Placer (MC),LDA,Elec,PMTW,ELEC,PM,5.438246306734881e-05
2017,July,Placer (MC),LDA,Elec,PMTW,ELEC,PM10,5.438246306734881e-05
2017,July,Placer (MC),LDA,Elec,PMTW,ELEC,PM2_5,1.3595615766837203e-05
2017,July,Placer (MC),LDA,Gas,DIURN,CAT,TOG,0.04538210241842274
2017,July,Placer (MC),LDA,Gas,DIURN,NCAT,TOG,0.00113624334835932
2017,July,Placer (MC),LDA,Gas,HOTSOAK,CAT,TOG,0.012141523395522564
2017,July,Placer (MC),LDA,Gas,HOTSOAK,NCAT,TOG,0.0007046144543082171
2017,July,Placer (MC),LDA,Gas,PMBW,CAT,PM,0.005843564176331118
2017,July,Placer (MC),LDA,Gas,PMBW,CAT,PM10,0.005843564176331118
2017,July,Placer (MC),LDA,Gas,PMBW,CAT,PM2_5,0.0020452474617158917
2017,July,Placer (MC),LDA,Gas,PMBW,NCAT,PM,2.3380376973554364e-06
