calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Placer (SV),LDA,Dsl,PMBW,DSL,PM,0.00017348305173371027
2017,July,Placer (SV),LDA,Dsl,PMBW,DSL,PM10,0.00017348305173371027
2017,July,Placer (SV),LDA,Dsl,PMBW,DSL,PM2_5,6.0719068106798615e-05
2017,July,Placer (SV),LDA,Dsl,PMTW,DSL,PM,0.0001738019376384638
2017,July,Placer (SV),LDA,Dsl,PMTW,DSL,PM10,0.0001738019376384638
2017,July,Placer (SV),LDA,Dsl,PMTW,DSL,PM2_5,4.345048440961595e-05
2017,July,Placer (SV),LDA,Dsl,RUNEX,DSL,CO,0.01011612012836489
2017,July,Placer (SV),LDA,Dsl,RUNEX,DSL,NH3,6.73482315328382e-05
2017,July,Placer (SV),LDA,Dsl,RUNEX,DSL,NOx,0.00999089863004657
2017,July,Placer (SV),LDA,Dsl,RUNEX,DSL,PM,0.0006794943728734673
2017,July,Placer (SV),LDA,Dsl,RUNEX,DSL,PM10,0.0006754174066362265
2017,July,Placer (SV),LDA,Dsl,RUNEX,DSL,PM2_5,0.0006461991486026673
2017,July,Placer (SV),LDA,Dsl,RUNEX,DSL,SOx,5.142306105661954e-05
2017,July,Placer (SV),LDA,Dsl,RUNEX,DSL,TOG,0.0012111671224996753
2017,July,Placer (SV),LDA,Elec,PMBW,ELEC,PM,0.000169877677831445
2017,July,Placer (SV),LDA,Elec,PMBW,ELEC,PM10,0.000169877677831445
2017,July,Placer (SV),LDA,Elec,PMBW,ELEC,PM2_5,5.945718724100576e-05
2017,July,Placer (SV),LDA,Elec,PMTW,ELEC,PM,0.0003113597529870412
2017,July,Placer (SV),LDA,Elec,PMTW,ELEC,PM10,0.0003113597529870412
2017,July,Placer (SV),LDA,Elec,PMTW,ELEC,PM2_5,7.78399382467603e-05
2017,July,Placer (SV),LDA,Gas,DIURN,CAT,TOG,0.2701447506455717
2017,July,Placer (SV),LDA,Gas,DIURN,NCAT,TOG,0.007291722044592062
2017,July,Placer (SV),LDA,Gas,HOTSOAK,CAT,TOG,0.06362430205350829
2017,July,Placer (SV),LDA,Gas,HOTSOAK,NCAT,TOG,0.003814510350369148
2017,July,Placer (SV),LDA,Gas,PMBW,CAT,PM,0.032204979473038034
2017,July,Placer (SV),LDA,Gas,PMBW,CAT,PM10,0.032204979473038034
2017,July,Placer (SV),LDA,Gas,PMBW,CAT,PM2_5,0.011271742815563313
2017,July,Placer (SV),LDA,Gas,PMBW,NCAT,PM,1.7779441687348016e-05
2017,July,Placer (SV),LDA,Gas,PMBW,NCAT,PM10,1.7779441687348016e-05
2017,July,Placer (SV),LDA,Gas,PMBW,NCAT,PM2_5,6.222804590571803e-06
2017,July,Placer (SV),LDA,Gas,PMTW,CAT,PM,0.03232063129431337
2017,July,Placer (SV),LDA,Gas,PMTW,CAT,PM10,0.03232063129431337
2017,July,Placer (SV),LDA,Gas,PMTW,CAT,PM2_5,0.008080157823578342
2017,July,Placer (SV),LDA,Gas,PMTW,NCAT,PM,1.669034550386013e-05
2017,July,Placer (SV),LDA,Gas,PMTW,NCAT,PM10,1.669034550386013e-05
2017,July,Placer (SV),LDA,Gas,PMTW,NCAT,PM2_5,4.172586375965032e-06
2017,July,Placer (SV),LDA,Gas,RUNEX,CAT,CO,6.698849527726342
2017,July,Placer (SV),LDA,Gas,RUNEX,CAT,NH3,0.11293463399782454
2017,July,Placer (SV),LDA,Gas,RUNEX,CAT,NOx,0.31957318105590976
2017,July,Placer (SV),LDA,Gas,RUNEX,CAT,PM,0.006597096330685253
2017,July,Placer (SV),LDA,Gas,RUNEX,CAT,PM10,0.005898352079154308
2017,July,Placer (SV),LDA,Gas,RUNEX,CAT,PM2_5,0.005423590141354035
2017,July,Placer (SV),LDA,Gas,RUNEX,CAT,SOx,0.013579240595434175
2017,July,Placer (SV),LDA,Gas,RUNEX,CAT,TOG,0.12859197875504133
2017,July,Placer (SV),LDA,Gas,RUNEX,NCAT,CO,0.19073374062113174
2017,July,Placer (SV),LDA,Gas,RUNEX,NCAT,NH3,1.1928522534367836e-05
2017,July,Placer (SV),LDA,Gas,RUNEX,NCAT,NOx,0.008855166919820344
2017,July,Placer (SV),LDA,Gas,RUNEX,NCAT,PM,0.00012589636459972591
2017,July,Placer (SV),LDA,Gas,RUNEX,NCAT,PM10,0.00012043844685864487
2017,July,Placer (SV),LDA,Gas,RUNEX,NCAT,PM2_5,0.00011467000880719178
2017,July,Placer (SV),LDA,Gas,RUNEX,NCAT,SOx,1.408504650677676e-05
2017,July,Placer (SV),LDA,Gas,RUNEX,NCAT,TOG,0.011556807594120512
2017,July,Placer (SV),LDA,Gas,RUNLOSS,CAT,TOG,0.14558240478003157
2017,July,Placer (SV),LDA,Gas,RUNLOSS,NCAT,TOG,0.0032289299075991865
2017,July,Placer (SV),LDA,Gas,STREX,CAT,CO,2.0905409383134845
2017,July,Placer (SV),LDA,Gas,STREX,CAT,NOx,0.1755796508911396
2017,July,Placer (SV),LDA,Gas,STREX,CAT,PM,0.0013702301775164278
2017,July,Placer (SV),LDA,Gas,STREX,CAT,PM10,0.0012252541884903104
2017,July,Placer (SV),LDA,Gas,STREX,CAT,PM2_5,0.0011267097869649112
2017,July,Placer (SV),LDA,Gas,STREX,CAT,SOx,0.00040996134042640357
2017,July,Placer (SV),LDA,Gas,STREX,CAT,TOG,0.24824217408804888
2017,July,Placer (SV),LDA,Gas,STREX,NCAT,CO,0.024891419498534635
2017,July,Placer (SV),LDA,Gas,STREX,NCAT,NOx,0.0010565371676837993
2017,July,Placer (SV),LDA,Gas,STREX,NCAT,PM,5.437577806369392e-05
2017,July,Placer (SV),LDA,Gas,STREX,NCAT,PM10,5.198671292858573e-05
2017,July,Placer (SV),LDA,Gas,STREX,NCAT,PM2_5,4.948200743799998e-05
2017,July,Placer (SV),LDA,Gas,STREX,NCAT,SOx,2.0832175605785146e-06
2017,July,Placer (SV),LDA,Gas,STREX,NCAT,TOG,0.0037299212190274717
2017,July,Placer (SV),LDA,Phe,DIURN,CAT,TOG,0.0009794212723790263
2017,July,Placer (SV),LDA,Phe,HOTSOAK,CAT,TOG,0.0001951032889488017
2017,July,Placer (SV),LDA,Phe,PMBW,CAT,PM,0.0001926999404175072
2017,July,Placer (SV),LDA,Phe,PMBW,CAT,PM10,0.0001926999404175072
2017,July,Placer (SV),LDA,Phe,PMBW,CAT,PM2_5,6.744497914612754e-05
2017,July,Placer (SV),LDA,Phe,PMTW,CAT,PM,0.00038875833339857406
2017,July,Placer (SV),LDA,Phe,PMTW,CAT,PM10,0.00038875833339857406
2017,July,Placer (SV),LDA,Phe,PMTW,CAT,PM2_5,9.718958334964351e-05
2017,July,Placer (SV),LDA,Phe,RUNEX,CAT,CO,0.017325996973570196
2017,July,Placer (SV),LDA,Phe,RUNEX,CAT,NH3,0.0007806641427649029
2017,July,Placer (SV),LDA,Phe,RUNEX,CAT,NOx,0.00016297134732663895
2017,July,Placer (SV),LDA,Phe,RUNEX,CAT,PM,4.698638487744124e-05
2017,July,Placer (SV),LDA,Phe,RUNEX,CAT,PM10,4.2005828080432473e-05
2017,July,Placer (SV),LDA,Phe,RUNEX,CAT,PM2_5,3.8622808369256696e-05
2017,July,Placer (SV),LDA,Phe,RUNEX,CAT,SOx,8.343477670457337e-05
2017,July,Placer (SV),LDA,Phe,RUNEX,CAT,TOG,0.0001266880766771847
2017,July,Placer (SV),LDA,Phe,RUNLOSS,CAT,TOG,0.0001802465700534953
2017,July,Placer (SV),LDA,Phe,STREX,CAT,CO,0.004745785097140463
2017,July,Placer (SV),LDA,Phe,STREX,CAT,NOx,0.0004631303488574675
2017,July,Placer (SV),LDA,Phe,STREX,CAT,PM,1.18506776876315e-05
2017,July,Placer (SV),LDA,Phe,STREX,CAT,PM10,1.0594505852742561e-05
2017,July,Placer (SV),LDA,Phe,STREX,CAT,PM2_5,9.741257059233092e-06
2017,July,Placer (SV),LDA,Phe,STREX,CAT,SOx,3.011142414026862e-06
2017,July,Placer (SV),LDA,Phe,STREX,CAT,TOG,0.0006872274800551042
2017,July,Placer (SV),LDT1,Dsl,PMBW,DSL,PM,5.219766318962577e-06
2017,July,Placer (SV),LDT1,Dsl,PMBW,DSL,PM10,5.219766318962577e-06
2017,July,Placer (SV),LDT1,Dsl,PMBW,DSL,PM2_5,1.8269182116369022e-06
2017,July,Placer (SV),LDT1,Dsl,PMTW,DSL,PM,3.7940872139231176e-06
2017,July,Placer (SV),LDT1,Dsl,PMTW,DSL,PM10,3.7940872139231176e-06
2017,July,Placer (SV),LDT1,Dsl,PMTW,DSL,PM2_5,9.485218034807794e-07
2017,July,Placer (SV),LDT1,Dsl,RUNEX,DSL,CO,0.0006877493234384163
2017,July,Placer (SV),LDT1,Dsl,RUNEX,DSL,NH3,1.4702083740321045e-06
2017,July,Placer (SV),LDT1,Dsl,RUNEX,DSL,NOx,0.0007715656039304877
2017,July,Placer (SV),LDT1,Dsl,RUNEX,DSL,PM,9.663701616883974e-05
2017,July,Placer (SV),LDT1,Dsl,RUNEX,DSL,PM10,9.605719407182669e-05
2017,July,Placer (SV),LDT1,Dsl,RUNEX,DSL,PM2_5,9.19018023765666e-05
2017,July,Placer (SV),LDT1,Dsl,RUNEX,DSL,SOx,2.0648304238473053e-06
2017,July,Placer (SV),LDT1,Dsl,RUNEX,DSL,TOG,0.0001390195695996361
2017,July,Placer (SV),LDT1,Elec,PMBW,ELEC,PM,2.526478735230521e-06
2017,July,Placer (SV),LDT1,Elec,PMBW,ELEC,PM10,2.526478735230521e-06
2017,July,Placer (SV),LDT1,Elec,PMBW,ELEC,PM2_5,8.842675573306823e-07
2017,July,Placer (SV),LDT1,Elec,PMTW,ELEC,PM,4.595793568532712e-06
2017,July,Placer (SV),LDT1,Elec,PMTW,ELEC,PM10,4.595793568532712e-06
2017,July,Placer (SV),LDT1,Elec,PMTW,ELEC,PM2_5,1.148948392133178e-06
2017,July,Placer (SV),LDT1,Gas,DIURN,CAT,TOG,0.07009383343798135
2017,July,Placer (SV),LDT1,Gas,DIURN,NCAT,TOG,0.0035602402728027237
2017,July,Placer (SV),LDT1,Gas,HOTSOAK,CAT,TOG,0.015582085374246627
2017,July,Placer (SV),LDT1,Gas,HOTSOAK,NCAT,TOG,0.001863720440578281
2017,July,Placer (SV),LDT1,Gas,PMBW,CAT,PM,0.004828847093937921
2017,July,Placer (SV),LDT1,Gas,PMBW,CAT,PM10,0.004828847093937921
2017,July,Placer (SV),LDT1,Gas,PMBW,CAT,PM2_5,0.0016900964828782722
2017,July,Placer (SV),LDT1,Gas,PMBW,NCAT,PM,9.810424924317213e-06
2017,July,Placer (SV),LDT1,Gas,PMBW,NCAT,PM10,9.810424924317213e-06
2017,July,Placer (SV),LDT1,Gas,PMBW,NCAT,PM2_5,3.4336487235110237e-06
2017,July,Placer (SV),LDT1,Gas,PMTW,CAT,PM,0.004096790153749004
2017,July,Placer (SV),LDT1,Gas,PMTW,CAT,PM10,0.004096790153749004
2017,July,Placer (SV),LDT1,Gas,PMTW,CAT,PM2_5,0.001024197538437251
2017,July,Placer (SV),LDT1,Gas,PMTW,NCAT,PM,6.9595810447355775e-06
2017,July,Placer (SV),LDT1,Gas,PMTW,NCAT,PM10,6.9595810447355775e-06
2017,July,Placer (SV),LDT1,Gas,PMTW,NCAT,PM2_5,1.7398952611838944e-06
2017,July,Placer (SV),LDT1,Gas,RUNEX,CAT,CO,1.3489767271778623
2017,July,Placer (SV),LDT1,Gas,RUNEX,CAT,NH3,0.016329459413137893
2017,July,Placer (SV),LDT1,Gas,RUNEX,CAT,NOx,0.08068179493993827
2017,July,Placer (SV),LDT1,Gas,RUNEX,CAT,PM,0.0013156014274778745
2017,July,Placer (SV),LDT1,Gas,RUNEX,CAT,PM10,0.0011765446245698135
2017,July,Placer (SV),LDT1,Gas,RUNEX,CAT,PM2_5,0.001081987210676908
2017,July,Placer (SV),LDT1,Gas,RUNEX,CAT,SOx,0.001961693476271195
2017,July,Placer (SV),LDT1,Gas,RUNEX,CAT,TOG,0.03290611086011587
2017,July,Placer (SV),LDT1,Gas,RUNEX,NCAT,CO,0.05656125602973156
