calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Plumas (MC),LDA,Dsl,PMBW,DSL,PM,3.444711184374683e-05
2017,July,Plumas (MC),LDA,Dsl,PMBW,DSL,PM10,3.444711184374683e-05
2017,July,Plumas (MC),LDA,Dsl,PMBW,DSL,PM2_5,1.2056489145311393e-05
2017,July,Plumas (MC),LDA,Dsl,PMTW,DSL,PM,2.7849412960632514e-05
2017,July,Plumas (MC),LDA,Dsl,PMTW,DSL,PM10,2.7849412960632514e-05
2017,July,Plumas (MC),LDA,Dsl,PMTW,DSL,PM2_5,6.962353240158129e-06
2017,July,Plumas (MC),LDA,Dsl,RUNEX,DSL,CO,0.002353895371890766
2017,July,Plumas (MC),LDA,Dsl,RUNEX,DSL,NH3,1.0791644429349655e-05
2017,July,Plumas (MC),LDA,Dsl,RUNEX,DSL,NOx,0.0019131054235215297
2017,July,Plumas (MC),LDA,Dsl,RUNEX,DSL,PM,0.0001686594140543689
2017,July,Plumas (MC),LDA,Dsl,RUNEX,DSL,PM10,0.00016764745757004266
2017,July,Plumas (MC),LDA,Dsl,RUNEX,DSL,PM2_5,0.00016039510276570483
2017,July,Plumas (MC),LDA,Dsl,RUNEX,DSL,SOx,9.205333540877003e-06
2017,July,Plumas (MC),LDA,Dsl,RUNEX,DSL,TOG,0.0003073905270264819
2017,July,Plumas (MC),LDA,Elec,PMBW,ELEC,PM,1.2658789571645358e-05
2017,July,Plumas (MC),LDA,Elec,PMBW,ELEC,PM10,1.2658789571645358e-05
2017,July,Plumas (MC),LDA,Elec,PMBW,ELEC,PM2_5,4.430576350075876e-06
2017,July,Plumas (MC),LDA,Elec,PMTW,ELEC,PM,2.3231405051220275e-05
2017,July,Plumas (MC),LDA,Elec,PMTW,ELEC,PM10,2.3231405051220275e-05
2017,July,Plumas (MC),LDA,Elec,PMTW,ELEC,PM2_5,5.807851262805069e-06
2017,July,Plumas (MC),LDA,Gas,DIURN,CAT,TOG,0.03587153644327782
2017,July,Plumas (MC),LDA,Gas,DIURN,NCAT,TOG,0.0010376309749115073
2017,July,Plumas (MC),LDA,Gas,HOTSOAK,CAT,TOG,0.009295791126787337
2017,July,Plumas (MC),LDA,Gas,HOTSOAK,NCAT,TOG,0.0006277683077561258
2017,July,Plumas (MC),LDA,Gas,PMBW,CAT,PM,0.0039980500244091235
2017,July,Plumas (MC),LDA,Gas,PMBW,CAT,PM10,0.0039980500244091235
2017,July,Plumas (MC),LDA,Gas,PMBW,CAT,PM2_5,0.0013993175085431932
2017,July,Plumas (MC),LDA,Gas,PMBW,NCAT,PM,3.6761178346104244e-06
2017,July,Plumas (MC),LDA,Gas,PMBW,NCAT,PM10,3.6761178346104244e-06
2017,July,Plumas (MC),LDA,Gas,PMBW,NCAT,PM2_5,1.286641242113649e-06
2017,July,Plumas (MC),LDA,Gas,PMTW,CAT,PM,0.003223826078372053
2017,July,Plumas (MC),LDA,Gas,PMTW,CAT,PM10,0.003223826078372053
2017,July,Plumas (MC),LDA,Gas,PMTW,CAT,PM2_5,0.0008059565195930133
2017,July,Plumas (MC),LDA,Gas,PMTW,NCAT,PM,2.7932992536175808e-06
2017,July,Plumas (MC),LDA,Gas,PMTW,NCAT,PM10,2.7932992536175808e-06
2017,July,Plumas (MC),LDA,Gas,PMTW,NCAT,PM2_5,6.983248134043952e-07
2017,July,Plumas (MC),LDA,Gas,RUNEX,CAT,CO,0.8868368467797446
2017,July,Plumas (MC),LDA,Gas,RUNEX,CAT,NH3,0.012214704233980052
2017,July,Plumas (MC),LDA,Gas,RUNEX,CAT,NOx,0.056601756549364286
2017,July,Plumas (MC),LDA,Gas,RUNEX,CAT,PM,0.0011412360537752782
2017,July,Plumas (MC),LDA,Gas,RUNEX,CAT,PM10,0.0010204487565482658
2017,July,Plumas (MC),LDA,Gas,RUNEX,CAT,PM2_5,0.000938356541053292
2017,July,Plumas (MC),LDA,Gas,RUNEX,CAT,SOx,0.0014041115179479688
2017,July,Plumas (MC),LDA,Gas,RUNEX,CAT,TOG,0.029085731433630666
2017,July,Plumas (MC),LDA,Gas,RUNEX,NCAT,CO,0.024604318465244076
2017,July,Plumas (MC),LDA,Gas,RUNEX,NCAT,NH3,2.1743186939428176e-06
2017,July,Plumas (MC),LDA,Gas,RUNEX,NCAT,NOx,0.0014036564507102995
2017,July,Plumas (MC),LDA,Gas,RUNEX,NCAT,PM,2.4672868063158024e-05
2017,July,Plumas (MC),LDA,Gas,RUNEX,NCAT,PM10,2.3526901735527266e-05
2017,July,Plumas (MC),LDA,Gas,RUNEX,NCAT,PM2_5,2.2364515163902153e-05
2017,July,Plumas (MC),LDA,Gas,RUNEX,NCAT,SOx,2.3216727131843853e-06
2017,July,Plumas (MC),LDA,Gas,RUNEX,NCAT,TOG,0.0021914405867281034
2017,July,Plumas (MC),LDA,Gas,RUNLOSS,CAT,TOG,0.02346219001589191
2017,July,Plumas (MC),LDA,Gas,RUNLOSS,NCAT,TOG,0.0005205149009280552
2017,July,Plumas (MC),LDA,Gas,STREX,CAT,CO,0.2992975837880679
2017,July,Plumas (MC),LDA,Gas,STREX,CAT,NOx,0.021825278767855047
2017,July,Plumas (MC),LDA,Gas,STREX,CAT,PM,0.00018498157974124668
2017,July,Plumas (MC),LDA,Gas,STREX,CAT,PM10,0.000165446337919487
2017,July,Plumas (MC),LDA,Gas,STREX,CAT,PM2_5,0.00015215809041188946
2017,July,Plumas (MC),LDA,Gas,STREX,CAT,SOx,4.293410936678194e-05
2017,July,Plumas (MC),LDA,Gas,STREX,CAT,TOG,0.03679444228050066
