calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Riverside (MD/MDAQMD),LDA,Dsl,PMBW,DSL,PM,5.8928824681751786e-06
2017,July,Riverside (MD/MDAQMD),LDA,Dsl,PMBW,DSL,PM10,5.8928824681751786e-06
2017,July,Riverside (MD/MDAQMD),LDA,Dsl,PMBW,DSL,PM2_5,2.0625088638613125e-06
2017,July,Riverside (MD/MDAQMD),LDA,Dsl,PMTW,DSL,PM,1.6804956302588774e-05
2017,July,Riverside (MD/MDAQMD),LDA,Dsl,PMTW,DSL,PM10,1.6804956302588774e-05
2017,July,Riverside (MD/MDAQMD),LDA,Dsl,PMTW,DSL,PM2_5,4.201239075647193e-06
2017,July,Riverside (MD/MDAQMD),LDA,Dsl,RUNEX,DSL,CO,0.0011195739713171125
2017,July,Riverside (MD/MDAQMD),LDA,Dsl,RUNEX,DSL,NH3,6.511918700931125e-06
2017,July,Riverside (MD/MDAQMD),LDA,Dsl,RUNEX,DSL,NOx,0.0007993632403333645
2017,July,Riverside (MD/MDAQMD),LDA,Dsl,RUNEX,DSL,PM,7.633623022945725e-05
2017,July,Riverside (MD/MDAQMD),LDA,Dsl,RUNEX,DSL,PM10,7.587821284808052e-05
2017,July,Riverside (MD/MDAQMD),LDA,Dsl,RUNEX,DSL,PM2_5,7.259575494821383e-05
2017,July,Riverside (MD/MDAQMD),LDA,Dsl,RUNEX,DSL,SOx,5.626408657378002e-06
2017,July,Riverside (MD/MDAQMD),LDA,Dsl,RUNEX,DSL,TOG,0.00011958775493392332
2017,July,Riverside (MD/MDAQMD),LDA,Elec,PMBW,ELEC,PM,1.6963952488105403e-05
2017,July,Riverside (MD/MDAQMD),LDA,Elec,PMBW,ELEC,PM10,1.6963952488105403e-05
2017,July,Riverside (MD/MDAQMD),LDA,Elec,PMBW,ELEC,PM2_5,5.937383370836891e-06
2017,July,Riverside (MD/MDAQMD),LDA,Elec,PMTW,ELEC,PM,3.1132997289169e-05
2017,July,Riverside (MD/MDAQMD),LDA,Elec,PMTW,ELEC,PM10,3.1132997289169e-05
2017,July,Riverside (MD/MDAQMD),LDA,Elec,PMTW,ELEC,PM2_5,7.78324932229225e-06
2017,July,Riverside (MD/MDAQMD),LDA,Gas,DIURN,CAT,TOG,0.05645931218458905
2017,July,Riverside (MD/MDAQMD),LDA,Gas,DIURN,NCAT,TOG,0.001334442433947112
2017,July,Riverside (MD/MDAQMD),LDA,Gas,HOTSOAK,CAT,TOG,0.009694382314455593
2017,July,Riverside (MD/MDAQMD),LDA,Gas,HOTSOAK,NCAT,TOG,0.00045964509714504646
