calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Riverside (MD/SCAQMD),LDA,Dsl,PMBW,DSL,PM,4.4508924588590316e-06
2017,July,Riverside (MD/SCAQMD),LDA,Dsl,PMBW,DSL,PM10,4.4508924588590316e-06
2017,July,Riverside (MD/SCAQMD),LDA,Dsl,PMBW,DSL,PM2_5,1.557812360600661e-06
2017,July,Riverside (MD/SCAQMD),LDA,Dsl,PMTW,DSL,PM,1.5104304066234098e-05
2017,July,Riverside (MD/SCAQMD),LDA,Dsl,PMTW,DSL,PM10,1.5104304066234098e-05
2017,July,Riverside (MD/SCAQMD),LDA,Dsl,PMTW,DSL,PM2_5,3.7760760165585246e-06
2017,July,Riverside (MD/SCAQMD),LDA,Dsl,RUNEX,DSL,CO,0.0011228053474679445
2017,July,Riverside (MD/SCAQMD),LDA,Dsl,RUNEX,DSL,NH3,5.852916148214437e-06
2017,July,Riverside (MD/SCAQMD),LDA,Dsl,RUNEX,DSL,NOx,0.0008691793463576746
2017,July,Riverside (MD/SCAQMD),LDA,Dsl,RUNEX,DSL,PM,7.315804863749686e-05
2017,July,Riverside (MD/SCAQMD),LDA,Dsl,RUNEX,DSL,PM10,7.271910034567186e-05
2017,July,Riverside (MD/SCAQMD),LDA,Dsl,RUNEX,DSL,PM2_5,6.957330425425952e-05
2017,July,Riverside (MD/SCAQMD),LDA,Dsl,RUNEX,DSL,SOx,5.1563300665342394e-06
2017,July,Riverside (MD/SCAQMD),LDA,Dsl,RUNEX,DSL,TOG,0.00011718790302088177
2017,July,Riverside (MD/SCAQMD),LDA,Elec,PMBW,ELEC,PM,2.034059622005083e-05
2017,July,Riverside (MD/SCAQMD),LDA,Elec,PMBW,ELEC,PM10,2.034059622005083e-05
2017,July,Riverside (MD/SCAQMD),LDA,Elec,PMBW,ELEC,PM2_5,7.119208677017791e-06
2017,July,Riverside (MD/SCAQMD),LDA,Elec,PMTW,ELEC,PM,3.732996348716189e-05
2017,July,Riverside (MD/SCAQMD),LDA,Elec,PMTW,ELEC,PM10,3.732996348716189e-05
2017,July,Riverside (MD/SCAQMD),LDA,Elec,PMTW,ELEC,PM2_5,9.332490871790472e-06
2017,July,Riverside (MD/SCAQMD),LDA,Gas,DIURN,CAT,TOG,0.047511319742274176
2017,July,Riverside (MD/SCAQMD),LDA,Gas,DIURN,NCAT,TOG,0.001157034883553792
2017,July,Riverside (MD/SCAQMD),LDA,Gas,HOTSOAK,CAT,TOG,0.008298472739720114
2017,July,Riverside (MD/SCAQMD),LDA,Gas,HOTSOAK,NCAT,TOG,0.0004056358735010665
2017,July,Riverside (MD/SCAQMD),LDA,Gas,PMBW,CAT,PM,0.00103548158347669
2017,July,Riverside (MD/SCAQMD),LDA,Gas,PMBW,CAT,PM10,0.00103548158347669
