calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Riverside (SC),LDA,Dsl,PMBW,DSL,PM,0.0006716957682714482
2017,July,Riverside (SC),LDA,Dsl,PMBW,DSL,PM10,0.0006716957682714482
2017,July,Riverside (SC),LDA,Dsl,PMBW,DSL,PM2_5,0.00023509351889500682
2017,July,Riverside (SC),LDA,Dsl,PMTW,DSL,PM,0.00078272755117704
2017,July,Riverside (SC),LDA,Dsl,PMTW,DSL,PM10,0.00078272755117704
2017,July,Riverside (SC),LDA,Dsl,PMTW,DSL,PM2_5,0.00019568188779426
2017,July,Riverside (SC),LDA,Dsl,RUNEX,DSL,CO,0.03806294427399449
2017,July,Riverside (SC),LDA,Dsl,RUNEX,DSL,NH3,0.0003033068391530776
2017,July,Riverside (SC),LDA,Dsl,RUNEX,DSL,NOx,0.031682661091535544
2017,July,Riverside (SC),LDA,Dsl,RUNEX,DSL,PM,0.0025213729615522775
2017,July,Riverside (SC),LDA,Dsl,RUNEX,DSL,PM10,0.0025062447237829627
2017,July,Riverside (SC),LDA,Dsl,RUNEX,DSL,PM2_5,0.002397825686436215
2017,July,Riverside (SC),LDA,Dsl,RUNEX,DSL,SOx,0.00022953928360652855
2017,July,Riverside (SC),LDA,Dsl,RUNEX,DSL,TOG,0.004295747342611849
2017,July,Riverside (SC),LDA,Elec,PMBW,ELEC,PM,0.00037862842324350914
2017,July,Riverside (SC),LDA,Elec,PMBW,ELEC,PM10,0.00037862842324350914
2017,July,Riverside (SC),LDA,Elec,PMBW,ELEC,PM2_5,0.0001325199481352282
2017,July,Riverside (SC),LDA,Elec,PMTW,ELEC,PM,0.000694610306706254
2017,July,Riverside (SC),LDA,Elec,PMTW,ELEC,PM10,0.000694610306706254
2017,July,Riverside (SC),LDA,Elec,PMTW,ELEC,PM2_5,0.0001736525766765635
2017,July,Riverside (SC),LDA,Gas,DIURN,CAT,TOG,1.4277401446042446
2017,July,Riverside (SC),LDA,Gas,DIURN,NCAT,TOG,0.030870072604920674
2017,July,Riverside (SC),LDA,Gas,HOTSOAK,CAT,TOG,0.3332277945053111
2017,July,Riverside (SC),LDA,Gas,HOTSOAK,NCAT,TOG,0.01605978139627141
2017,July,Riverside (SC),LDA,Gas,PMBW,CAT,PM,0.18202777019424504
2017,July,Riverside (SC),LDA,Gas,PMBW,CAT,PM10,0.18202777019424504
2017,July,Riverside (SC),LDA,Gas,PMBW,CAT,PM2_5,0.06370971956798577
2017,July,Riverside (SC),LDA,Gas,PMBW,NCAT,PM,7.89666767568089e-05
2017,July,Riverside (SC),LDA,Gas,PMBW,NCAT,PM10,7.89666767568089e-05
2017,July,Riverside (SC),LDA,Gas,PMBW,NCAT,PM2_5,2.7638336864883107e-05
2017,July,Riverside (SC),LDA,Gas,PMTW,CAT,PM,0.211322651780484
2017,July,Riverside (SC),LDA,Gas,PMTW,CAT,PM10,0.211322651780484
2017,July,Riverside (SC),LDA,Gas,PMTW,CAT,PM2_5,0.052830662945121
2017,July,Riverside (SC),LDA,Gas,PMTW,NCAT,PM,8.563886856615582e-05
2017,July,Riverside (SC),LDA,Gas,PMTW,NCAT,PM10,8.563886856615582e-05
2017,July,Riverside (SC),LDA,Gas,PMTW,NCAT,PM2_5,2.1409717141538954e-05
2017,July,Riverside (SC),LDA,Gas,RUNEX,CAT,CO,39.123077821630034
2017,July,Riverside (SC),LDA,Gas,RUNEX,CAT,NH3,0.742968542761663
2017,July,Riverside (SC),LDA,Gas,RUNEX,CAT,NOx,1.786568138344306
2017,July,Riverside (SC),LDA,Gas,RUNEX,CAT,PM,0.041367822987141756
2017,July,Riverside (SC),LDA,Gas,RUNEX,CAT,PM10,0.03698627359369375
2017,July,Riverside (SC),LDA,Gas,RUNEX,CAT,PM2_5,0.03400922788502689
