calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Riverside (SS),LDA,Dsl,PMBW,DSL,PM,9.95071219511639e-05
2017,July,Riverside (SS),LDA,Dsl,PMBW,DSL,PM10,9.95071219511639e-05
2017,July,Riverside (SS),LDA,Dsl,PMBW,DSL,PM2_5,3.482749268290736e-05
2017,July,Riverside (SS),LDA,Dsl,PMTW,DSL,PM,0.00013343960946020307
2017,July,Riverside (SS),LDA,Dsl,PMTW,DSL,PM10,0.00013343960946020307
2017,July,Riverside (SS),LDA,Dsl,PMTW,DSL,PM2_5,3.335990236505077e-05
2017,July,Riverside (SS),LDA,Dsl,RUNEX,DSL,CO,0.007572594031052569
2017,July,Riverside (SS),LDA,Dsl,RUNEX,DSL,NH3,5.170783384631485e-05
2017,July,Riverside (SS),LDA,Dsl,RUNEX,DSL,NOx,0.005964961853612788
2017,July,Riverside (SS),LDA,Dsl,RUNEX,DSL,PM,0.0005919034798818101
2017,July,Riverside (SS),LDA,Dsl,RUNEX,DSL,PM10,0.0005883520590025194
2017,July,Riverside (SS),LDA,Dsl,RUNEX,DSL,PM2_5,0.0005629002093676017
2017,July,Riverside (SS),LDA,Dsl,RUNEX,DSL,SOx,3.961668078903234e-05
2017,July,Riverside (SS),LDA,Dsl,RUNEX,DSL,TOG,0.000962653486179589
2017,July,Riverside (SS),LDA,Elec,PMBW,ELEC,PM,0.00012860090606598294
2017,July,Riverside (SS),LDA,Elec,PMBW,ELEC,PM10,0.00012860090606598294
2017,July,Riverside (SS),LDA,Elec,PMBW,ELEC,PM2_5,4.501031712309403e-05
2017,July,Riverside (SS),LDA,Elec,PMTW,ELEC,PM,0.0002359074215002786
2017,July,Riverside (SS),LDA,Elec,PMTW,ELEC,PM10,0.0002359074215002786
2017,July,Riverside (SS),LDA,Elec,PMTW,ELEC,PM2_5,5.897685537506965e-05
2017,July,Riverside (SS),LDA,Gas,DIURN,CAT,TOG,0.577830574619407
2017,July,Riverside (SS),LDA,Gas,DIURN,NCAT,TOG,0.01287392535975367
2017,July,Riverside (SS),LDA,Gas,HOTSOAK,CAT,TOG,0.10280315373241868
2017,July,Riverside (SS),LDA,Gas,HOTSOAK,NCAT,TOG,0.004651175901033201
2017,July,Riverside (SS),LDA,Gas,PMBW,CAT,PM,0.034158978986207726
2017,July,Riverside (SS),LDA,Gas,PMBW,CAT,PM10,0.034158978986207726
2017,July,Riverside (SS),LDA,Gas,PMBW,CAT,PM2_5,0.011955642645172704
2017,July,Riverside (SS),LDA,Gas,PMBW,NCAT,PM,1.3261251740631271e-05
2017,July,Riverside (SS),LDA,Gas,PMBW,NCAT,PM10,1.3261251740631271e-05
2017,July,Riverside (SS),LDA,Gas,PMBW,NCAT,PM2_5,4.6414381092209445e-06
2017,July,Riverside (SS),LDA,Gas,PMTW,CAT,PM,0.04580381580387075
2017,July,Riverside (SS),LDA,Gas,PMTW,CAT,PM10,0.04580381580387075
2017,July,Riverside (SS),LDA,Gas,PMTW,CAT,PM2_5,0.011450953950967688
2017,July,Riverside (SS),LDA,Gas,PMTW,NCAT,PM,1.6569875745073627e-05
2017,July,Riverside (SS),LDA,Gas,PMTW,NCAT,PM10,1.6569875745073627e-05
2017,July,Riverside (SS),LDA,Gas,PMTW,NCAT,PM2_5,4.142468936268407e-06
2017,July,Riverside (SS),LDA,Gas,RUNEX,CAT,CO,10.187230144514936
2017,July,Riverside (SS),LDA,Gas,RUNEX,CAT,NH3,0.164636271625195
2017,July,Riverside (SS),LDA,Gas,RUNEX,CAT,NOx,0.3888288542668561
2017,July,Riverside (SS),LDA,Gas,RUNEX,CAT,PM,0.00895819006648187
2017,July,Riverside (SS),LDA,Gas,RUNEX,CAT,PM10,0.008009434080333881
2017,July,Riverside (SS),LDA,Gas,RUNEX,CAT,PM2_5,0.00736478380607218
2017,July,Riverside (SS),LDA,Gas,RUNEX,CAT,SOx,0.02004136038893721
2017,July,Riverside (SS),LDA,Gas,RUNEX,CAT,TOG,0.1672316240966782
2017,July,Riverside (SS),LDA,Gas,RUNEX,NCAT,CO,0.28089003158897824
2017,July,Riverside (SS),LDA,Gas,RUNEX,NCAT,NH3,1.2602419995997698e-05
2017,July,Riverside (SS),LDA,Gas,RUNEX,NCAT,NOx,0.008260668920505376
2017,July,Riverside (SS),LDA,Gas,RUNEX,NCAT,PM,0.00012403031223543238
2017,July,Riverside (SS),LDA,Gas,RUNEX,NCAT,PM10,0.00011838096915915962
2017,July,Riverside (SS),LDA,Gas,RUNEX,NCAT,PM2_5,0.00011258422489580734
2017,July,Riverside (SS),LDA,Gas,RUNEX,NCAT,SOx,1.578591856195466e-05
2017,July,Riverside (SS),LDA,Gas,RUNEX,NCAT,TOG,0.011396071336019687
2017,July,Riverside (SS),LDA,Gas,RUNLOSS,CAT,TOG,0.23592411950173692
2017,July,Riverside (SS),LDA,Gas,RUNLOSS,NCAT,TOG,0.0041577134319435586
2017,July,Riverside (SS),LDA,Gas,STREX,CAT,CO,3.0521353483597613
2017,July,Riverside (SS),LDA,Gas,STREX,CAT,NOx,0.262690002351768
2017,July,Riverside (SS),LDA,Gas,STREX,CAT,PM,0.0021414626000437597
2017,July,Riverside (SS),LDA,Gas,STREX,CAT,PM10,0.0019148871081965497
2017,July,Riverside (SS),LDA,Gas,STREX,CAT,PM2_5,0.0017608771327129208
2017,July,Riverside (SS),LDA,Gas,STREX,CAT,SOx,0.0006082542660356379
2017,July,Riverside (SS),LDA,Gas,STREX,CAT,TOG,0.346318884841393
2017,July,Riverside (SS),LDA,Gas,STREX,NCAT,CO,0.030781740476766295
2017,July,Riverside (SS),LDA,Gas,STREX,NCAT,NOx,0.0011839424128880726
2017,July,Riverside (SS),LDA,Gas,STREX,NCAT,PM,6.248505785046228e-05
2017,July,Riverside (SS),LDA,Gas,STREX,NCAT,PM10,5.962859683686596e-05
2017,July,Riverside (SS),LDA,Gas,STREX,NCAT,PM2_5,5.670392257192336e-05
2017,July,Riverside (SS),LDA,Gas,STREX,NCAT,SOx,2.4059816235241345e-06
2017,July,Riverside (SS),LDA,Gas,STREX,NCAT,TOG,0.0042812795264694165
2017,July,Riverside (SS),LDA,Phe,DIURN,CAT,TOG,0.002474625813693854
2017,July,Riverside (SS),LDA,Phe,HOTSOAK,CAT,TOG,0.00036769738875856245
2017,July,Riverside (SS),LDA,Phe,PMBW,CAT,PM,0.00027524342532277753
2017,July,Riverside (SS),LDA,Phe,PMBW,CAT,PM10,0.00027524342532277753
2017,July,Riverside (SS),LDA,Phe,PMBW,CAT,PM2_5,9.633519886297214e-05
2017,July,Riverside (SS),LDA,Phe,PMTW,CAT,PM,0.0006214394681740773
2017,July,Riverside (SS),LDA,Phe,PMTW,CAT,PM10,0.0006214394681740773
2017,July,Riverside (SS),LDA,Phe,PMTW,CAT,PM2_5,0.00015535986704351933
2017,July,Riverside (SS),LDA,Phe,RUNEX,CAT,CO,0.02963752799940457
2017,July,Riverside (SS),LDA,Phe,RUNEX,CAT,NH3,0.0013050116447655441
2017,July,Riverside (SS),LDA,Phe,RUNEX,CAT,NOx,0.00020706949125248438
2017,July,Riverside (SS),LDA,Phe,RUNEX,CAT,PM,7.099088020414527e-05
2017,July,Riverside (SS),LDA,Phe,RUNEX,CAT,PM10,6.346584690250588e-05
2017,July,Riverside (SS),LDA,Phe,RUNEX,CAT,PM2_5,5.835450352780741e-05
2017,July,Riverside (SS),LDA,Phe,RUNEX,CAT,SOx,0.00012840399436020778
2017,July,Riverside (SS),LDA,Phe,RUNEX,CAT,TOG,0.00016415155154664204
2017,July,Riverside (SS),LDA,Phe,RUNLOSS,CAT,TOG,0.00034194257069204714
2017,July,Riverside (SS),LDA,Phe,STREX,CAT,CO,0.007922513317554565
2017,July,Riverside (SS),LDA,Phe,STREX,CAT,NOx,0.0007818997428572376
2017,July,Riverside (SS),LDA,Phe,STREX,CAT,PM,2.076072700163415e-05
2017,July,Riverside (SS),LDA,Phe,STREX,CAT,PM10,1.856008993946093e-05
2017,July,Riverside (SS),LDA,Phe,STREX,CAT,PM2_5,1.706531759534327e-05
2017,July,Riverside (SS),LDA,Phe,STREX,CAT,SOx,5.0278406986220724e-06
2017,July,Riverside (SS),LDA,Phe,STREX,CAT,TOG,0.0010917411543127664
2017,July,Riverside (SS),LDT1,Dsl,PMBW,DSL,PM,3.692243368999814e-06
2017,July,Riverside (SS),LDT1,Dsl,PMBW,DSL,PM10,3.692243368999814e-06
2017,July,Riverside (SS),LDT1,Dsl,PMBW,DSL,PM2_5,1.2922851791499352e-06
2017,July,Riverside (SS),LDT1,Dsl,PMTW,DSL,PM,3.5211253998702048e-06
2017,July,Riverside (SS),LDT1,Dsl,PMTW,DSL,PM10,3.5211253998702048e-06
2017,July,Riverside (SS),LDT1,Dsl,PMTW,DSL,PM2_5,8.802813499675512e-07
2017,July,Riverside (SS),LDT1,Dsl,RUNEX,DSL,CO,0.0009377874628145139
2017,July,Riverside (SS),LDT1,Dsl,RUNEX,DSL,NH3,1.3644357014011483e-06
2017,July,Riverside (SS),LDT1,Dsl,RUNEX,DSL,NOx,0.0006586950697435903
2017,July,Riverside (SS),LDT1,Dsl,RUNEX,DSL,PM,0.00010752605797916185
2017,July,Riverside (SS),LDT1,Dsl,RUNEX,DSL,PM10,0.00010688090163128689
2017,July,Riverside (SS),LDT1,Dsl,RUNEX,DSL,PM2_5,0.0001022572811381829
2017,July,Riverside (SS),LDT1,Dsl,RUNEX,DSL,SOx,1.7263344681133228e-06
2017,July,Riverside (SS),LDT1,Dsl,RUNEX,DSL,TOG,0.00016079085220032456
