calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Sacramento (SV),LDA,Dsl,PMBW,DSL,PM,0.0005392548827686929
2017,July,Sacramento (SV),LDA,Dsl,PMBW,DSL,PM10,0.0005392548827686929
2017,July,Sacramento (SV),LDA,Dsl,PMBW,DSL,PM2_5,0.00018873920896904248
2017,July,Sacramento (SV),LDA,Dsl,PMTW,DSL,PM,0.0005389532842641411
2017,July,Sacramento (SV),LDA,Dsl,PMTW,DSL,PM10,0.0005389532842641411
2017,July,Sacramento (SV),LDA,Dsl,PMTW,DSL,PM2_5,0.00013473832106603527
2017,July,Sacramento (SV),LDA,Dsl,RUNEX,DSL,CO,0.03437731978455943
2017,July,Sacramento (SV),LDA,Dsl,RUNEX,DSL,NH3,0.0002088443377973709
2017,July,Sacramento (SV),LDA,Dsl,RUNEX,DSL,NOx,0.034294234368812404
2017,July,Sacramento (SV),LDA,Dsl,RUNEX,DSL,PM,0.0022780281483117206
2017,July,Sacramento (SV),LDA,Dsl,RUNEX,DSL,PM10,0.002264359979421851
2017,July,Sacramento (SV),LDA,Dsl,RUNEX,DSL,PM2_5,0.0021664047690444464
2017,July,Sacramento (SV),LDA,Dsl,RUNEX,DSL,SOx,0.000161040957798617
2017,July,Sacramento (SV),LDA,Dsl,RUNEX,DSL,TOG,0.004050181148681425
2017,July,Sacramento (SV),LDA,Elec,PMBW,ELEC,PM,0.0004914127554344567
2017,July,Sacramento (SV),LDA,Elec,PMBW,ELEC,PM10,0.0004914127554344567
2017,July,Sacramento (SV),LDA,Elec,PMBW,ELEC,PM2_5,0.00017199446440205985
2017,July,Sacramento (SV),LDA,Elec,PMTW,ELEC,PM,0.0009013202520439538
2017,July,Sacramento (SV),LDA,Elec,PMTW,ELEC,PM10,0.0009013202520439538
2017,July,Sacramento (SV),LDA,Elec,PMTW,ELEC,PM2_5,0.00022533006301098845
2017,July,Sacramento (SV),LDA,Gas,DIURN,CAT,TOG,1.4571466471885783
2017,July,Sacramento (SV),LDA,Gas,DIURN,NCAT,TOG,0.02973741114911613
2017,July,Sacramento (SV),LDA,Gas,HOTSOAK,CAT,TOG,0.35203257449761843
2017,July,Sacramento (SV),LDA,Gas,HOTSOAK,NCAT,TOG,0.016253230235874005
2017,July,Sacramento (SV),LDA,Gas,PMBW,CAT,PM,0.15338842686710152
2017,July,Sacramento (SV),LDA,Gas,PMBW,CAT,PM10,0.15338842686710152
2017,July,Sacramento (SV),LDA,Gas,PMBW,CAT,PM2_5,0.05368594940348553
2017,July,Sacramento (SV),LDA,Gas,PMBW,NCAT,PM,1.5755246212679277e-05
2017,July,Sacramento (SV),LDA,Gas,PMBW,NCAT,PM10,1.5755246212679277e-05
2017,July,Sacramento (SV),LDA,Gas,PMBW,NCAT,PM2_5,5.514336174437747e-06
2017,July,Sacramento (SV),LDA,Gas,PMTW,CAT,PM,0.1532447374014217
2017,July,Sacramento (SV),LDA,Gas,PMTW,CAT,PM10,0.1532447374014217
2017,July,Sacramento (SV),LDA,Gas,PMTW,CAT,PM2_5,0.03831118435035542
2017,July,Sacramento (SV),LDA,Gas,PMTW,NCAT,PM,1.4790143999579334e-05
2017,July,Sacramento (SV),LDA,Gas,PMTW,NCAT,PM10,1.4790143999579334e-05
2017,July,Sacramento (SV),LDA,Gas,PMTW,NCAT,PM2_5,3.6975359998948336e-06
2017,July,Sacramento (SV),LDA,Gas,RUNEX,CAT,CO,36.14970660657294
2017,July,Sacramento (SV),LDA,Gas,RUNEX,CAT,NH3,0.5497087810269986
2017,July,Sacramento (SV),LDA,Gas,RUNEX,CAT,NOx,1.8916035338758446
2017,July,Sacramento (SV),LDA,Gas,RUNEX,CAT,PM,0.03308420886461697
2017,July,Sacramento (SV),LDA,Gas,RUNEX,CAT,PM10,0.02957832704116503
2017,July,Sacramento (SV),LDA,Gas,RUNEX,CAT,PM2_5,0.02719670043356228
2017,July,Sacramento (SV),LDA,Gas,RUNEX,CAT,SOx,0.06468839736504081
2017,July,Sacramento (SV),LDA,Gas,RUNEX,CAT,TOG,0.7732236384624994
2017,July,Sacramento (SV),LDA,Gas,RUNEX,NCAT,CO,0.1558545477322522
2017,July,Sacramento (SV),LDA,Gas,RUNEX,NCAT,NH3,1.209176037520157e-05
2017,July,Sacramento (SV),LDA,Gas,RUNEX,NCAT,NOx,0.007654785172316571
2017,July,Sacramento (SV),LDA,Gas,RUNEX,NCAT,PM,0.00011150680139219784
2017,July,Sacramento (SV),LDA,Gas,RUNEX,NCAT,PM10,0.00010611371994045682
2017,July,Sacramento (SV),LDA,Gas,RUNEX,NCAT,PM2_5,0.00010077099002952147
2017,July,Sacramento (SV),LDA,Gas,RUNEX,NCAT,SOx,1.2310725792094037e-05
2017,July,Sacramento (SV),LDA,Gas,RUNEX,NCAT,TOG,0.00977684530355364
