calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,San Benito (NCC),LDA,Dsl,PMBW,DSL,PM,3.2313039865685304e-05
2017,July,San Benito (NCC),LDA,Dsl,PMBW,DSL,PM10,3.2313039865685304e-05
2017,July,San Benito (NCC),LDA,Dsl,PMBW,DSL,PM2_5,1.1309563952989857e-05
2017,July,San Benito (NCC),LDA,Dsl,PMTW,DSL,PM,2.8997366457122545e-05
2017,July,San Benito (NCC),LDA,Dsl,PMTW,DSL,PM10,2.8997366457122545e-05
2017,July,San Benito (NCC),LDA,Dsl,PMTW,DSL,PM2_5,7.249341614280636e-06
2017,July,San Benito (NCC),LDA,Dsl,RUNEX,DSL,CO,0.0015783012299588086
2017,July,San Benito (NCC),LDA,Dsl,RUNEX,DSL,NH3,1.123647628175031e-05
2017,July,San Benito (NCC),LDA,Dsl,RUNEX,DSL,NOx,0.001614246168180294
2017,July,San Benito (NCC),LDA,Dsl,RUNEX,DSL,PM,9.917244693627718e-05
2017,July,San Benito (NCC),LDA,Dsl,RUNEX,DSL,PM10,9.857741225465948e-05
2017,July,San Benito (NCC),LDA,Dsl,RUNEX,DSL,PM2_5,9.431299703639958e-05
2017,July,San Benito (NCC),LDA,Dsl,RUNEX,DSL,SOx,8.325490840377672e-06
2017,July,San Benito (NCC),LDA,Dsl,RUNEX,DSL,TOG,0.00018120776123375812
2017,July,San Benito (NCC),LDA,Elec,PMBW,ELEC,PM,7.715293027626049e-06
2017,July,San Benito (NCC),LDA,Elec,PMBW,ELEC,PM10,7.715293027626049e-06
2017,July,San Benito (NCC),LDA,Elec,PMBW,ELEC,PM2_5,2.700352559669117e-06
2017,July,San Benito (NCC),LDA,Elec,PMTW,ELEC,PM,1.415630797511635e-05
2017,July,San Benito (NCC),LDA,Elec,PMTW,ELEC,PM10,1.415630797511635e-05
2017,July,San Benito (NCC),LDA,Elec,PMTW,ELEC,PM2_5,3.5390769937790874e-06
2017,July,San Benito (NCC),LDA,Gas,DIURN,CAT,TOG,0.026709187131008477
2017,July,San Benito (NCC),LDA,Gas,DIURN,NCAT,TOG,0.0006901044195135579
2017,July,San Benito (NCC),LDA,Gas,HOTSOAK,CAT,TOG,0.008040300306726953
2017,July,San Benito (NCC),LDA,Gas,HOTSOAK,NCAT,TOG,0.0004984788538896878
2017,July,San Benito (NCC),LDA,Gas,PMBW,CAT,PM,0.004632266685134111
2017,July,San Benito (NCC),LDA,Gas,PMBW,CAT,PM10,0.004632266685134111
2017,July,San Benito (NCC),LDA,Gas,PMBW,CAT,PM2_5,0.0016212933397969388
2017,July,San Benito (NCC),LDA,Gas,PMBW,NCAT,PM,3.0594283738300057e-06
2017,July,San Benito (NCC),LDA,Gas,PMBW,NCAT,PM10,3.0594283738300057e-06
2017,July,San Benito (NCC),LDA,Gas,PMBW,NCAT,PM2_5,1.0707999308405016e-06
2017,July,San Benito (NCC),LDA,Gas,PMTW,CAT,PM,0.004145219227049855
2017,July,San Benito (NCC),LDA,Gas,PMTW,CAT,PM10,0.004145219227049855
2017,July,San Benito (NCC),LDA,Gas,PMTW,CAT,PM2_5,0.0010363048067624637
2017,July,San Benito (NCC),LDA,Gas,PMTW,NCAT,PM,2.5696348898378246e-06
2017,July,San Benito (NCC),LDA,Gas,PMTW,NCAT,PM10,2.5696348898378246e-06
2017,July,San Benito (NCC),LDA,Gas,PMTW,NCAT,PM2_5,6.424087224594562e-07
2017,July,San Benito (NCC),LDA,Gas,RUNEX,CAT,CO,0.7013362446233677
2017,July,San Benito (NCC),LDA,Gas,RUNEX,CAT,NH3,0.014878831558856649
2017,July,San Benito (NCC),LDA,Gas,RUNEX,CAT,NOx,0.055442207834212935
2017,July,San Benito (NCC),LDA,Gas,RUNEX,CAT,PM,0.0009137293086697815
2017,July,San Benito (NCC),LDA,Gas,RUNEX,CAT,PM10,0.0008169869914622593
2017,July,San Benito (NCC),LDA,Gas,RUNEX,CAT,PM2_5,0.000751245700735368
2017,July,San Benito (NCC),LDA,Gas,RUNEX,CAT,SOx,0.0015435205350196723
2017,July,San Benito (NCC),LDA,Gas,RUNEX,CAT,TOG,0.02030595205002896
2017,July,San Benito (NCC),LDA,Gas,RUNEX,NCAT,CO,0.020116329050126665
2017,July,San Benito (NCC),LDA,Gas,RUNEX,NCAT,NH3,1.9239675027523437e-06
2017,July,San Benito (NCC),LDA,Gas,RUNEX,NCAT,NOx,0.0014121808618834785
2017,July,San Benito (NCC),LDA,Gas,RUNEX,NCAT,PM,1.8831433142483245e-05
2017,July,San Benito (NCC),LDA,Gas,RUNEX,NCAT,PM10,1.7984017738451664e-05
2017,July,San Benito (NCC),LDA,Gas,RUNEX,NCAT,PM2_5,1.7108215182849667e-05
2017,July,San Benito (NCC),LDA,Gas,RUNEX,NCAT,SOx,1.8805280311162813e-06
2017,July,San Benito (NCC),LDA,Gas,RUNEX,NCAT,TOG,0.001858213291763199
2017,July,San Benito (NCC),LDA,Gas,RUNLOSS,CAT,TOG,0.01965578052372138
