calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,San Bernardino (MD),LDA,Dsl,PMBW,DSL,PM,0.00023368259763047666
2017,July,San Bernardino (MD),LDA,Dsl,PMBW,DSL,PM10,0.00023368259763047666
2017,July,San Bernardino (MD),LDA,Dsl,PMBW,DSL,PM2_5,8.178890917066684e-05
2017,July,San Bernardino (MD),LDA,Dsl,PMTW,DSL,PM,0.0003494140624187801
2017,July,San Bernardino (MD),LDA,Dsl,PMTW,DSL,PM10,0.0003494140624187801
2017,July,San Bernardino (MD),LDA,Dsl,PMTW,DSL,PM2_5,8.735351560469502e-05
2017,July,San Bernardino (MD),LDA,Dsl,RUNEX,DSL,CO,0.022416199736261903
2017,July,San Bernardino (MD),LDA,Dsl,RUNEX,DSL,NH3,0.00013539791038210877
2017,July,San Bernardino (MD),LDA,Dsl,RUNEX,DSL,NOx,0.019574601030780046
2017,July,San Bernardino (MD),LDA,Dsl,RUNEX,DSL,PM,0.0015903066136568353
2017,July,San Bernardino (MD),LDA,Dsl,RUNEX,DSL,PM10,0.0015807647739748945
2017,July,San Bernardino (MD),LDA,Dsl,RUNEX,DSL,PM2_5,0.0015123815895876508
2017,July,San Bernardino (MD),LDA,Dsl,RUNEX,DSL,SOx,0.00010735474823035775
2017,July,San Bernardino (MD),LDA,Dsl,RUNEX,DSL,TOG,0.002608011480494253
2017,July,San Bernardino (MD),LDA,Elec,PMBW,ELEC,PM,0.0002926744968091988
2017,July,San Bernardino (MD),LDA,Elec,PMBW,ELEC,PM10,0.0002926744968091988
2017,July,San Bernardino (MD),LDA,Elec,PMBW,ELEC,PM2_5,0.00010243607388321956
2017,July,San Bernardino (MD),LDA,Elec,PMTW,ELEC,PM,0.000537093681642536
2017,July,San Bernardino (MD),LDA,Elec,PMTW,ELEC,PM10,0.000537093681642536
2017,July,San Bernardino (MD),LDA,Elec,PMTW,ELEC,PM2_5,0.000134273420410634
2017,July,San Bernardino (MD),LDA,Gas,DIURN,CAT,TOG,0.8827433413491201
2017,July,San Bernardino (MD),LDA,Gas,DIURN,NCAT,TOG,0.021616693543660262
2017,July,San Bernardino (MD),LDA,Gas,HOTSOAK,CAT,TOG,0.19089768171996294
2017,July,San Bernardino (MD),LDA,Gas,HOTSOAK,NCAT,TOG,0.010129789777808944
2017,July,San Bernardino (MD),LDA,Gas,PMBW,CAT,PM,0.06149985199138049
2017,July,San Bernardino (MD),LDA,Gas,PMBW,CAT,PM10,0.06149985199138049
2017,July,San Bernardino (MD),LDA,Gas,PMBW,CAT,PM2_5,0.021524948196983165
2017,July,San Bernardino (MD),LDA,Gas,PMBW,NCAT,PM,3.3772826080829014e-05
2017,July,San Bernardino (MD),LDA,Gas,PMBW,NCAT,PM10,3.3772826080829014e-05
2017,July,San Bernardino (MD),LDA,Gas,PMBW,NCAT,PM2_5,1.1820489128290153e-05
2017,July,San Bernardino (MD),LDA,Gas,PMTW,CAT,PM,0.09187326345786938
2017,July,San Bernardino (MD),LDA,Gas,PMTW,CAT,PM10,0.09187326345786938
2017,July,San Bernardino (MD),LDA,Gas,PMTW,CAT,PM2_5,0.022968315864467344
2017,July,San Bernardino (MD),LDA,Gas,PMTW,NCAT,PM,4.724712809704207e-05
2017,July,San Bernardino (MD),LDA,Gas,PMTW,NCAT,PM10,4.724712809704207e-05
2017,July,San Bernardino (MD),LDA,Gas,PMTW,NCAT,PM2_5,1.1811782024260518e-05
2017,July,San Bernardino (MD),LDA,Gas,RUNEX,CAT,CO,20.16546285946315
2017,July,San Bernardino (MD),LDA,Gas,RUNEX,CAT,NH3,0.3320593857116049
2017,July,San Bernardino (MD),LDA,Gas,RUNEX,CAT,NOx,0.9671225893453143
2017,July,San Bernardino (MD),LDA,Gas,RUNEX,CAT,PM,0.018907491967180022
2017,July,San Bernardino (MD),LDA,Gas,RUNEX,CAT,PM10,0.016905377929459182
2017,July,San Bernardino (MD),LDA,Gas,RUNEX,CAT,PM2_5,0.015544907807858143
2017,July,San Bernardino (MD),LDA,Gas,RUNEX,CAT,SOx,0.039478145853950715
2017,July,San Bernardino (MD),LDA,Gas,RUNEX,CAT,TOG,0.42048059681214545
2017,July,San Bernardino (MD),LDA,Gas,RUNEX,NCAT,CO,0.7160267745000317
2017,July,San Bernardino (MD),LDA,Gas,RUNEX,NCAT,NH3,3.513308233037163e-05
2017,July,San Bernardino (MD),LDA,Gas,RUNEX,NCAT,NOx,0.02460732735930098
2017,July,San Bernardino (MD),LDA,Gas,RUNEX,NCAT,PM,0.00036297837788843053
2017,July,San Bernardino (MD),LDA,Gas,RUNEX,NCAT,PM10,0.00034674211035053875
2017,July,San Bernardino (MD),LDA,Gas,RUNEX,NCAT,PM2_5,0.00032990176168752535
2017,July,San Bernardino (MD),LDA,Gas,RUNEX,NCAT,SOx,4.3055050081708854e-05
2017,July,San Bernardino (MD),LDA,Gas,RUNEX,NCAT,TOG,0.03239133445258962
2017,July,San Bernardino (MD),LDA,Gas,RUNLOSS,CAT,TOG,0.4544308439183764
2017,July,San Bernardino (MD),LDA,Gas,RUNLOSS,NCAT,TOG,0.008642292738103605
2017,July,San Bernardino (MD),LDA,Gas,STREX,CAT,CO,5.497178483885483
2017,July,San Bernardino (MD),LDA,Gas,STREX,CAT,NOx,0.47266543957378737
2017,July,San Bernardino (MD),LDA,Gas,STREX,CAT,PM,0.0038711094362319193
2017,July,San Bernardino (MD),LDA,Gas,STREX,CAT,PM10,0.0034616088844419053
2017,July,San Bernardino (MD),LDA,Gas,STREX,CAT,PM2_5,0.0031832388163259835
2017,July,San Bernardino (MD),LDA,Gas,STREX,CAT,SOx,0.0010678739683663548
2017,July,San Bernardino (MD),LDA,Gas,STREX,CAT,TOG,0.672825620274723
2017,July,San Bernardino (MD),LDA,Gas,STREX,NCAT,CO,0.0652896087755354
2017,July,San Bernardino (MD),LDA,Gas,STREX,NCAT,NOx,0.002724863026525385
2017,July,San Bernardino (MD),LDA,Gas,STREX,NCAT,PM,0.00014261710509097018
2017,July,San Bernardino (MD),LDA,Gas,STREX,NCAT,PM10,0.0001362179895418521
2017,July,San Bernardino (MD),LDA,Gas,STREX,NCAT,PM2_5,0.00012959302562507376
2017,July,San Bernardino (MD),LDA,Gas,STREX,NCAT,SOx,5.425202093101077e-06
2017,July,San Bernardino (MD),LDA,Gas,STREX,NCAT,TOG,0.009371975354578769
2017,July,San Bernardino (MD),LDA,Phe,DIURN,CAT,TOG,0.002836242650111544
2017,July,San Bernardino (MD),LDA,Phe,HOTSOAK,CAT,TOG,0.000515869809116374
2017,July,San Bernardino (MD),LDA,Phe,PMBW,CAT,PM,0.00046108341326138945
2017,July,San Bernardino (MD),LDA,Phe,PMBW,CAT,PM10,0.00046108341326138945
2017,July,San Bernardino (MD),LDA,Phe,PMBW,CAT,PM2_5,0.00016137919464148632
2017,July,San Bernardino (MD),LDA,Phe,PMTW,CAT,PM,0.0010853610209702004
2017,July,San Bernardino (MD),LDA,Phe,PMTW,CAT,PM10,0.0010853610209702004
2017,July,San Bernardino (MD),LDA,Phe,PMTW,CAT,PM2_5,0.0002713402552425501
2017,July,San Bernardino (MD),LDA,Phe,RUNEX,CAT,CO,0.04313672548025974
2017,July,San Bernardino (MD),LDA,Phe,RUNEX,CAT,NH3,0.0022020890022177524
2017,July,San Bernardino (MD),LDA,Phe,RUNEX,CAT,NOx,0.0003411993524378397
2017,July,San Bernardino (MD),LDA,Phe,RUNEX,CAT,PM,0.00012139494053144904
2017,July,San Bernardino (MD),LDA,Phe,RUNEX,CAT,PM10,0.00010852707683511543
2017,July,San Bernardino (MD),LDA,Phe,RUNEX,CAT,PM2_5,9.97866411168511e-05
2017,July,San Bernardino (MD),LDA,Phe,RUNEX,CAT,SOx,0.000209132108441714
2017,July,San Bernardino (MD),LDA,Phe,RUNEX,CAT,TOG,0.00026259076071038915
2017,July,San Bernardino (MD),LDA,Phe,RUNLOSS,CAT,TOG,0.0004754663338471337
2017,July,San Bernardino (MD),LDA,Phe,STREX,CAT,CO,0.011366907264213091
2017,July,San Bernardino (MD),LDA,Phe,STREX,CAT,NOx,0.0011589482681168906
2017,July,San Bernardino (MD),LDA,Phe,STREX,CAT,PM,3.104375930423187e-05
2017,July,San Bernardino (MD),LDA,Phe,STREX,CAT,PM10,2.775312081798329e-05
2017,July,San Bernardino (MD),LDA,Phe,STREX,CAT,PM2_5,2.551797014807859e-05
2017,July,San Bernardino (MD),LDA,Phe,STREX,CAT,SOx,7.724879810113851e-06
2017,July,San Bernardino (MD),LDA,Phe,STREX,CAT,TOG,0.0016700493076019151
2017,July,San Bernardino (MD),LDT1,Dsl,PMBW,DSL,PM,5.359553711602056e-06
2017,July,San Bernardino (MD),LDT1,Dsl,PMBW,DSL,PM10,5.359553711602056e-06
2017,July,San Bernardino (MD),LDT1,Dsl,PMBW,DSL,PM2_5,1.8758437990607196e-06
2017,July,San Bernardino (MD),LDT1,Dsl,PMTW,DSL,PM,5.86011730556063e-06
2017,July,San Bernardino (MD),LDT1,Dsl,PMTW,DSL,PM10,5.86011730556063e-06
2017,July,San Bernardino (MD),LDT1,Dsl,PMTW,DSL,PM2_5,1.4650293263901576e-06
2017,July,San Bernardino (MD),LDT1,Dsl,RUNEX,DSL,CO,0.0013280290312618485
2017,July,San Bernardino (MD),LDT1,Dsl,RUNEX,DSL,NH3,2.2707948050928175e-06
2017,July,San Bernardino (MD),LDT1,Dsl,RUNEX,DSL,NOx,0.0010811032856563613
2017,July,San Bernardino (MD),LDT1,Dsl,RUNEX,DSL,PM,0.0001586994846963896
2017,July,San Bernardino (MD),LDT1,Dsl,RUNEX,DSL,PM10,0.00015774728778821136
2017,July,San Bernardino (MD),LDT1,Dsl,RUNEX,DSL,PM2_5,0.00015092320994626647
2017,July,San Bernardino (MD),LDT1,Dsl,RUNEX,DSL,SOx,3.1572671414288565e-06
2017,July,San Bernardino (MD),LDT1,Dsl,RUNEX,DSL,TOG,0.00023273902533335288
2017,July,San Bernardino (MD),LDT1,Elec,PMBW,ELEC,PM,3.078967121716723e-06
2017,July,San Bernardino (MD),LDT1,Elec,PMBW,ELEC,PM10,3.078967121716723e-06
2017,July,San Bernardino (MD),LDT1,Elec,PMBW,ELEC,PM2_5,1.077638492600853e-06
2017,July,San Bernardino (MD),LDT1,Elec,PMTW,ELEC,PM,5.608954302460524e-06
2017,July,San Bernardino (MD),LDT1,Elec,PMTW,ELEC,PM10,5.608954302460524e-06
2017,July,San Bernardino (MD),LDT1,Elec,PMTW,ELEC,PM2_5,1.402238575615131e-06
2017,July,San Bernardino (MD),LDT1,Gas,DIURN,CAT,TOG,0.22608303506679464
2017,July,San Bernardino (MD),LDT1,Gas,DIURN,NCAT,TOG,0.00771773710717253
2017,July,San Bernardino (MD),LDT1,Gas,HOTSOAK,CAT,TOG,0.046713715568339746
2017,July,San Bernardino (MD),LDT1,Gas,HOTSOAK,NCAT,TOG,0.0036081719698041865
2017,July,San Bernardino (MD),LDT1,Gas,PMBW,CAT,PM,0.006808952271610356
2017,July,San Bernardino (MD),LDT1,Gas,PMBW,CAT,PM10,0.006808952271610356
2017,July,San Bernardino (MD),LDT1,Gas,PMBW,CAT,PM2_5,0.0023831332950636237
2017,July,San Bernardino (MD),LDT1,Gas,PMBW,NCAT,PM,2.3781925568736747e-05
2017,July,San Bernardino (MD),LDT1,Gas,PMBW,NCAT,PM10,2.3781925568736747e-05
2017,July,San Bernardino (MD),LDT1,Gas,PMBW,NCAT,PM2_5,8.32367394905786e-06
2017,July,San Bernardino (MD),LDT1,Gas,PMTW,CAT,PM,0.00833814804874388
2017,July,San Bernardino (MD),LDT1,Gas,PMTW,CAT,PM10,0.00833814804874388
2017,July,San Bernardino (MD),LDT1,Gas,PMTW,CAT,PM2_5,0.00208453701218597
2017,July,San Bernardino (MD),LDT1,Gas,PMTW,NCAT,PM,2.5308822166696857e-05
2017,July,San Bernardino (MD),LDT1,Gas,PMTW,NCAT,PM10,2.5308822166696857e-05
2017,July,San Bernardino (MD),LDT1,Gas,PMTW,NCAT,PM2_5,6.327205541674214e-06
2017,July,San Bernardino (MD),LDT1,Gas,RUNEX,CAT,CO,4.283801997280131
2017,July,San Bernardino (MD),LDT1,Gas,RUNEX,CAT,NH3,0.03853184195836832
2017,July,San Bernardino (MD),LDT1,Gas,RUNEX,CAT,NOx,0.27852643342831374
2017,July,San Bernardino (MD),LDT1,Gas,RUNEX,CAT,PM,0.0036318709762482105
2017,July,San Bernardino (MD),LDT1,Gas,RUNEX,CAT,PM10,0.003248718003224507
2017,July,San Bernardino (MD),LDT1,Gas,RUNEX,CAT,PM2_5,0.00298798612596211
2017,July,San Bernardino (MD),LDT1,Gas,RUNEX,CAT,SOx,0.004192237611939259
2017,July,San Bernardino (MD),LDT1,Gas,RUNEX,CAT,TOG,0.11250103555751134
2017,July,San Bernardino (MD),LDT1,Gas,RUNEX,NCAT,CO,0.2540944999533532
2017,July,San Bernardino (MD),LDT1,Gas,RUNEX,NCAT,NH3,2.5152643239690983e-05
2017,July,San Bernardino (MD),LDT1,Gas,RUNEX,NCAT,NOx,0.013740374337100344
2017,July,San Bernardino (MD),LDT1,Gas,RUNEX,NCAT,PM,0.00019443097693413105
2017,July,San Bernardino (MD),LDT1,Gas,RUNEX,NCAT,PM10,0.00018502281837509509
2017,July,San Bernardino (MD),LDT1,Gas,RUNEX,NCAT,PM2_5,0.00017570502236251672
2017,July,San Bernardino (MD),LDT1,Gas,RUNEX,NCAT,SOx,1.9530784273857836e-05
2017,July,San Bernardino (MD),LDT1,Gas,RUNEX,NCAT,TOG,0.017119215652125794
2017,July,San Bernardino (MD),LDT1,Gas,RUNLOSS,CAT,TOG,0.13145396496422343
2017,July,San Bernardino (MD),LDT1,Gas,RUNLOSS,NCAT,TOG,0.0030985987841853774
2017,July,San Bernardino (MD),LDT1,Gas,STREX,CAT,CO,1.1240834870838268
2017,July,San Bernardino (MD),LDT1,Gas,STREX,CAT,NOx,0.08257618627376875
2017,July,San Bernardino (MD),LDT1,Gas,STREX,CAT,PM,0.000787947872815525
2017,July,San Bernardino (MD),LDT1,Gas,STREX,CAT,PM10,0.0007049444546253586
2017,July,San Bernardino (MD),LDT1,Gas,STREX,CAT,PM2_5,0.0006484291268452055
2017,July,San Bernardino (MD),LDT1,Gas,STREX,CAT,SOx,0.00013853701148143176
2017,July,San Bernardino (MD),LDT1,Gas,STREX,CAT,TOG,0.12884701388283656
2017,July,San Bernardino (MD),LDT1,Gas,STREX,NCAT,CO,0.02662673570225002
2017,July,San Bernardino (MD),LDT1,Gas,STREX,NCAT,NOx,0.0010269469219842452
2017,July,San Bernardino (MD),LDT1,Gas,STREX,NCAT,PM,5.348821856331817e-05
2017,July,San Bernardino (MD),LDT1,Gas,STREX,NCAT,PM10,5.088312171106958e-05
2017,July,San Bernardino (MD),LDT1,Gas,STREX,NCAT,PM2_5,4.831272103171914e-05
2017,July,San Bernardino (MD),LDT1,Gas,STREX,NCAT,SOx,2.0194977698781544e-06
2017,July,San Bernardino (MD),LDT1,Gas,STREX,NCAT,TOG,0.003566391110129058
2017,July,San Bernardino (MD),LDT1,Phe,DIURN,CAT,TOG,2.915297803041174e-07
2017,July,San Bernardino (MD),LDT1,Phe,HOTSOAK,CAT,TOG,5.424327777185128e-08
