calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,San Francisco (SF),LDA,Dsl,PMBW,DSL,PM,0.00037186225909675245
2017,July,San Francisco (SF),LDA,Dsl,PMBW,DSL,PM10,0.00037186225909675245
2017,July,San Francisco (SF),LDA,Dsl,PMBW,DSL,PM2_5,0.00013015179068386336
2017,July,San Francisco (SF),LDA,Dsl,PMTW,DSL,PM,0.00033088173354259466
2017,July,San Francisco (SF),LDA,Dsl,PMTW,DSL,PM10,0.00033088173354259466
2017,July,San Francisco (SF),LDA,Dsl,PMTW,DSL,PM2_5,8.272043338564866e-05
2017,July,San Francisco (SF),LDA,Dsl,RUNEX,DSL,CO,0.016224896222100348
2017,July,San Francisco (SF),LDA,Dsl,RUNEX,DSL,NH3,0.0001282166350007472
2017,July,San Francisco (SF),LDA,Dsl,RUNEX,DSL,NOx,0.010436789170328116
2017,July,San Francisco (SF),LDA,Dsl,RUNEX,DSL,PM,0.0009828356076370859
2017,July,San Francisco (SF),LDA,Dsl,RUNEX,DSL,PM10,0.0009769385939912634
2017,July,San Francisco (SF),LDA,Dsl,RUNEX,DSL,PM2_5,0.0009346766628628688
2017,July,San Francisco (SF),LDA,Dsl,RUNEX,DSL,SOx,0.00010141976981511519
2017,July,San Francisco (SF),LDA,Dsl,RUNEX,DSL,TOG,0.0018609450595589573
2017,July,San Francisco (SF),LDA,Elec,PMBW,ELEC,PM,0.00046816792894911557
2017,July,San Francisco (SF),LDA,Elec,PMBW,ELEC,PM10,0.00046816792894911557
2017,July,San Francisco (SF),LDA,Elec,PMBW,ELEC,PM2_5,0.0001638587751321904
2017,July,San Francisco (SF),LDA,Elec,PMTW,ELEC,PM,0.0008594209184126243
2017,July,San Francisco (SF),LDA,Elec,PMTW,ELEC,PM10,0.0008594209184126243
2017,July,San Francisco (SF),LDA,Elec,PMTW,ELEC,PM2_5,0.00021485522960315608
2017,July,San Francisco (SF),LDA,Gas,DIURN,CAT,TOG,0.2934873717339164
2017,July,San Francisco (SF),LDA,Gas,DIURN,NCAT,TOG,0.005189924192826636
2017,July,San Francisco (SF),LDA,Gas,HOTSOAK,CAT,TOG,0.09559264491435784
2017,July,San Francisco (SF),LDA,Gas,HOTSOAK,NCAT,TOG,0.004044063268043209
2017,July,San Francisco (SF),LDA,Gas,PMBW,CAT,PM,0.053053945936354735
2017,July,San Francisco (SF),LDA,Gas,PMBW,CAT,PM10,0.053053945936354735
2017,July,San Francisco (SF),LDA,Gas,PMBW,CAT,PM2_5,0.018568881077724152
2017,July,San Francisco (SF),LDA,Gas,PMBW,NCAT,PM,1.4818942744364183e-05
2017,July,San Francisco (SF),LDA,Gas,PMBW,NCAT,PM10,1.4818942744364183e-05
2017,July,San Francisco (SF),LDA,Gas,PMBW,NCAT,PM2_5,5.186629960527463e-06
2017,July,San Francisco (SF),LDA,Gas,PMTW,CAT,PM,0.0469791734537808
2017,July,San Francisco (SF),LDA,Gas,PMTW,CAT,PM10,0.0469791734537808
2017,July,San Francisco (SF),LDA,Gas,PMTW,CAT,PM2_5,0.0117447933634452
2017,July,San Francisco (SF),LDA,Gas,PMTW,NCAT,PM,1.225254070092705e-05
2017,July,San Francisco (SF),LDA,Gas,PMTW,NCAT,PM10,1.225254070092705e-05
2017,July,San Francisco (SF),LDA,Gas,PMTW,NCAT,PM2_5,3.0631351752317624e-06
2017,July,San Francisco (SF),LDA,Gas,RUNEX,CAT,CO,7.219506989916527
