calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,San Joaquin (SJV),LDA,Dsl,PMBW,DSL,PM,0.00024015391149990556
2017,July,San Joaquin (SJV),LDA,Dsl,PMBW,DSL,PM10,0.00024015391149990556
2017,July,San Joaquin (SJV),LDA,Dsl,PMBW,DSL,PM2_5,8.405386902496695e-05
2017,July,San Joaquin (SJV),LDA,Dsl,PMTW,DSL,PM,0.0002250002731746669
2017,July,San Joaquin (SJV),LDA,Dsl,PMTW,DSL,PM10,0.0002250002731746669
2017,July,San Joaquin (SJV),LDA,Dsl,PMTW,DSL,PM2_5,5.625006829366673e-05
2017,July,San Joaquin (SJV),LDA,Dsl,RUNEX,DSL,CO,0.01406220593909043
2017,July,San Joaquin (SJV),LDA,Dsl,RUNEX,DSL,NH3,8.718758086714073e-05
2017,July,San Joaquin (SJV),LDA,Dsl,RUNEX,DSL,NOx,0.014100241015605064
2017,July,San Joaquin (SJV),LDA,Dsl,RUNEX,DSL,PM,0.0008650150777003378
2017,July,San Joaquin (SJV),LDA,Dsl,RUNEX,DSL,PM10,0.0008598249872341357
2017,July,San Joaquin (SJV),LDA,Dsl,RUNEX,DSL,PM2_5,0.0008226293388930212
2017,July,San Joaquin (SJV),LDA,Dsl,RUNEX,DSL,SOx,6.665735673422942e-05
2017,July,San Joaquin (SJV),LDA,Dsl,RUNEX,DSL,TOG,0.0015840341133060204
2017,July,San Joaquin (SJV),LDA,Elec,PMBW,ELEC,PM,0.00014994535908008523
2017,July,San Joaquin (SJV),LDA,Elec,PMBW,ELEC,PM10,0.00014994535908008523
2017,July,San Joaquin (SJV),LDA,Elec,PMBW,ELEC,PM2_5,5.248087567802983e-05
2017,July,San Joaquin (SJV),LDA,Elec,PMTW,ELEC,PM,0.00027510917926901315
2017,July,San Joaquin (SJV),LDA,Elec,PMTW,ELEC,PM10,0.00027510917926901315
2017,July,San Joaquin (SJV),LDA,Elec,PMTW,ELEC,PM2_5,6.877729481725329e-05
2017,July,San Joaquin (SJV),LDA,Gas,DIURN,CAT,TOG,0.6662228179802611
2017,July,San Joaquin (SJV),LDA,Gas,DIURN,NCAT,TOG,0.013460917172755467
2017,July,San Joaquin (SJV),LDA,Gas,HOTSOAK,CAT,TOG,0.16293302606437388
2017,July,San Joaquin (SJV),LDA,Gas,HOTSOAK,NCAT,TOG,0.007425531013943849
2017,July,San Joaquin (SJV),LDA,Gas,PMBW,CAT,PM,0.08476939760846354
2017,July,San Joaquin (SJV),LDA,Gas,PMBW,CAT,PM10,0.08476939760846354
2017,July,San Joaquin (SJV),LDA,Gas,PMBW,CAT,PM2_5,0.029669289162962242
2017,July,San Joaquin (SJV),LDA,Gas,PMBW,NCAT,PM,2.2251874217451374e-05
2017,July,San Joaquin (SJV),LDA,Gas,PMBW,NCAT,PM10,2.2251874217451374e-05
2017,July,San Joaquin (SJV),LDA,Gas,PMBW,NCAT,PM2_5,7.78815597610798e-06
2017,July,San Joaquin (SJV),LDA,Gas,PMTW,CAT,PM,0.0793863930513049
2017,July,San Joaquin (SJV),LDA,Gas,PMTW,CAT,PM10,0.0793863930513049
2017,July,San Joaquin (SJV),LDA,Gas,PMTW,CAT,PM2_5,0.019846598262826226
2017,July,San Joaquin (SJV),LDA,Gas,PMTW,NCAT,PM,1.955431217721915e-05
2017,July,San Joaquin (SJV),LDA,Gas,PMTW,NCAT,PM10,1.955431217721915e-05
2017,July,San Joaquin (SJV),LDA,Gas,PMTW,NCAT,PM2_5,4.8885780443047875e-06
2017,July,San Joaquin (SJV),LDA,Gas,RUNEX,CAT,CO,18.60843908683318
2017,July,San Joaquin (SJV),LDA,Gas,RUNEX,CAT,NH3,0.28632106352695924
2017,July,San Joaquin (SJV),LDA,Gas,RUNEX,CAT,NOx,0.9463379470154105
2017,July,San Joaquin (SJV),LDA,Gas,RUNEX,CAT,PM,0.017857913693877295
2017,July,San Joaquin (SJV),LDA,Gas,RUNEX,CAT,PM10,0.01596593990456559
2017,July,San Joaquin (SJV),LDA,Gas,RUNEX,CAT,PM2_5,0.014680573428198968
2017,July,San Joaquin (SJV),LDA,Gas,RUNEX,CAT,SOx,0.033167244441613584
2017,July,San Joaquin (SJV),LDA,Gas,RUNEX,CAT,TOG,0.40517638454281857
2017,July,San Joaquin (SJV),LDA,Gas,RUNEX,NCAT,CO,0.211048874336032
2017,July,San Joaquin (SJV),LDA,Gas,RUNEX,NCAT,NH3,1.4827193273306287e-05
2017,July,San Joaquin (SJV),LDA,Gas,RUNEX,NCAT,NOx,0.010015101560069774
