calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,San Luis Obispo (SCC),LDA,Dsl,PMBW,DSL,PM,0.00019907014557874107
2017,July,San Luis Obispo (SCC),LDA,Dsl,PMBW,DSL,PM10,0.00019907014557874107
2017,July,San Luis Obispo (SCC),LDA,Dsl,PMBW,DSL,PM2_5,6.967455095255936e-05
2017,July,San Luis Obispo (SCC),LDA,Dsl,PMTW,DSL,PM,0.0002677158681789478
2017,July,San Luis Obispo (SCC),LDA,Dsl,PMTW,DSL,PM10,0.0002677158681789478
2017,July,San Luis Obispo (SCC),LDA,Dsl,PMTW,DSL,PM2_5,6.692896704473695e-05
2017,July,San Luis Obispo (SCC),LDA,Dsl,RUNEX,DSL,CO,0.01343696604270575
2017,July,San Luis Obispo (SCC),LDA,Dsl,RUNEX,DSL,NH3,0.00010373986918739814
2017,July,San Luis Obispo (SCC),LDA,Dsl,RUNEX,DSL,NOx,0.012244333012577723
2017,July,San Luis Obispo (SCC),LDA,Dsl,RUNEX,DSL,PM,0.0008658992751711174
2017,July,San Luis Obispo (SCC),LDA,Dsl,RUNEX,DSL,PM10,0.0008607038795200904
2017,July,San Luis Obispo (SCC),LDA,Dsl,RUNEX,DSL,PM2_5,0.0008234702106877323
2017,July,San Luis Obispo (SCC),LDA,Dsl,RUNEX,DSL,SOx,7.902748820774008e-05
2017,July,San Luis Obispo (SCC),LDA,Dsl,RUNEX,DSL,TOG,0.001480036014750518
2017,July,San Luis Obispo (SCC),LDA,Elec,PMBW,ELEC,PM,0.0001124250291566036
2017,July,San Luis Obispo (SCC),LDA,Elec,PMBW,ELEC,PM10,0.0001124250291566036
2017,July,San Luis Obispo (SCC),LDA,Elec,PMBW,ELEC,PM2_5,3.934876020481126e-05
2017,July,San Luis Obispo (SCC),LDA,Elec,PMTW,ELEC,PM,0.00020616982707307688
2017,July,San Luis Obispo (SCC),LDA,Elec,PMTW,ELEC,PM10,0.00020616982707307688
2017,July,San Luis Obispo (SCC),LDA,Elec,PMTW,ELEC,PM2_5,5.154245676826922e-05
2017,July,San Luis Obispo (SCC),LDA,Gas,DIURN,CAT,TOG,0.18166353853479278
2017,July,San Luis Obispo (SCC),LDA,Gas,DIURN,NCAT,TOG,0.005337616453397806
2017,July,San Luis Obispo (SCC),LDA,Gas,HOTSOAK,CAT,TOG,0.05398975580867577
2017,July,San Luis Obispo (SCC),LDA,Gas,HOTSOAK,NCAT,TOG,0.003762168570990046
2017,July,San Luis Obispo (SCC),LDA,Gas,PMBW,CAT,PM,0.017862000702873842
2017,July,San Luis Obispo (SCC),LDA,Gas,PMBW,CAT,PM10,0.017862000702873842
2017,July,San Luis Obispo (SCC),LDA,Gas,PMBW,CAT,PM2_5,0.006251700246005846
2017,July,San Luis Obispo (SCC),LDA,Gas,PMBW,NCAT,PM,1.3914488387666955e-05
2017,July,San Luis Obispo (SCC),LDA,Gas,PMBW,NCAT,PM10,1.3914488387666955e-05
2017,July,San Luis Obispo (SCC),LDA,Gas,PMBW,NCAT,PM2_5,4.870070935683433e-06
2017,July,San Luis Obispo (SCC),LDA,Gas,PMTW,CAT,PM,0.02380019187281523
2017,July,San Luis Obispo (SCC),LDA,Gas,PMTW,CAT,PM10,0.02380019187281523
2017,July,San Luis Obispo (SCC),LDA,Gas,PMTW,CAT,PM2_5,0.005950047968203808
2017,July,San Luis Obispo (SCC),LDA,Gas,PMTW,NCAT,PM,1.7431290870679945e-05
2017,July,San Luis Obispo (SCC),LDA,Gas,PMTW,NCAT,PM10,1.7431290870679945e-05
2017,July,San Luis Obispo (SCC),LDA,Gas,PMTW,NCAT,PM2_5,4.357822717669986e-06
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,CAT,CO,3.9991500504304907
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,CAT,NH3,0.08529942548154282
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,CAT,NOx,0.2988987426585597
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,CAT,PM,0.004996563567468793
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,CAT,PM10,0.00446757520073698
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,CAT,PM2_5,0.004108093167159175
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,CAT,SOx,0.009353752145713814
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,CAT,TOG,0.11336195162535685
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,NCAT,CO,0.16460361501057538
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,NCAT,NH3,1.2660644604966012e-05
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,NCAT,NOx,0.009713975988241998
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,NCAT,PM,0.00013202455676175265
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,NCAT,PM10,0.00012622822762816538
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,NCAT,PM2_5,0.00012014860385069894
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,NCAT,SOx,1.3585410521042827e-05
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,NCAT,TOG,0.012217360655834437
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNLOSS,CAT,TOG,0.13086017212651868
2017,July,San Luis Obispo (SCC),LDA,Gas,RUNLOSS,NCAT,TOG,0.003056183978967901
2017,July,San Luis Obispo (SCC),LDA,Gas,STREX,CAT,CO,1.9858809328230327
2017,July,San Luis Obispo (SCC),LDA,Gas,STREX,CAT,NOx,0.1502366528254054
2017,July,San Luis Obispo (SCC),LDA,Gas,STREX,CAT,PM,0.0011302056070358539
2017,July,San Luis Obispo (SCC),LDA,Gas,STREX,CAT,PM10,0.0010107117230214947
2017,July,San Luis Obispo (SCC),LDA,Gas,STREX,CAT,PM2_5,0.0009294655982593961
2017,July,San Luis Obispo (SCC),LDA,Gas,STREX,CAT,SOx,0.0003111353784238943
2017,July,San Luis Obispo (SCC),LDA,Gas,STREX,CAT,TOG,0.2403292718769291
2017,July,San Luis Obispo (SCC),LDA,Gas,STREX,NCAT,CO,0.024326692441893075
2017,July,San Luis Obispo (SCC),LDA,Gas,STREX,NCAT,NOx,0.0011534076248926447
2017,July,San Luis Obispo (SCC),LDA,Gas,STREX,NCAT,PM,5.6883844218705946e-05
2017,July,San Luis Obispo (SCC),LDA,Gas,STREX,NCAT,PM10,5.4357463962735156e-05
2017,July,San Luis Obispo (SCC),LDA,Gas,STREX,NCAT,PM2_5,5.1725895872629157e-05
2017,July,San Luis Obispo (SCC),LDA,Gas,STREX,NCAT,SOx,2.1547691705542313e-06
2017,July,San Luis Obispo (SCC),LDA,Gas,STREX,NCAT,TOG,0.004155819477497003
2017,July,San Luis Obispo (SCC),LDA,Phe,DIURN,CAT,TOG,0.00042136301109399287
