calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,San Mateo (SF),LDA,Dsl,PMBW,DSL,PM,0.0003086788265430627
2017,July,San Mateo (SF),LDA,Dsl,PMBW,DSL,PM10,0.0003086788265430627
2017,July,San Mateo (SF),LDA,Dsl,PMBW,DSL,PM2_5,0.00010803758929007195
2017,July,San Mateo (SF),LDA,Dsl,PMTW,DSL,PM,0.0003634329294485843
2017,July,San Mateo (SF),LDA,Dsl,PMTW,DSL,PM10,0.0003634329294485843
2017,July,San Mateo (SF),LDA,Dsl,PMTW,DSL,PM2_5,9.085823236214607e-05
2017,July,San Mateo (SF),LDA,Dsl,RUNEX,DSL,CO,0.01769983412854943
2017,July,San Mateo (SF),LDA,Dsl,RUNEX,DSL,NH3,0.00014083021979925293
2017,July,San Mateo (SF),LDA,Dsl,RUNEX,DSL,NOx,0.015636414238208194
2017,July,San Mateo (SF),LDA,Dsl,RUNEX,DSL,PM,0.0011344573407900428
2017,July,San Mateo (SF),LDA,Dsl,RUNEX,DSL,PM10,0.001127650596745303
2017,July,San Mateo (SF),LDA,Dsl,RUNEX,DSL,PM2_5,0.001078868931091331
2017,July,San Mateo (SF),LDA,Dsl,RUNEX,DSL,SOx,0.00010600479122597841
2017,July,San Mateo (SF),LDA,Dsl,RUNEX,DSL,TOG,0.0019866664254706975
2017,July,San Mateo (SF),LDA,Elec,PMBW,ELEC,PM,0.0009638432885484507
2017,July,San Mateo (SF),LDA,Elec,PMBW,ELEC,PM10,0.0009638432885484507
2017,July,San Mateo (SF),LDA,Elec,PMBW,ELEC,PM2_5,0.0003373451509919577
2017,July,San Mateo (SF),LDA,Elec,PMTW,ELEC,PM,0.0017688243800947486
2017,July,San Mateo (SF),LDA,Elec,PMTW,ELEC,PM10,0.0017688243800947486
2017,July,San Mateo (SF),LDA,Elec,PMTW,ELEC,PM2_5,0.00044220609502368716
2017,July,San Mateo (SF),LDA,Gas,DIURN,CAT,TOG,0.4764747103334473
2017,July,San Mateo (SF),LDA,Gas,DIURN,NCAT,TOG,0.009989624341292412
2017,July,San Mateo (SF),LDA,Gas,HOTSOAK,CAT,TOG,0.15058487108966095
2017,July,San Mateo (SF),LDA,Gas,HOTSOAK,NCAT,TOG,0.007653312971859668
2017,July,San Mateo (SF),LDA,Gas,PMBW,CAT,PM,0.06860307778389203
2017,July,San Mateo (SF),LDA,Gas,PMBW,CAT,PM10,0.06860307778389203
2017,July,San Mateo (SF),LDA,Gas,PMBW,CAT,PM2_5,0.024011077224362205
2017,July,San Mateo (SF),LDA,Gas,PMBW,NCAT,PM,8.23136856239806e-06
2017,July,San Mateo (SF),LDA,Gas,PMBW,NCAT,PM10,8.23136856239806e-06
2017,July,San Mateo (SF),LDA,Gas,PMBW,NCAT,PM2_5,2.8809789968393204e-06
2017,July,San Mateo (SF),LDA,Gas,PMTW,CAT,PM,0.08099105654601685
2017,July,San Mateo (SF),LDA,Gas,PMTW,CAT,PM10,0.08099105654601685
2017,July,San Mateo (SF),LDA,Gas,PMTW,CAT,PM2_5,0.020247764136504212
2017,July,San Mateo (SF),LDA,Gas,PMTW,NCAT,PM,9.041259223180636e-06
2017,July,San Mateo (SF),LDA,Gas,PMTW,NCAT,PM10,9.041259223180636e-06
2017,July,San Mateo (SF),LDA,Gas,PMTW,NCAT,PM2_5,2.260314805795159e-06
2017,July,San Mateo (SF),LDA,Gas,RUNEX,CAT,CO,10.807602222392376
2017,July,San Mateo (SF),LDA,Gas,RUNEX,CAT,NH3,0.3146848480215551
2017,July,San Mateo (SF),LDA,Gas,RUNEX,CAT,NOx,0.8400443656857499
2017,July,San Mateo (SF),LDA,Gas,RUNEX,CAT,PM,0.017760835942629435
2017,July,San Mateo (SF),LDA,Gas,RUNEX,CAT,PM10,0.015878861094915833
2017,July,San Mateo (SF),LDA,Gas,RUNEX,CAT,PM2_5,0.014600362479311341
2017,July,San Mateo (SF),LDA,Gas,RUNEX,CAT,SOx,0.030102617409492594
2017,July,San Mateo (SF),LDA,Gas,RUNEX,CAT,TOG,0.3047936256270019
2017,July,San Mateo (SF),LDA,Gas,RUNEX,NCAT,CO,0.0732637105986449
2017,July,San Mateo (SF),LDA,Gas,RUNEX,NCAT,NH3,7.511395452141969e-06
2017,July,San Mateo (SF),LDA,Gas,RUNEX,NCAT,NOx,0.005030869161267871
2017,July,San Mateo (SF),LDA,Gas,RUNEX,NCAT,PM,6.746189809239941e-05
2017,July,San Mateo (SF),LDA,Gas,RUNEX,NCAT,PM10,6.415712186167661e-05
2017,July,San Mateo (SF),LDA,Gas,RUNEX,NCAT,PM2_5,6.09072260807851e-05
2017,July,San Mateo (SF),LDA,Gas,RUNEX,NCAT,SOx,6.788755219823785e-06
2017,July,San Mateo (SF),LDA,Gas,RUNEX,NCAT,TOG,0.006109186065981934
2017,July,San Mateo (SF),LDA,Gas,RUNLOSS,CAT,TOG,0.3639526332122486
2017,July,San Mateo (SF),LDA,Gas,RUNLOSS,NCAT,TOG,0.006227934646160672
2017,July,San Mateo (SF),LDA,Gas,STREX,CAT,CO,6.350401427788426
2017,July,San Mateo (SF),LDA,Gas,STREX,CAT,NOx,0.47303905836378257
2017,July,San Mateo (SF),LDA,Gas,STREX,CAT,PM,0.0039276806592235545
2017,July,San Mateo (SF),LDA,Gas,STREX,CAT,PM10,0.0035120395920885806
2017,July,San Mateo (SF),LDA,Gas,STREX,CAT,PM2_5,0.0032295362311438305
2017,July,San Mateo (SF),LDA,Gas,STREX,CAT,SOx,0.0010372899298971964
2017,July,San Mateo (SF),LDA,Gas,STREX,CAT,TOG,0.7435928348933536
2017,July,San Mateo (SF),LDA,Gas,STREX,NCAT,CO,0.0516383056358038
2017,July,San Mateo (SF),LDA,Gas,STREX,NCAT,NOx,0.002447478899435466
2017,July,San Mateo (SF),LDA,Gas,STREX,NCAT,PM,0.00011687877407450965
2017,July,San Mateo (SF),LDA,Gas,STREX,NCAT,PM10,0.000111627419142881
2017,July,San Mateo (SF),LDA,Gas,STREX,NCAT,PM2_5,0.00010619510656425573
2017,July,San Mateo (SF),LDA,Gas,STREX,NCAT,SOx,4.4593285401431354e-06
2017,July,San Mateo (SF),LDA,Gas,STREX,NCAT,TOG,0.009138071212307197
2017,July,San Mateo (SF),LDA,Phe,DIURN,CAT,TOG,0.001925327224261859
2017,July,San Mateo (SF),LDA,Phe,HOTSOAK,CAT,TOG,0.000529461127201957
2017,July,San Mateo (SF),LDA,Phe,PMBW,CAT,PM,0.000574554808081539
2017,July,San Mateo (SF),LDA,Phe,PMBW,CAT,PM10,0.000574554808081539
2017,July,San Mateo (SF),LDA,Phe,PMBW,CAT,PM2_5,0.00020109418282853865
2017,July,San Mateo (SF),LDA,Phe,PMTW,CAT,PM,0.001238405146561759
2017,July,San Mateo (SF),LDA,Phe,PMTW,CAT,PM10,0.001238405146561759
2017,July,San Mateo (SF),LDA,Phe,PMTW,CAT,PM2_5,0.00030960128664043974
2017,July,San Mateo (SF),LDA,Phe,RUNEX,CAT,CO,0.03364770709868542
2017,July,San Mateo (SF),LDA,Phe,RUNEX,CAT,NH3,0.002877517250241079
2017,July,San Mateo (SF),LDA,Phe,RUNEX,CAT,NOx,0.0004963145774770865
2017,July,San Mateo (SF),LDA,Phe,RUNEX,CAT,PM,0.00015786089611228015
2017,July,San Mateo (SF),LDA,Phe,RUNEX,CAT,PM10,0.00014112764112437847
2017,July,San Mateo (SF),LDA,Phe,RUNEX,CAT,PM2_5,0.00012976165660429428
2017,July,San Mateo (SF),LDA,Phe,RUNEX,CAT,SOx,0.00022448543318948538
2017,July,San Mateo (SF),LDA,Phe,RUNEX,CAT,TOG,0.00033738478627028015
2017,July,San Mateo (SF),LDA,Phe,RUNLOSS,CAT,TOG,0.0005058205978267602
2017,July,San Mateo (SF),LDA,Phe,STREX,CAT,CO,0.018580218231883
2017,July,San Mateo (SF),LDA,Phe,STREX,CAT,NOx,0.0016364505980093376
2017,July,San Mateo (SF),LDA,Phe,STREX,CAT,PM,4.3755972525451775e-05
2017,July,San Mateo (SF),LDA,Phe,STREX,CAT,PM10,3.91178394377539e-05
2017,July,San Mateo (SF),LDA,Phe,STREX,CAT,PM2_5,3.596740941592136e-05
2017,July,San Mateo (SF),LDA,Phe,STREX,CAT,SOx,9.789124468529924e-06
2017,July,San Mateo (SF),LDA,Phe,STREX,CAT,TOG,0.002646146907055984
2017,July,San Mateo (SF),LDT1,Dsl,PMBW,DSL,PM,4.3443863538083695e-06
2017,July,San Mateo (SF),LDT1,Dsl,PMBW,DSL,PM10,4.3443863538083695e-06
2017,July,San Mateo (SF),LDT1,Dsl,PMBW,DSL,PM2_5,1.5205352238329295e-06
2017,July,San Mateo (SF),LDT1,Dsl,PMTW,DSL,PM,3.6132300907292594e-06
2017,July,San Mateo (SF),LDT1,Dsl,PMTW,DSL,PM10,3.6132300907292594e-06
2017,July,San Mateo (SF),LDT1,Dsl,PMTW,DSL,PM2_5,9.033075226823149e-07
2017,July,San Mateo (SF),LDT1,Dsl,RUNEX,DSL,CO,0.0007490553895107422
2017,July,San Mateo (SF),LDT1,Dsl,RUNEX,DSL,NH3,1.4001262588800845e-06
2017,July,San Mateo (SF),LDT1,Dsl,RUNEX,DSL,NOx,0.0006984202037868012
2017,July,San Mateo (SF),LDT1,Dsl,RUNEX,DSL,PM,0.00010722866780098703
2017,July,San Mateo (SF),LDT1,Dsl,RUNEX,DSL,PM10,0.00010658529579418114
2017,July,San Mateo (SF),LDT1,Dsl,RUNEX,DSL,PM2_5,0.0001019744630787387
2017,July,San Mateo (SF),LDT1,Dsl,RUNEX,DSL,SOx,1.8566325176276822e-06
2017,July,San Mateo (SF),LDT1,Dsl,RUNEX,DSL,TOG,0.0001570832738023002
2017,July,San Mateo (SF),LDT1,Elec,PMBW,ELEC,PM,8.580027361196751e-06
