calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Santa Barbara (SCC),LDA,Dsl,PMBW,DSL,PM,0.00027831174320395026
2017,July,Santa Barbara (SCC),LDA,Dsl,PMBW,DSL,PM10,0.00027831174320395026
2017,July,Santa Barbara (SCC),LDA,Dsl,PMBW,DSL,PM2_5,9.740911012138258e-05
2017,July,Santa Barbara (SCC),LDA,Dsl,PMTW,DSL,PM,0.0003198366270222127
2017,July,Santa Barbara (SCC),LDA,Dsl,PMTW,DSL,PM10,0.0003198366270222127
2017,July,Santa Barbara (SCC),LDA,Dsl,PMTW,DSL,PM2_5,7.995915675555317e-05
2017,July,Santa Barbara (SCC),LDA,Dsl,RUNEX,DSL,CO,0.015553958711018582
2017,July,Santa Barbara (SCC),LDA,Dsl,RUNEX,DSL,NH3,0.00012393665745074475
2017,July,Santa Barbara (SCC),LDA,Dsl,RUNEX,DSL,NOx,0.015247249478663447
2017,July,Santa Barbara (SCC),LDA,Dsl,RUNEX,DSL,PM,0.0010548481763387604
2017,July,Santa Barbara (SCC),LDA,Dsl,RUNEX,DSL,PM10,0.001048519087280728
2017,July,Santa Barbara (SCC),LDA,Dsl,RUNEX,DSL,PM2_5,0.001003160615698161
2017,July,Santa Barbara (SCC),LDA,Dsl,RUNEX,DSL,SOx,8.865750460253203e-05
2017,July,Santa Barbara (SCC),LDA,Dsl,RUNEX,DSL,TOG,0.0018077469664324088
2017,July,Santa Barbara (SCC),LDA,Elec,PMBW,ELEC,PM,0.00019769962259093027
2017,July,Santa Barbara (SCC),LDA,Elec,PMBW,ELEC,PM10,0.00019769962259093027
2017,July,Santa Barbara (SCC),LDA,Elec,PMBW,ELEC,PM2_5,6.919486790682558e-05
2017,July,Santa Barbara (SCC),LDA,Elec,PMTW,ELEC,PM,0.00036277687792911014
2017,July,Santa Barbara (SCC),LDA,Elec,PMTW,ELEC,PM10,0.00036277687792911014
2017,July,Santa Barbara (SCC),LDA,Elec,PMTW,ELEC,PM2_5,9.069421948227754e-05
2017,July,Santa Barbara (SCC),LDA,Gas,DIURN,CAT,TOG,0.34140064101297896
2017,July,Santa Barbara (SCC),LDA,Gas,DIURN,NCAT,TOG,0.0077728918711606875
2017,July,Santa Barbara (SCC),LDA,Gas,HOTSOAK,CAT,TOG,0.10860147699808248
2017,July,Santa Barbara (SCC),LDA,Gas,HOTSOAK,NCAT,TOG,0.0059910123532084655
2017,July,Santa Barbara (SCC),LDA,Gas,PMBW,CAT,PM,0.03707146756768668
2017,July,Santa Barbara (SCC),LDA,Gas,PMBW,CAT,PM10,0.03707146756768668
2017,July,Santa Barbara (SCC),LDA,Gas,PMBW,CAT,PM2_5,0.012975013648690336
2017,July,Santa Barbara (SCC),LDA,Gas,PMBW,NCAT,PM,1.878265722588579e-05
2017,July,Santa Barbara (SCC),LDA,Gas,PMBW,NCAT,PM10,1.878265722588579e-05
2017,July,Santa Barbara (SCC),LDA,Gas,PMBW,NCAT,PM2_5,6.573930029060024e-06
2017,July,Santa Barbara (SCC),LDA,Gas,PMTW,CAT,PM,0.04218157897071166
