calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Santa Cruz (NCC),LDA,Dsl,PMBW,DSL,PM,0.0002152254043104736
2017,July,Santa Cruz (NCC),LDA,Dsl,PMBW,DSL,PM10,0.0002152254043104736
2017,July,Santa Cruz (NCC),LDA,Dsl,PMBW,DSL,PM2_5,7.532889150866571e-05
2017,July,Santa Cruz (NCC),LDA,Dsl,PMTW,DSL,PM,0.00018165620446697393
2017,July,Santa Cruz (NCC),LDA,Dsl,PMTW,DSL,PM10,0.00018165620446697393
2017,July,Santa Cruz (NCC),LDA,Dsl,PMTW,DSL,PM2_5,4.5414051116743484e-05
2017,July,Santa Cruz (NCC),LDA,Dsl,RUNEX,DSL,CO,0.013234302623175544
2017,July,Santa Cruz (NCC),LDA,Dsl,RUNEX,DSL,NH3,7.039175905660803e-05
2017,July,Santa Cruz (NCC),LDA,Dsl,RUNEX,DSL,NOx,0.0132321817067309
2017,July,Santa Cruz (NCC),LDA,Dsl,RUNEX,DSL,PM,0.0010539281850052609
2017,July,Santa Cruz (NCC),LDA,Dsl,RUNEX,DSL,PM10,0.00104760461589523
2017,July,Santa Cruz (NCC),LDA,Dsl,RUNEX,DSL,PM2_5,0.0010022857039400038
2017,July,Santa Cruz (NCC),LDA,Dsl,RUNEX,DSL,SOx,5.686148676759909e-05
2017,July,Santa Cruz (NCC),LDA,Dsl,RUNEX,DSL,TOG,0.0017784325831396164
2017,July,Santa Cruz (NCC),LDA,Elec,PMBW,ELEC,PM,0.00012336569310294592
2017,July,Santa Cruz (NCC),LDA,Elec,PMBW,ELEC,PM10,0.00012336569310294592
2017,July,Santa Cruz (NCC),LDA,Elec,PMBW,ELEC,PM2_5,4.317799258603107e-05
2017,July,Santa Cruz (NCC),LDA,Elec,PMTW,ELEC,PM,0.00022628164287699358
2017,July,Santa Cruz (NCC),LDA,Elec,PMTW,ELEC,PM10,0.00022628164287699358
2017,July,Santa Cruz (NCC),LDA,Elec,PMTW,ELEC,PM2_5,5.6570410719248395e-05
