calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Shasta (SV),LDA,Dsl,PMBW,DSL,PM,8.007016185700914e-05
2017,July,Shasta (SV),LDA,Dsl,PMBW,DSL,PM10,8.007016185700914e-05
2017,July,Shasta (SV),LDA,Dsl,PMBW,DSL,PM2_5,2.8024556649953204e-05
2017,July,Shasta (SV),LDA,Dsl,PMTW,DSL,PM,9.481038322422602e-05
2017,July,Shasta (SV),LDA,Dsl,PMTW,DSL,PM10,9.481038322422602e-05
2017,July,Shasta (SV),LDA,Dsl,PMTW,DSL,PM2_5,2.3702595806056504e-05
2017,July,Shasta (SV),LDA,Dsl,RUNEX,DSL,CO,0.006681355756781151
2017,July,Shasta (SV),LDA,Dsl,RUNEX,DSL,NH3,3.6739012969951897e-05
2017,July,Shasta (SV),LDA,Dsl,RUNEX,DSL,NOx,0.007758688810585593
2017,July,Shasta (SV),LDA,Dsl,RUNEX,DSL,PM,0.00045701581892590285
2017,July,Shasta (SV),LDA,Dsl,RUNEX,DSL,PM10,0.00045427372401234725
2017,July,Shasta (SV),LDA,Dsl,RUNEX,DSL,PM2_5,0.0004346220437985337
2017,July,Shasta (SV),LDA,Dsl,RUNEX,DSL,SOx,2.8284674033927765e-05
2017,July,Shasta (SV),LDA,Dsl,RUNEX,DSL,TOG,0.0007770258338411384
2017,July,Shasta (SV),LDA,Elec,PMBW,ELEC,PM,5.42839025013637e-05
2017,July,Shasta (SV),LDA,Elec,PMBW,ELEC,PM10,5.42839025013637e-05
2017,July,Shasta (SV),LDA,Elec,PMBW,ELEC,PM2_5,1.8999365875477293e-05
2017,July,Shasta (SV),LDA,Elec,PMTW,ELEC,PM,9.95948676040914e-05
2017,July,Shasta (SV),LDA,Elec,PMTW,ELEC,PM10,9.95948676040914e-05
2017,July,Shasta (SV),LDA,Elec,PMTW,ELEC,PM2_5,2.489871690102285e-05
2017,July,Shasta (SV),LDA,Gas,DIURN,CAT,TOG,0.20805234737963463
2017,July,Shasta (SV),LDA,Gas,DIURN,NCAT,TOG,0.005906319176525669
2017,July,Shasta (SV),LDA,Gas,HOTSOAK,CAT,TOG,0.04593271681343365
2017,July,Shasta (SV),LDA,Gas,HOTSOAK,NCAT,TOG,0.0028605422072865384
2017,July,Shasta (SV),LDA,Gas,PMBW,CAT,PM,0.0151870103641324
2017,July,Shasta (SV),LDA,Gas,PMBW,CAT,PM10,0.0151870103641324
2017,July,Shasta (SV),LDA,Gas,PMBW,CAT,PM2_5,0.00531545362744634
2017,July,Shasta (SV),LDA,Gas,PMBW,NCAT,PM,8.222885838915942e-06
2017,July,Shasta (SV),LDA,Gas,PMBW,NCAT,PM10,8.222885838915942e-06
2017,July,Shasta (SV),LDA,Gas,PMBW,NCAT,PM2_5,2.8780100436205795e-06
2017,July,Shasta (SV),LDA,Gas,PMTW,CAT,PM,0.01804886822962279
2017,July,Shasta (SV),LDA,Gas,PMTW,CAT,PM10,0.01804886822962279
2017,July,Shasta (SV),LDA,Gas,PMTW,CAT,PM2_5,0.004512217057405697
