calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Sierra (MC),LDA,Dsl,PMBW,DSL,PM,1.0391364975118307e-05
2017,July,Sierra (MC),LDA,Dsl,PMBW,DSL,PM10,1.0391364975118307e-05
2017,July,Sierra (MC),LDA,Dsl,PMBW,DSL,PM2_5,3.636977741291408e-06
2017,July,Sierra (MC),LDA,Dsl,PMTW,DSL,PM,8.890184340718447e-06
2017,July,Sierra (MC),LDA,Dsl,PMTW,DSL,PM10,8.890184340718447e-06
2017,July,Sierra (MC),LDA,Dsl,PMTW,DSL,PM2_5,2.2225460851796117e-06
2017,July,Sierra (MC),LDA,Dsl,RUNEX,DSL,CO,0.0007120627166086303
2017,July,Sierra (MC),LDA,Dsl,RUNEX,DSL,NH3,3.444945444703792e-06
2017,July,Sierra (MC),LDA,Dsl,RUNEX,DSL,NOx,0.0004893014318299093
2017,July,Sierra (MC),LDA,Dsl,RUNEX,DSL,PM,4.174694592030906e-05
2017,July,Sierra (MC),LDA,Dsl,RUNEX,DSL,PM10,4.14964642447872e-05
2017,July,Sierra (MC),LDA,Dsl,RUNEX,DSL,PM2_5,3.9701345570213936e-05
2017,July,Sierra (MC),LDA,Dsl,RUNEX,DSL,SOx,2.9529089140427676e-06
2017,July,Sierra (MC),LDA,Dsl,RUNEX,DSL,TOG,8.406335571143855e-05
2017,July,Sierra (MC),LDA,Elec,PMBW,ELEC,PM,7.327771036677517e-06
2017,July,Sierra (MC),LDA,Elec,PMBW,ELEC,PM10,7.327771036677517e-06
2017,July,Sierra (MC),LDA,Elec,PMBW,ELEC,PM2_5,2.564719862837131e-06
2017,July,Sierra (MC),LDA,Elec,PMTW,ELEC,PM,1.3448250104478529e-05
2017,July,Sierra (MC),LDA,Elec,PMTW,ELEC,PM10,1.3448250104478529e-05
2017,July,Sierra (MC),LDA,Elec,PMTW,ELEC,PM2_5,3.362062526119632e-06
2017,July,Sierra (MC),LDA,Gas,DIURN,CAT,TOG,0.012145380127773647
2017,July,Sierra (MC),LDA,Gas,DIURN,NCAT,TOG,0.0002443268626266611
2017,July,Sierra (MC),LDA,Gas,HOTSOAK,CAT,TOG,0.0033248052759600293
2017,July,Sierra (MC),LDA,Gas,HOTSOAK,NCAT,TOG,0.00015690293393087022
2017,July,Sierra (MC),LDA,Gas,PMBW,CAT,PM,0.0017010333586244724
2017,July,Sierra (MC),LDA,Gas,PMBW,CAT,PM10,0.0017010333586244724
2017,July,Sierra (MC),LDA,Gas,PMBW,CAT,PM2_5,0.0005953616755185652
2017,July,Sierra (MC),LDA,Gas,PMBW,NCAT,PM,7.785728496254681e-07
2017,July,Sierra (MC),LDA,Gas,PMBW,NCAT,PM10,7.785728496254681e-07
2017,July,Sierra (MC),LDA,Gas,PMBW,NCAT,PM2_5,2.725004973689138e-07
2017,July,Sierra (MC),LDA,Gas,PMTW,CAT,PM,0.0014524105450003262
2017,July,Sierra (MC),LDA,Gas,PMTW,CAT,PM10,0.0014524105450003262
2017,July,Sierra (MC),LDA,Gas,PMTW,CAT,PM2_5,0.00036310263625008156
2017,July,Sierra (MC),LDA,Gas,PMTW,NCAT,PM,6.239068231155095e-07
2017,July,Sierra (MC),LDA,Gas,PMTW,NCAT,PM10,6.239068231155095e-07
2017,July,Sierra (MC),LDA,Gas,PMTW,NCAT,PM2_5,1.5597670577887738e-07
2017,July,Sierra (MC),LDA,Gas,RUNEX,CAT,CO,0.3408737891022078
2017,July,Sierra (MC),LDA,Gas,RUNEX,CAT,NH3,0.005383094403952318
2017,July,Sierra (MC),LDA,Gas,RUNEX,CAT,NOx,0.02168197361105353
2017,July,Sierra (MC),LDA,Gas,RUNEX,CAT,PM,0.0004859814091500428
2017,July,Sierra (MC),LDA,Gas,RUNEX,CAT,PM10,0.0004345143736689198
2017,July,Sierra (MC),LDA,Gas,RUNEX,CAT,PM2_5,0.00039954335144721945
2017,July,Sierra (MC),LDA,Gas,RUNEX,CAT,SOx,0.0006371014095093247
2017,July,Sierra (MC),LDA,Gas,RUNEX,CAT,TOG,0.01102000610806928
2017,July,Sierra (MC),LDA,Gas,RUNEX,NCAT,CO,0.005620023430782442
2017,July,Sierra (MC),LDA,Gas,RUNEX,NCAT,NH3,4.943856242990384e-07
2017,July,Sierra (MC),LDA,Gas,RUNEX,NCAT,NOx,0.0003184842583537997
2017,July,Sierra (MC),LDA,Gas,RUNEX,NCAT,PM,5.7159044789941746e-06
2017,July,Sierra (MC),LDA,Gas,RUNEX,NCAT,PM10,5.445990315531829e-06
2017,July,Sierra (MC),LDA,Gas,RUNEX,NCAT,PM2_5,5.174851281353343e-06
2017,July,Sierra (MC),LDA,Gas,RUNEX,NCAT,SOx,5.296542176801995e-07
2017,July,Sierra (MC),LDA,Gas,RUNEX,NCAT,TOG,0.0005063329569391467
2017,July,Sierra (MC),LDA,Gas,RUNLOSS,CAT,TOG,0.00823816574812967
2017,July,Sierra (MC),LDA,Gas,RUNLOSS,NCAT,TOG,0.00013151194565910333
2017,July,Sierra (MC),LDA,Gas,STREX,CAT,CO,0.11747721966272702
2017,July,Sierra (MC),LDA,Gas,STREX,CAT,NOx,0.008801581378721135
2017,July,Sierra (MC),LDA,Gas,STREX,CAT,PM,7.137969990035041e-05
2017,July,Sierra (MC),LDA,Gas,STREX,CAT,PM10,6.383228278819704e-05
2017,July,Sierra (MC),LDA,Gas,STREX,CAT,PM2_5,5.8700814099311276e-05
2017,July,Sierra (MC),LDA,Gas,STREX,CAT,SOx,1.8436009553718047e-05
2017,July,Sierra (MC),LDA,Gas,STREX,CAT,TOG,0.014337182896195056
2017,July,Sierra (MC),LDA,Gas,STREX,NCAT,CO,0.001033036250416611
2017,July,Sierra (MC),LDA,Gas,STREX,NCAT,NOx,4.697275888152929e-05
2017,July,Sierra (MC),LDA,Gas,STREX,NCAT,PM,2.39874448821034e-06
2017,July,Sierra (MC),LDA,Gas,STREX,NCAT,PM10,2.2863623758863863e-06
2017,July,Sierra (MC),LDA,Gas,STREX,NCAT,PM2_5,2.172947914465653e-06
