calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Siskiyou (NEP),LDA,Dsl,PMBW,DSL,PM,9.786472136748788e-05
2017,July,Siskiyou (NEP),LDA,Dsl,PMBW,DSL,PM10,9.786472136748788e-05
2017,July,Siskiyou (NEP),LDA,Dsl,PMBW,DSL,PM2_5,3.4252652478620765e-05
2017,July,Siskiyou (NEP),LDA,Dsl,PMTW,DSL,PM,9.722566211755045e-05
2017,July,Siskiyou (NEP),LDA,Dsl,PMTW,DSL,PM10,9.722566211755045e-05
2017,July,Siskiyou (NEP),LDA,Dsl,PMTW,DSL,PM2_5,2.4306415529387612e-05
2017,July,Siskiyou (NEP),LDA,Dsl,RUNEX,DSL,CO,0.008846596893472307
2017,July,Siskiyou (NEP),LDA,Dsl,RUNEX,DSL,NH3,3.7674933272879475e-05
2017,July,Siskiyou (NEP),LDA,Dsl,RUNEX,DSL,NOx,0.008570422397812676
2017,July,Siskiyou (NEP),LDA,Dsl,RUNEX,DSL,PM,0.0005477246054238127
2017,July,Siskiyou (NEP),LDA,Dsl,RUNEX,DSL,PM10,0.0005444382577912701
2017,July,Siskiyou (NEP),LDA,Dsl,RUNEX,DSL,PM2_5,0.0005208860997580461
2017,July,Siskiyou (NEP),LDA,Dsl,RUNEX,DSL,SOx,3.2527159304434114e-05
2017,July,Siskiyou (NEP),LDA,Dsl,RUNEX,DSL,TOG,0.001025044530874642
2017,July,Siskiyou (NEP),LDA,Elec,PMBW,ELEC,PM,5.379050902852476e-05
2017,July,Siskiyou (NEP),LDA,Elec,PMBW,ELEC,PM10,5.379050902852476e-05
2017,July,Siskiyou (NEP),LDA,Elec,PMBW,ELEC,PM2_5,1.882667815998367e-05
2017,July,Siskiyou (NEP),LDA,Elec,PMTW,ELEC,PM,9.87165621282107e-05
2017,July,Siskiyou (NEP),LDA,Elec,PMTW,ELEC,PM10,9.87165621282107e-05
2017,July,Siskiyou (NEP),LDA,Elec,PMTW,ELEC,PM2_5,2.4679140532052675e-05
2017,July,Siskiyou (NEP),LDA,Gas,DIURN,CAT,TOG,0.12017541215266106
2017,July,Siskiyou (NEP),LDA,Gas,DIURN,NCAT,TOG,0.0028089093154389407
2017,July,Siskiyou (NEP),LDA,Gas,HOTSOAK,CAT,TOG,0.03123636617337551
2017,July,Siskiyou (NEP),LDA,Gas,HOTSOAK,NCAT,TOG,0.0017023543089527875
2017,July,Siskiyou (NEP),LDA,Gas,PMBW,CAT,PM,0.012025446221750936
2017,July,Siskiyou (NEP),LDA,Gas,PMBW,CAT,PM10,0.012025446221750936
2017,July,Siskiyou (NEP),LDA,Gas,PMBW,CAT,PM2_5,0.004208906177612829
2017,July,Siskiyou (NEP),LDA,Gas,PMBW,NCAT,PM,6.232019908397994e-06
2017,July,Siskiyou (NEP),LDA,Gas,PMBW,NCAT,PM10,6.232019908397994e-06
2017,July,Siskiyou (NEP),LDA,Gas,PMBW,NCAT,PM2_5,2.1812069679392976e-06
