calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Solano (SF),LDA,Dsl,PMBW,DSL,PM,9.569378477212332e-05
2017,July,Solano (SF),LDA,Dsl,PMBW,DSL,PM10,9.569378477212332e-05
2017,July,Solano (SF),LDA,Dsl,PMBW,DSL,PM2_5,3.3492824670243156e-05
2017,July,Solano (SF),LDA,Dsl,PMTW,DSL,PM,0.00014429687919570344
2017,July,Solano (SF),LDA,Dsl,PMTW,DSL,PM10,0.00014429687919570344
2017,July,Solano (SF),LDA,Dsl,PMTW,DSL,PM2_5,3.607421979892586e-05
2017,July,Solano (SF),LDA,Dsl,RUNEX,DSL,CO,0.009208233104718622
2017,July,Solano (SF),LDA,Dsl,RUNEX,DSL,NH3,5.59150246630364e-05
2017,July,Solano (SF),LDA,Dsl,RUNEX,DSL,NOx,0.008520357219812575
2017,July,Solano (SF),LDA,Dsl,RUNEX,DSL,PM,0.0006482747195396027
2017,July,Solano (SF),LDA,Dsl,RUNEX,DSL,PM10,0.0006443850712223654
2017,July,Solano (SF),LDA,Dsl,RUNEX,DSL,PM2_5,0.0006165092582821628
2017,July,Solano (SF),LDA,Dsl,RUNEX,DSL,SOx,4.388923460522008e-05
2017,July,Solano (SF),LDA,Dsl,RUNEX,DSL,TOG,0.0010795574298906434
2017,July,Solano (SF),LDA,Elec,PMBW,ELEC,PM,0.00010077568499765137
2017,July,Solano (SF),LDA,Elec,PMBW,ELEC,PM10,0.00010077568499765137
2017,July,Solano (SF),LDA,Elec,PMBW,ELEC,PM2_5,3.5271489749177974e-05
2017,July,Solano (SF),LDA,Elec,PMTW,ELEC,PM,0.00018486291771277176
2017,July,Solano (SF),LDA,Elec,PMTW,ELEC,PM10,0.00018486291771277176
2017,July,Solano (SF),LDA,Elec,PMTW,ELEC,PM2_5,4.621572942819294e-05
2017,July,Solano (SF),LDA,Gas,DIURN,CAT,TOG,0.27480089854574136
2017,July,Solano (SF),LDA,Gas,DIURN,NCAT,TOG,0.006675905731896936
2017,July,Solano (SF),LDA,Gas,HOTSOAK,CAT,TOG,0.07852452466454873
2017,July,Solano (SF),LDA,Gas,HOTSOAK,NCAT,TOG,0.004489405054661266
2017,July,Solano (SF),LDA,Gas,PMBW,CAT,PM,0.02561979338056186
2017,July,Solano (SF),LDA,Gas,PMBW,CAT,PM10,0.02561979338056186
2017,July,Solano (SF),LDA,Gas,PMBW,CAT,PM2_5,0.008966927683196652
2017,July,Solano (SF),LDA,Gas,PMBW,NCAT,PM,1.432208893607134e-05
2017,July,Solano (SF),LDA,Gas,PMBW,NCAT,PM10,1.432208893607134e-05
2017,July,Solano (SF),LDA,Gas,PMBW,NCAT,PM2_5,5.012731127624969e-06
2017,July,Solano (SF),LDA,Gas,PMTW,CAT,PM,0.038557150783970144
2017,July,Solano (SF),LDA,Gas,PMTW,CAT,PM10,0.038557150783970144
2017,July,Solano (SF),LDA,Gas,PMTW,CAT,PM2_5,0.009639287695992536
2017,July,Solano (SF),LDA,Gas,PMTW,NCAT,PM,2.023618248378917e-05
2017,July,Solano (SF),LDA,Gas,PMTW,NCAT,PM10,2.023618248378917e-05
2017,July,Solano (SF),LDA,Gas,PMTW,NCAT,PM2_5,5.059045620947293e-06
2017,July,Solano (SF),LDA,Gas,RUNEX,CAT,CO,6.551624907525322
2017,July,Solano (SF),LDA,Gas,RUNEX,CAT,NH3,0.1382259482738771
2017,July,Solano (SF),LDA,Gas,RUNEX,CAT,NOx,0.46212283499997625
2017,July,Solano (SF),LDA,Gas,RUNEX,CAT,PM,0.007770032855134009
2017,July,Solano (SF),LDA,Gas,RUNEX,CAT,PM10,0.0069472845032075405
2017,July,Solano (SF),LDA,Gas,RUNEX,CAT,PM2_5,0.006388207863907991
