calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Solano (SV),LDA,Dsl,PMBW,DSL,PM,6.383349656227471e-05
2017,July,Solano (SV),LDA,Dsl,PMBW,DSL,PM10,6.383349656227471e-05
2017,July,Solano (SV),LDA,Dsl,PMBW,DSL,PM2_5,2.2341723796796148e-05
2017,July,Solano (SV),LDA,Dsl,PMTW,DSL,PM,9.660043307152291e-05
2017,July,Solano (SV),LDA,Dsl,PMTW,DSL,PM10,9.660043307152291e-05
2017,July,Solano (SV),LDA,Dsl,PMTW,DSL,PM2_5,2.415010826788073e-05
2017,July,Solano (SV),LDA,Dsl,RUNEX,DSL,CO,0.005196654414035122
2017,July,Solano (SV),LDA,Dsl,RUNEX,DSL,NH3,3.74326570869804e-05
2017,July,Solano (SV),LDA,Dsl,RUNEX,DSL,NOx,0.005173009246915841
2017,July,Solano (SV),LDA,Dsl,RUNEX,DSL,PM,0.00031649652019426455
2017,July,Solano (SV),LDA,Dsl,RUNEX,DSL,PM10,0.00031459754107309904
2017,July,Solano (SV),LDA,Dsl,RUNEX,DSL,PM2_5,0.0003009881907047457
2017,July,Solano (SV),LDA,Dsl,RUNEX,DSL,SOx,2.8875643082644086e-05
2017,July,Solano (SV),LDA,Dsl,RUNEX,DSL,TOG,0.0005369570297000401
2017,July,Solano (SV),LDA,Elec,PMBW,ELEC,PM,6.725251425696584e-05
2017,July,Solano (SV),LDA,Elec,PMBW,ELEC,PM10,6.725251425696584e-05
2017,July,Solano (SV),LDA,Elec,PMBW,ELEC,PM2_5,2.3538379989938038e-05
2017,July,Solano (SV),LDA,Elec,PMTW,ELEC,PM,0.00012340071703495115
2017,July,Solano (SV),LDA,Elec,PMTW,ELEC,PM10,0.00012340071703495115
2017,July,Solano (SV),LDA,Elec,PMTW,ELEC,PM2_5,3.085017925873779e-05
2017,July,Solano (SV),LDA,Gas,DIURN,CAT,TOG,0.1454351400263482
2017,July,Solano (SV),LDA,Gas,DIURN,NCAT,TOG,0.0036920319233079476
2017,July,Solano (SV),LDA,Gas,HOTSOAK,CAT,TOG,0.038154712562875844
2017,July,Solano (SV),LDA,Gas,HOTSOAK,NCAT,TOG,0.002214798613710056
2017,July,Solano (SV),LDA,Gas,PMBW,CAT,PM,0.012921600693654979
2017,July,Solano (SV),LDA,Gas,PMBW,CAT,PM10,0.012921600693654979
2017,July,Solano (SV),LDA,Gas,PMBW,CAT,PM2_5,0.004522560242779242
2017,July,Solano (SV),LDA,Gas,PMBW,NCAT,PM,4.928906165961103e-06
2017,July,Solano (SV),LDA,Gas,PMBW,NCAT,PM10,4.928906165961103e-06
2017,July,Solano (SV),LDA,Gas,PMBW,NCAT,PM2_5,1.7251171580863855e-06
2017,July,Solano (SV),LDA,Gas,PMTW,CAT,PM,0.019479014524971444
2017,July,Solano (SV),LDA,Gas,PMTW,CAT,PM10,0.019479014524971444
2017,July,Solano (SV),LDA,Gas,PMTW,CAT,PM2_5,0.004869753631242861
2017,July,Solano (SV),LDA,Gas,PMTW,NCAT,PM,6.964224636858216e-06
2017,July,Solano (SV),LDA,Gas,PMTW,NCAT,PM10,6.964224636858216e-06
2017,July,Solano (SV),LDA,Gas,PMTW,NCAT,PM2_5,1.741056159214554e-06
2017,July,Solano (SV),LDA,Gas,RUNEX,CAT,CO,3.488802327728056
2017,July,Solano (SV),LDA,Gas,RUNEX,CAT,NH3,0.06887808094285397
2017,July,Solano (SV),LDA,Gas,RUNEX,CAT,NOx,0.2080851978772995
2017,July,Solano (SV),LDA,Gas,RUNEX,CAT,PM,0.0037345831319737744
2017,July,Solano (SV),LDA,Gas,RUNEX,CAT,PM10,0.0033390023525632713
2017,July,Solano (SV),LDA,Gas,RUNEX,CAT,PM2_5,0.0030702314851537567
2017,July,Solano (SV),LDA,Gas,RUNEX,CAT,SOx,0.008025810852552866
2017,July,Solano (SV),LDA,Gas,RUNEX,CAT,TOG,0.07936279781263417
2017,July,Solano (SV),LDA,Gas,RUNEX,NCAT,CO,0.08640398319849456
2017,July,Solano (SV),LDA,Gas,RUNEX,NCAT,NH3,5.12826507562793e-06
2017,July,Solano (SV),LDA,Gas,RUNEX,NCAT,NOx,0.003936132906448801
2017,July,Solano (SV),LDA,Gas,RUNEX,NCAT,PM,5.2916719354344077e-05
2017,July,Solano (SV),LDA,Gas,RUNEX,NCAT,PM10,5.056793472080849e-05
2017,July,Solano (SV),LDA,Gas,RUNEX,NCAT,PM2_5,4.812048097661955e-05
2017,July,Solano (SV),LDA,Gas,RUNEX,NCAT,SOx,5.916168864240974e-06
2017,July,Solano (SV),LDA,Gas,RUNEX,NCAT,TOG,0.004785808039644495
2017,July,Solano (SV),LDA,Gas,RUNLOSS,CAT,TOG,0.0901437402882663
2017,July,Solano (SV),LDA,Gas,RUNLOSS,NCAT,TOG,0.00183859080834883
2017,July,Solano (SV),LDA,Gas,STREX,CAT,CO,1.2642755398092245
2017,July,Solano (SV),LDA,Gas,STREX,CAT,NOx,0.10272394229474573
2017,July,Solano (SV),LDA,Gas,STREX,CAT,PM,0.0008131194409851121
2017,July,Solano (SV),LDA,Gas,STREX,CAT,PM10,0.0007270967408829459
2017,July,Solano (SV),LDA,Gas,STREX,CAT,PM2_5,0.000668622333639229
2017,July,Solano (SV),LDA,Gas,STREX,CAT,SOx,0.00023415479394255602
2017,July,Solano (SV),LDA,Gas,STREX,CAT,TOG,0.15380931162339045
2017,July,Solano (SV),LDA,Gas,STREX,NCAT,CO,0.014331267261863736
2017,July,Solano (SV),LDA,Gas,STREX,NCAT,NOx,0.000633341772506895
2017,July,Solano (SV),LDA,Gas,STREX,NCAT,PM,3.2398358042123365e-05
2017,July,Solano (SV),LDA,Gas,STREX,NCAT,PM10,3.09668614362249e-05
2017,July,Solano (SV),LDA,Gas,STREX,NCAT,PM2_5,2.9471141175160158e-05
2017,July,Solano (SV),LDA,Gas,STREX,NCAT,SOx,1.231826049090812e-06
2017,July,Solano (SV),LDA,Gas,STREX,NCAT,TOG,0.002223728285009049
2017,July,Solano (SV),LDA,Phe,DIURN,CAT,TOG,0.0004532717758104158
2017,July,Solano (SV),LDA,Phe,HOTSOAK,CAT,TOG,0.00010139275382549785
2017,July,Solano (SV),LDA,Phe,PMBW,CAT,PM,9.32675720499585e-05
