calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Sonoma (SF),LDA,Dsl,PMBW,DSL,PM,0.00028575451879017937
2017,July,Sonoma (SF),LDA,Dsl,PMBW,DSL,PM10,0.00028575451879017937
2017,July,Sonoma (SF),LDA,Dsl,PMBW,DSL,PM2_5,0.00010001408157656276
2017,July,Sonoma (SF),LDA,Dsl,PMTW,DSL,PM,0.00025652171977755647
2017,July,Sonoma (SF),LDA,Dsl,PMTW,DSL,PM10,0.00025652171977755647
2017,July,Sonoma (SF),LDA,Dsl,PMTW,DSL,PM2_5,6.413042994438912e-05
2017,July,Sonoma (SF),LDA,Dsl,RUNEX,DSL,CO,0.016991410235577528
2017,July,Sonoma (SF),LDA,Dsl,RUNEX,DSL,NH3,9.940213792505688e-05
2017,July,Sonoma (SF),LDA,Dsl,RUNEX,DSL,NOx,0.01823934668138551
2017,July,Sonoma (SF),LDA,Dsl,RUNEX,DSL,PM,0.001193119206338868
2017,July,Sonoma (SF),LDA,Dsl,RUNEX,DSL,PM10,0.0011859604911008354
2017,July,Sonoma (SF),LDA,Dsl,RUNEX,DSL,PM2_5,0.0011346563652282638
2017,July,Sonoma (SF),LDA,Dsl,RUNEX,DSL,SOx,7.710229886236428e-05
2017,July,Sonoma (SF),LDA,Dsl,RUNEX,DSL,TOG,0.002051984820603354
2017,July,Sonoma (SF),LDA,Elec,PMBW,ELEC,PM,0.000288617679622201
2017,July,Sonoma (SF),LDA,Elec,PMBW,ELEC,PM10,0.000288617679622201
2017,July,Sonoma (SF),LDA,Elec,PMBW,ELEC,PM2_5,0.00010101618786777035
2017,July,Sonoma (SF),LDA,Elec,PMTW,ELEC,PM,0.0005295410434815781
2017,July,Sonoma (SF),LDA,Elec,PMTW,ELEC,PM10,0.0005295410434815781
2017,July,Sonoma (SF),LDA,Elec,PMTW,ELEC,PM2_5,0.00013238526087039451
2017,July,Sonoma (SF),LDA,Gas,DIURN,CAT,TOG,0.27680735614383767
2017,July,Sonoma (SF),LDA,Gas,DIURN,NCAT,TOG,0.006963977538541225
2017,July,Sonoma (SF),LDA,Gas,HOTSOAK,CAT,TOG,0.08202608367259322
2017,July,Sonoma (SF),LDA,Gas,HOTSOAK,NCAT,TOG,0.00500080053024953
2017,July,Sonoma (SF),LDA,Gas,PMBW,CAT,PM,0.03830428678318868
2017,July,Sonoma (SF),LDA,Gas,PMBW,CAT,PM10,0.03830428678318868
2017,July,Sonoma (SF),LDA,Gas,PMBW,CAT,PM2_5,0.013406500374116035
2017,July,Sonoma (SF),LDA,Gas,PMBW,NCAT,PM,1.5101290647827647e-05
2017,July,Sonoma (SF),LDA,Gas,PMBW,NCAT,PM10,1.5101290647827647e-05
2017,July,Sonoma (SF),LDA,Gas,PMBW,NCAT,PM2_5,5.285451726739676e-06
2017,July,Sonoma (SF),LDA,Gas,PMTW,CAT,PM,0.03442180872607579
2017,July,Sonoma (SF),LDA,Gas,PMTW,CAT,PM10,0.03442180872607579
2017,July,Sonoma (SF),LDA,Gas,PMTW,CAT,PM2_5,0.008605452181518947
2017,July,Sonoma (SF),LDA,Gas,PMTW,NCAT,PM,1.2771756134020816e-05
2017,July,Sonoma (SF),LDA,Gas,PMTW,NCAT,PM10,1.2771756134020816e-05
2017,July,Sonoma (SF),LDA,Gas,PMTW,NCAT,PM2_5,3.192939033505204e-06
2017,July,Sonoma (SF),LDA,Gas,RUNEX,CAT,CO,6.945281489605462
2017,July,Sonoma (SF),LDA,Gas,RUNEX,CAT,NH3,0.12595523711515555
2017,July,Sonoma (SF),LDA,Gas,RUNEX,CAT,NOx,0.4836887196441036
2017,July,Sonoma (SF),LDA,Gas,RUNEX,CAT,PM,0.007665021800082561
2017,July,Sonoma (SF),LDA,Gas,RUNEX,CAT,PM10,0.0068530917458305965
2017,July,Sonoma (SF),LDA,Gas,RUNEX,CAT,PM2_5,0.006301445149114059
2017,July,Sonoma (SF),LDA,Gas,RUNEX,CAT,SOx,0.01335677303544413
2017,July,Sonoma (SF),LDA,Gas,RUNEX,CAT,TOG,0.18440453660764816
2017,July,Sonoma (SF),LDA,Gas,RUNEX,NCAT,CO,0.10915267845213332
2017,July,Sonoma (SF),LDA,Gas,RUNEX,NCAT,NH3,9.541511623220986e-06
2017,July,Sonoma (SF),LDA,Gas,RUNEX,NCAT,NOx,0.006833822303787479
2017,July,Sonoma (SF),LDA,Gas,RUNEX,NCAT,PM,9.501406592390052e-05
2017,July,Sonoma (SF),LDA,Gas,RUNEX,NCAT,PM10,9.074626079607857e-05
2017,July,Sonoma (SF),LDA,Gas,RUNEX,NCAT,PM2_5,8.633066900602223e-05
2017,July,Sonoma (SF),LDA,Gas,RUNEX,NCAT,SOx,9.643503989226877e-06
2017,July,Sonoma (SF),LDA,Gas,RUNEX,NCAT,TOG,0.008676150252322365
2017,July,Sonoma (SF),LDA,Gas,RUNLOSS,CAT,TOG,0.20259172575441428
2017,July,Sonoma (SF),LDA,Gas,RUNLOSS,NCAT,TOG,0.004072582981732961
2017,July,Sonoma (SF),LDA,Gas,STREX,CAT,CO,3.0446405466178335
2017,July,Sonoma (SF),LDA,Gas,STREX,CAT,NOx,0.23190459480387943
2017,July,Sonoma (SF),LDA,Gas,STREX,CAT,PM,0.0017208177041636886
2017,July,Sonoma (SF),LDA,Gas,STREX,CAT,PM10,0.0015387938932401903
2017,July,Sonoma (SF),LDA,Gas,STREX,CAT,PM2_5,0.0014150550221239849
2017,July,Sonoma (SF),LDA,Gas,STREX,CAT,SOx,0.0004682370559798495
2017,July,Sonoma (SF),LDA,Gas,STREX,CAT,TOG,0.37337252779811597
2017,July,Sonoma (SF),LDA,Gas,STREX,NCAT,CO,0.03236669508586178
2017,July,Sonoma (SF),LDA,Gas,STREX,NCAT,NOx,0.0015239028086513932
2017,July,Sonoma (SF),LDA,Gas,STREX,NCAT,PM,7.554636899622912e-05
2017,July,Sonoma (SF),LDA,Gas,STREX,NCAT,PM10,7.221719488752374e-05
2017,July,Sonoma (SF),LDA,Gas,STREX,NCAT,PM2_5,6.873315106810954e-05
2017,July,Sonoma (SF),LDA,Gas,STREX,NCAT,SOx,2.867866553212178e-06
2017,July,Sonoma (SF),LDA,Gas,STREX,NCAT,TOG,0.005523014675618462
2017,July,Sonoma (SF),LDA,Phe,DIURN,CAT,TOG,0.0006387066653401765
2017,July,Sonoma (SF),LDA,Phe,HOTSOAK,CAT,TOG,0.0001667872267425761
2017,July,Sonoma (SF),LDA,Phe,PMBW,CAT,PM,0.00018409468670070123
2017,July,Sonoma (SF),LDA,Phe,PMBW,CAT,PM10,0.00018409468670070123
2017,July,Sonoma (SF),LDA,Phe,PMBW,CAT,PM2_5,6.443314034524542e-05
2017,July,Sonoma (SF),LDA,Phe,PMTW,CAT,PM,0.0003585594321186635
2017,July,Sonoma (SF),LDA,Phe,PMTW,CAT,PM10,0.0003585594321186635
2017,July,Sonoma (SF),LDA,Phe,PMTW,CAT,PM2_5,8.963985802966587e-05
2017,July,Sonoma (SF),LDA,Phe,RUNEX,CAT,CO,0.011859965400305759
2017,July,Sonoma (SF),LDA,Phe,RUNEX,CAT,NH3,0.0007090517455671556
2017,July,Sonoma (SF),LDA,Phe,RUNEX,CAT,NOx,0.00014811902074015972
2017,July,Sonoma (SF),LDA,Phe,RUNEX,CAT,PM,4.114527881018529e-05
2017,July,Sonoma (SF),LDA,Phe,RUNEX,CAT,PM10,3.678387925630565e-05
2017,July,Sonoma (SF),LDA,Phe,RUNEX,CAT,PM2_5,3.3821419181972316e-05
2017,July,Sonoma (SF),LDA,Phe,RUNEX,CAT,SOx,7.054820524054054e-05
2017,July,Sonoma (SF),LDA,Phe,RUNEX,CAT,TOG,0.00010706795914843503
2017,July,Sonoma (SF),LDA,Phe,RUNLOSS,CAT,TOG,0.00015471745629297477
2017,July,Sonoma (SF),LDA,Phe,STREX,CAT,CO,0.005011273086931145
2017,July,Sonoma (SF),LDA,Phe,STREX,CAT,NOx,0.00045807066186001654
2017,July,Sonoma (SF),LDA,Phe,STREX,CAT,PM,1.1130060801825858e-05
2017,July,Sonoma (SF),LDA,Phe,STREX,CAT,PM10,9.950274356832318e-06
2017,July,Sonoma (SF),LDA,Phe,STREX,CAT,PM2_5,9.148909979100855e-06
2017,July,Sonoma (SF),LDA,Phe,STREX,CAT,SOx,2.863448589519005e-06
2017,July,Sonoma (SF),LDA,Phe,STREX,CAT,TOG,0.0007355886365141349
2017,July,Sonoma (SF),LDT1,Dsl,PMBW,DSL,PM,7.020758701578657e-06
2017,July,Sonoma (SF),LDT1,Dsl,PMBW,DSL,PM10,7.020758701578657e-06
2017,July,Sonoma (SF),LDT1,Dsl,PMBW,DSL,PM2_5,2.45726554555253e-06
2017,July,Sonoma (SF),LDT1,Dsl,PMTW,DSL,PM,4.705730628508838e-06
2017,July,Sonoma (SF),LDT1,Dsl,PMTW,DSL,PM10,4.705730628508838e-06
2017,July,Sonoma (SF),LDT1,Dsl,PMTW,DSL,PM2_5,1.1764326571272096e-06
2017,July,Sonoma (SF),LDT1,Dsl,RUNEX,DSL,CO,0.00083594824452992
2017,July,Sonoma (SF),LDT1,Dsl,RUNEX,DSL,NH3,1.8234700959389297e-06
2017,July,Sonoma (SF),LDT1,Dsl,RUNEX,DSL,NOx,0.000756488397806166
2017,July,Sonoma (SF),LDT1,Dsl,RUNEX,DSL,PM,0.0001229483912320285
2017,July,Sonoma (SF),LDT1,Dsl,RUNEX,DSL,PM10,0.00012221070088463634
2017,July,Sonoma (SF),LDT1,Dsl,RUNEX,DSL,PM2_5,0.00011692392006165911
2017,July,Sonoma (SF),LDT1,Dsl,RUNEX,DSL,SOx,2.4261248869797014e-06
2017,July,Sonoma (SF),LDT1,Dsl,RUNEX,DSL,TOG,0.00017298559246019558
2017,July,Sonoma (SF),LDT1,Elec,PMBW,ELEC,PM,3.191099471968631e-06
2017,July,Sonoma (SF),LDT1,Elec,PMBW,ELEC,PM10,3.191099471968631e-06
2017,July,Sonoma (SF),LDT1,Elec,PMBW,ELEC,PM2_5,1.1168848151890208e-06
2017,July,Sonoma (SF),LDT1,Elec,PMTW,ELEC,PM,5.819430313901458e-06
2017,July,Sonoma (SF),LDT1,Elec,PMTW,ELEC,PM10,5.819430313901458e-06
2017,July,Sonoma (SF),LDT1,Elec,PMTW,ELEC,PM2_5,1.4548575784753645e-06
2017,July,Sonoma (SF),LDT1,Gas,DIURN,CAT,TOG,0.07970190956867933
2017,July,Sonoma (SF),LDT1,Gas,DIURN,NCAT,TOG,0.0026061975679075983
2017,July,Sonoma (SF),LDT1,Gas,HOTSOAK,CAT,TOG,0.02225197767887454
2017,July,Sonoma (SF),LDT1,Gas,HOTSOAK,NCAT,TOG,0.0018639182594188597
2017,July,Sonoma (SF),LDT1,Gas,PMBW,CAT,PM,0.00571854651548449
2017,July,Sonoma (SF),LDT1,Gas,PMBW,CAT,PM10,0.00571854651548449
2017,July,Sonoma (SF),LDT1,Gas,PMBW,CAT,PM2_5,0.002001491280419571
2017,July,Sonoma (SF),LDT1,Gas,PMBW,NCAT,PM,2.0178067692863507e-05
2017,July,Sonoma (SF),LDT1,Gas,PMBW,NCAT,PM10,2.0178067692863507e-05
2017,July,Sonoma (SF),LDT1,Gas,PMBW,NCAT,PM2_5,7.062323692502226e-06
2017,July,Sonoma (SF),LDT1,Gas,PMTW,CAT,PM,0.00432701920425174
2017,July,Sonoma (SF),LDT1,Gas,PMTW,CAT,PM10,0.00432701920425174
2017,July,Sonoma (SF),LDT1,Gas,PMTW,CAT,PM2_5,0.001081754801062935
2017,July,Sonoma (SF),LDT1,Gas,PMTW,NCAT,PM,1.3220835561970678e-05
2017,July,Sonoma (SF),LDT1,Gas,PMTW,NCAT,PM10,1.3220835561970678e-05
2017,July,Sonoma (SF),LDT1,Gas,PMTW,NCAT,PM2_5,3.3052088904926695e-06
2017,July,Sonoma (SF),LDT1,Gas,RUNEX,CAT,CO,1.6798148501795322
2017,July,Sonoma (SF),LDT1,Gas,RUNEX,CAT,NH3,0.019566812606705772
2017,July,Sonoma (SF),LDT1,Gas,RUNEX,CAT,NOx,0.14284235513176788
2017,July,Sonoma (SF),LDT1,Gas,RUNEX,CAT,PM,0.0018411328243614978
2017,July,Sonoma (SF),LDT1,Gas,RUNEX,CAT,PM10,0.0016468304399537732
2017,July,Sonoma (SF),LDT1,Gas,RUNEX,CAT,PM2_5,0.0015146273162906204
2017,July,Sonoma (SF),LDT1,Gas,RUNEX,CAT,SOx,0.0019496781874991619
2017,July,Sonoma (SF),LDT1,Gas,RUNEX,CAT,TOG,0.05418933199347403
2017,July,Sonoma (SF),LDT1,Gas,RUNEX,NCAT,CO,0.10194393429961021
2017,July,Sonoma (SF),LDT1,Gas,RUNEX,NCAT,NH3,1.2680637109728432e-05
2017,July,Sonoma (SF),LDT1,Gas,RUNEX,NCAT,NOx,0.007388059994564051
2017,July,Sonoma (SF),LDT1,Gas,RUNEX,NCAT,PM,9.837054736345629e-05
2017,July,Sonoma (SF),LDT1,Gas,RUNEX,NCAT,PM10,9.367640104168707e-05
2017,July,Sonoma (SF),LDT1,Gas,RUNEX,NCAT,PM2_5,8.898965726681974e-05
2017,July,Sonoma (SF),LDT1,Gas,RUNEX,NCAT,SOx,9.595690284227333e-06
2017,July,Sonoma (SF),LDT1,Gas,RUNEX,NCAT,TOG,0.008878450091283437
2017,July,Sonoma (SF),LDT1,Gas,RUNLOSS,CAT,TOG,0.06349853576026956
2017,July,Sonoma (SF),LDT1,Gas,RUNLOSS,NCAT,TOG,0.0015299418042104649
2017,July,Sonoma (SF),LDT1,Gas,STREX,CAT,CO,0.7268785827592363
2017,July,Sonoma (SF),LDT1,Gas,STREX,CAT,NOx,0.0473042235890698
2017,July,Sonoma (SF),LDT1,Gas,STREX,CAT,PM,0.00041761441030517104
2017,July,Sonoma (SF),LDT1,Gas,STREX,CAT,PM10,0.00037361476777541565
2017,July,Sonoma (SF),LDT1,Gas,STREX,CAT,PM2_5,0.00034365831499393
2017,July,Sonoma (SF),LDT1,Gas,STREX,CAT,SOx,8.068754467978193e-05
