calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Stanislaus (SJV),LDA,Dsl,PMBW,DSL,PM,0.0001540022058344271
2017,July,Stanislaus (SJV),LDA,Dsl,PMBW,DSL,PM10,0.0001540022058344271
2017,July,Stanislaus (SJV),LDA,Dsl,PMBW,DSL,PM2_5,5.390077204204948e-05
2017,July,Stanislaus (SJV),LDA,Dsl,PMTW,DSL,PM,0.00013283056177863453
2017,July,Stanislaus (SJV),LDA,Dsl,PMTW,DSL,PM10,0.00013283056177863453
2017,July,Stanislaus (SJV),LDA,Dsl,PMTW,DSL,PM2_5,3.320764044465863e-05
2017,July,Stanislaus (SJV),LDA,Dsl,RUNEX,DSL,CO,0.007417424622014041
2017,July,Stanislaus (SJV),LDA,Dsl,RUNEX,DSL,NH3,5.1471827937346566e-05
2017,July,Stanislaus (SJV),LDA,Dsl,RUNEX,DSL,NOx,0.007855037242602005
2017,July,Stanislaus (SJV),LDA,Dsl,RUNEX,DSL,PM,0.0005327375818506561
2017,July,Stanislaus (SJV),LDA,Dsl,RUNEX,DSL,PM10,0.0005295411563595517
2017,July,Stanislaus (SJV),LDA,Dsl,RUNEX,DSL,PM2_5,0.0005066334403399734
2017,July,Stanislaus (SJV),LDA,Dsl,RUNEX,DSL,SOx,3.738102576893867e-05
2017,July,Stanislaus (SJV),LDA,Dsl,RUNEX,DSL,TOG,0.0009216429116654969
2017,July,Stanislaus (SJV),LDA,Elec,PMBW,ELEC,PM,9.508753673647346e-05
2017,July,Stanislaus (SJV),LDA,Elec,PMBW,ELEC,PM10,9.508753673647346e-05
2017,July,Stanislaus (SJV),LDA,Elec,PMBW,ELEC,PM2_5,3.328063785776572e-05
2017,July,Stanislaus (SJV),LDA,Elec,PMTW,ELEC,PM,0.00017446517717299853
2017,July,Stanislaus (SJV),LDA,Elec,PMTW,ELEC,PM10,0.00017446517717299853
2017,July,Stanislaus (SJV),LDA,Elec,PMTW,ELEC,PM2_5,4.361629429324963e-05
2017,July,Stanislaus (SJV),LDA,Gas,DIURN,CAT,TOG,0.44790689801529865
2017,July,Stanislaus (SJV),LDA,Gas,DIURN,NCAT,TOG,0.00948689865017152
