calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Sutter (SV),LDA,Dsl,PMBW,DSL,PM,1.072715409293865e-05
2017,July,Sutter (SV),LDA,Dsl,PMBW,DSL,PM10,1.072715409293865e-05
2017,July,Sutter (SV),LDA,Dsl,PMBW,DSL,PM2_5,3.754503932528527e-06
2017,July,Sutter (SV),LDA,Dsl,PMTW,DSL,PM,1.0752129574669612e-05
2017,July,Sutter (SV),LDA,Dsl,PMTW,DSL,PM10,1.0752129574669612e-05
2017,July,Sutter (SV),LDA,Dsl,PMTW,DSL,PM2_5,2.688032393667403e-06
2017,July,Sutter (SV),LDA,Dsl,RUNEX,DSL,CO,0.0006135426663835225
2017,July,Sutter (SV),LDA,Dsl,RUNEX,DSL,NH3,4.1664490160762655e-06
2017,July,Sutter (SV),LDA,Dsl,RUNEX,DSL,NOx,0.0005599583659988931
2017,July,Sutter (SV),LDA,Dsl,RUNEX,DSL,PM,4.262947911004867e-05
2017,July,Sutter (SV),LDA,Dsl,RUNEX,DSL,PM10,4.237370223538837e-05
2017,July,Sutter (SV),LDA,Dsl,RUNEX,DSL,PM2_5,4.0540634633656284e-05
2017,July,Sutter (SV),LDA,Dsl,RUNEX,DSL,SOx,3.179301723921628e-06
2017,July,Sutter (SV),LDA,Dsl,RUNEX,DSL,TOG,7.456350657921867e-05
2017,July,Sutter (SV),LDA,Elec,PMBW,ELEC,PM,5.528873454411306e-06
2017,July,Sutter (SV),LDA,Elec,PMBW,ELEC,PM10,5.528873454411306e-06
2017,July,Sutter (SV),LDA,Elec,PMBW,ELEC,PM2_5,1.935105709043957e-06
2017,July,Sutter (SV),LDA,Elec,PMTW,ELEC,PM,1.0144032512520247e-05
2017,July,Sutter (SV),LDA,Elec,PMTW,ELEC,PM10,1.0144032512520247e-05
2017,July,Sutter (SV),LDA,Elec,PMTW,ELEC,PM2_5,2.5360081281300617e-06
2017,July,Sutter (SV),LDA,Gas,DIURN,CAT,TOG,0.0277772310696041
2017,July,Sutter (SV),LDA,Gas,DIURN,NCAT,TOG,0.0006377635808896634
2017,July,Sutter (SV),LDA,Gas,HOTSOAK,CAT,TOG,0.006485668682650095
2017,July,Sutter (SV),LDA,Gas,HOTSOAK,NCAT,TOG,0.00032983914256968995
2017,July,Sutter (SV),LDA,Gas,PMBW,CAT,PM,0.002698064077247316
2017,July,Sutter (SV),LDA,Gas,PMBW,CAT,PM10,0.002698064077247316
2017,July,Sutter (SV),LDA,Gas,PMBW,CAT,PM2_5,0.0009443224270365607
2017,July,Sutter (SV),LDA,Gas,PMBW,NCAT,PM,1.2062476318564974e-06
2017,July,Sutter (SV),LDA,Gas,PMBW,NCAT,PM10,1.2062476318564974e-06
2017,July,Sutter (SV),LDA,Gas,PMBW,NCAT,PM2_5,4.221866711497741e-07
2017,July,Sutter (SV),LDA,Gas,PMTW,CAT,PM,0.0026941467212808303
2017,July,Sutter (SV),LDA,Gas,PMTW,CAT,PM10,0.0026941467212808303
2017,July,Sutter (SV),LDA,Gas,PMTW,CAT,PM2_5,0.0006735366803202076
2017,July,Sutter (SV),LDA,Gas,PMTW,NCAT,PM,1.132357814881476e-06
2017,July,Sutter (SV),LDA,Gas,PMTW,NCAT,PM10,1.132357814881476e-06
2017,July,Sutter (SV),LDA,Gas,PMTW,NCAT,PM2_5,2.83089453720369e-07
2017,July,Sutter (SV),LDA,Gas,RUNEX,CAT,CO,0.6961367001305253
2017,July,Sutter (SV),LDA,Gas,RUNEX,CAT,NH3,0.009787915707385948
2017,July,Sutter (SV),LDA,Gas,RUNEX,CAT,NOx,0.03577487545506747
2017,July,Sutter (SV),LDA,Gas,RUNEX,CAT,PM,0.0006067998541543508
2017,July,Sutter (SV),LDA,Gas,RUNEX,CAT,PM10,0.0005425284552114207
2017,July,Sutter (SV),LDA,Gas,RUNEX,CAT,PM2_5,0.0004988595044694427
2017,July,Sutter (SV),LDA,Gas,RUNEX,CAT,SOx,0.0011531347560538256
2017,July,Sutter (SV),LDA,Gas,RUNEX,CAT,TOG,0.01485363960313499
2017,July,Sutter (SV),LDA,Gas,RUNEX,NCAT,CO,0.01327133418253274
2017,July,Sutter (SV),LDA,Gas,RUNEX,NCAT,NH3,8.428980325785659e-07
2017,July,Sutter (SV),LDA,Gas,RUNEX,NCAT,NOx,0.0005936479488635861
2017,July,Sutter (SV),LDA,Gas,RUNEX,NCAT,PM,8.540277618613344e-06
2017,July,Sutter (SV),LDA,Gas,RUNEX,NCAT,PM10,8.157821194056267e-06
2017,July,Sutter (SV),LDA,Gas,RUNEX,NCAT,PM2_5,7.76141022170187e-06
2017,July,Sutter (SV),LDA,Gas,RUNEX,NCAT,SOx,9.65430160810101e-07
2017,July,Sutter (SV),LDA,Gas,RUNEX,NCAT,TOG,0.0007762007763701016
2017,July,Sutter (SV),LDA,Gas,RUNLOSS,CAT,TOG,0.01568611618064308
2017,July,Sutter (SV),LDA,Gas,RUNLOSS,NCAT,TOG,0.0002815012284140675
2017,July,Sutter (SV),LDA,Gas,STREX,CAT,CO,0.20558111398361234
2017,July,Sutter (SV),LDA,Gas,STREX,CAT,NOx,0.016837150319228975
2017,July,Sutter (SV),LDA,Gas,STREX,CAT,PM,0.00012733468805521558
2017,July,Sutter (SV),LDA,Gas,STREX,CAT,PM10,0.00011386382784124256
2017,July,Sutter (SV),LDA,Gas,STREX,CAT,PM2_5,0.00010470685370659001
2017,July,Sutter (SV),LDA,Gas,STREX,CAT,SOx,3.553710100218372e-05
2017,July,Sutter (SV),LDA,Gas,STREX,CAT,TOG,0.02459626677765615
2017,July,Sutter (SV),LDA,Gas,STREX,NCAT,CO,0.0021715730511667375
2017,July,Sutter (SV),LDA,Gas,STREX,NCAT,NOx,9.006450726187477e-05
2017,July,Sutter (SV),LDA,Gas,STREX,NCAT,PM,4.6865917566573e-06
2017,July,Sutter (SV),LDA,Gas,STREX,NCAT,PM10,4.4771979582678035e-06
2017,July,Sutter (SV),LDA,Gas,STREX,NCAT,PM2_5,4.2598645156519526e-06
2017,July,Sutter (SV),LDA,Gas,STREX,NCAT,SOx,1.7933452140621068e-07
2017,July,Sutter (SV),LDA,Gas,STREX,NCAT,TOG,0.00032355249742636074
2017,July,Sutter (SV),LDA,Phe,DIURN,CAT,TOG,7.3897369434088e-05
2017,July,Sutter (SV),LDA,Phe,HOTSOAK,CAT,TOG,1.4614250944518531e-05
2017,July,Sutter (SV),LDA,Phe,PMBW,CAT,PM,1.3928399939984865e-05
2017,July,Sutter (SV),LDA,Phe,PMBW,CAT,PM10,1.3928399939984865e-05
2017,July,Sutter (SV),LDA,Phe,PMBW,CAT,PM2_5,4.8749399789947035e-06
2017,July,Sutter (SV),LDA,Phe,PMTW,CAT,PM,2.8098845760506437e-05
2017,July,Sutter (SV),LDA,Phe,PMTW,CAT,PM10,2.8098845760506437e-05
2017,July,Sutter (SV),LDA,Phe,PMTW,CAT,PM2_5,7.024711440126609e-06
2017,July,Sutter (SV),LDA,Phe,RUNEX,CAT,CO,0.0012814522750508796
2017,July,Sutter (SV),LDA,Phe,RUNEX,CAT,NH3,5.616069159899711e-05
2017,July,Sutter (SV),LDA,Phe,RUNEX,CAT,NOx,1.181228016721224e-05
2017,July,Sutter (SV),LDA,Phe,RUNEX,CAT,PM,3.389679469006232e-06
2017,July,Sutter (SV),LDA,Phe,RUNEX,CAT,PM10,3.0303734452915716e-06
2017,July,Sutter (SV),LDA,Phe,RUNEX,CAT,PM2_5,2.7863165235231223e-06
2017,July,Sutter (SV),LDA,Phe,RUNEX,CAT,SOx,6.066840826387109e-06
2017,July,Sutter (SV),LDA,Phe,RUNEX,CAT,TOG,9.193963699945509e-06
2017,July,Sutter (SV),LDA,Phe,RUNLOSS,CAT,TOG,1.3486906810111829e-05
2017,July,Sutter (SV),LDA,Phe,STREX,CAT,CO,0.000357664439027512
2017,July,Sutter (SV),LDA,Phe,STREX,CAT,NOx,3.466942132053656e-05
2017,July,Sutter (SV),LDA,Phe,STREX,CAT,PM,8.823390291318462e-07
2017,July,Sutter (SV),LDA,Phe,STREX,CAT,PM10,7.888110920438707e-07
2017,July,Sutter (SV),LDA,Phe,STREX,CAT,PM2_5,7.252826819463774e-07
2017,July,Sutter (SV),LDA,Phe,STREX,CAT,SOx,2.2386240812330184e-07
2017,July,Sutter (SV),LDA,Phe,STREX,CAT,TOG,5.125494241648953e-05
2017,July,Sutter (SV),LDT1,Dsl,PMBW,DSL,PM,3.136932912338608e-07
2017,July,Sutter (SV),LDT1,Dsl,PMBW,DSL,PM10,3.136932912338608e-07
2017,July,Sutter (SV),LDT1,Dsl,PMBW,DSL,PM2_5,1.0979265193185123e-07
2017,July,Sutter (SV),LDT1,Dsl,PMTW,DSL,PM,2.2509026078508017e-07
2017,July,Sutter (SV),LDT1,Dsl,PMTW,DSL,PM10,2.2509026078508017e-07
2017,July,Sutter (SV),LDT1,Dsl,PMTW,DSL,PM2_5,5.627256519627004e-08
2017,July,Sutter (SV),LDT1,Dsl,RUNEX,DSL,CO,4.269764176613156e-05
2017,July,Sutter (SV),LDT1,Dsl,RUNEX,DSL,NH3,8.722245105618202e-08
2017,July,Sutter (SV),LDT1,Dsl,RUNEX,DSL,NOx,4.216526933933462e-05
2017,July,Sutter (SV),LDT1,Dsl,RUNEX,DSL,PM,5.575774856068657e-06
2017,July,Sutter (SV),LDT1,Dsl,RUNEX,DSL,PM10,5.542320206932247e-06
2017,July,Sutter (SV),LDT1,Dsl,RUNEX,DSL,PM2_5,5.3025618881212965e-06
2017,July,Sutter (SV),LDT1,Dsl,RUNEX,DSL,SOx,1.1817720690418785e-07
2017,July,Sutter (SV),LDT1,Dsl,RUNEX,DSL,TOG,8.40117103951379e-06
2017,July,Sutter (SV),LDT1,Elec,PMBW,ELEC,PM,4.362707409974819e-08
2017,July,Sutter (SV),LDT1,Elec,PMBW,ELEC,PM10,4.362707409974819e-08
2017,July,Sutter (SV),LDT1,Elec,PMBW,ELEC,PM2_5,1.526947593491186e-08
2017,July,Sutter (SV),LDT1,Elec,PMTW,ELEC,PM,7.945378717995301e-08
2017,July,Sutter (SV),LDT1,Elec,PMTW,ELEC,PM10,7.945378717995301e-08
2017,July,Sutter (SV),LDT1,Elec,PMTW,ELEC,PM2_5,1.9863446794988252e-08
2017,July,Sutter (SV),LDT1,Gas,DIURN,CAT,TOG,0.0049137898548910755
2017,July,Sutter (SV),LDT1,Gas,DIURN,NCAT,TOG,0.0004146457208435999
2017,July,Sutter (SV),LDT1,Gas,HOTSOAK,CAT,TOG,0.001105634650484012
2017,July,Sutter (SV),LDT1,Gas,HOTSOAK,NCAT,TOG,0.00021720800722944261
2017,July,Sutter (SV),LDT1,Gas,PMBW,CAT,PM,0.00029417024645353327
2017,July,Sutter (SV),LDT1,Gas,PMBW,CAT,PM10,0.00029417024645353327
2017,July,Sutter (SV),LDT1,Gas,PMBW,CAT,PM2_5,0.00010295958625873663
2017,July,Sutter (SV),LDT1,Gas,PMBW,NCAT,PM,1.7483614770146888e-06
2017,July,Sutter (SV),LDT1,Gas,PMBW,NCAT,PM10,1.7483614770146888e-06
2017,July,Sutter (SV),LDT1,Gas,PMBW,NCAT,PM2_5,6.119265169551411e-07
2017,July,Sutter (SV),LDT1,Gas,PMTW,CAT,PM,0.0002432339885632695
2017,July,Sutter (SV),LDT1,Gas,PMTW,CAT,PM10,0.0002432339885632695
2017,July,Sutter (SV),LDT1,Gas,PMTW,CAT,PM2_5,6.0808497140817375e-05
2017,July,Sutter (SV),LDT1,Gas,PMTW,NCAT,PM,1.2402993232858554e-06
2017,July,Sutter (SV),LDT1,Gas,PMTW,NCAT,PM10,1.2402993232858554e-06
2017,July,Sutter (SV),LDT1,Gas,PMTW,NCAT,PM2_5,3.1007483082146385e-07
2017,July,Sutter (SV),LDT1,Gas,RUNEX,CAT,CO,0.10867564853254204
2017,July,Sutter (SV),LDT1,Gas,RUNEX,CAT,NH3,0.0010468979956624392
2017,July,Sutter (SV),LDT1,Gas,RUNEX,CAT,NOx,0.006838967976273653
2017,July,Sutter (SV),LDT1,Gas,RUNEX,CAT,PM,9.581436817106113e-05
2017,July,Sutter (SV),LDT1,Gas,RUNEX,CAT,PM10,8.57048944158082e-05
2017,July,Sutter (SV),LDT1,Gas,RUNEX,CAT,PM2_5,7.882583870726234e-05
2017,July,Sutter (SV),LDT1,Gas,RUNEX,CAT,SOx,0.00011971964734309257
2017,July,Sutter (SV),LDT1,Gas,RUNEX,CAT,TOG,0.002822389650638909
2017,July,Sutter (SV),LDT1,Gas,RUNEX,NCAT,CO,0.010353185118074301
2017,July,Sutter (SV),LDT1,Gas,RUNEX,NCAT,NH3,1.0187774581547996e-06
2017,July,Sutter (SV),LDT1,Gas,RUNEX,NCAT,NOx,0.0006886465109554923
2017,July,Sutter (SV),LDT1,Gas,RUNEX,NCAT,PM,9.357276902513782e-06
2017,July,Sutter (SV),LDT1,Gas,RUNEX,NCAT,PM10,8.945493832436207e-06
2017,July,Sutter (SV),LDT1,Gas,RUNEX,NCAT,PM2_5,8.514194848955049e-06
2017,July,Sutter (SV),LDT1,Gas,RUNEX,NCAT,SOx,9.288652547975378e-07
2017,July,Sutter (SV),LDT1,Gas,RUNEX,NCAT,TOG,0.000881968170112908
2017,July,Sutter (SV),LDT1,Gas,RUNLOSS,CAT,TOG,0.0030589875798417336
