calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Tulare (SJV),LDA,Dsl,PMBW,DSL,PM,9.721760049002106e-05
2017,July,Tulare (SJV),LDA,Dsl,PMBW,DSL,PM10,9.721760049002106e-05
2017,July,Tulare (SJV),LDA,Dsl,PMBW,DSL,PM2_5,3.4026160171507374e-05
2017,July,Tulare (SJV),LDA,Dsl,PMTW,DSL,PM,9.910134759134592e-05
2017,July,Tulare (SJV),LDA,Dsl,PMTW,DSL,PM10,9.910134759134592e-05
2017,July,Tulare (SJV),LDA,Dsl,PMTW,DSL,PM2_5,2.477533689783648e-05
2017,July,Tulare (SJV),LDA,Dsl,RUNEX,DSL,CO,0.006336855406926639
2017,July,Tulare (SJV),LDA,Dsl,RUNEX,DSL,NH3,3.840176118566566e-05
2017,July,Tulare (SJV),LDA,Dsl,RUNEX,DSL,NOx,0.006421436019866234
2017,July,Tulare (SJV),LDA,Dsl,RUNEX,DSL,PM,0.00048433409020374584
2017,July,Tulare (SJV),LDA,Dsl,RUNEX,DSL,PM10,0.00048142808566252346
2017,July,Tulare (SJV),LDA,Dsl,RUNEX,DSL,PM2_5,0.00046060171978376237
2017,July,Tulare (SJV),LDA,Dsl,RUNEX,DSL,SOx,2.92387944081052e-05
2017,July,Tulare (SJV),LDA,Dsl,RUNEX,DSL,TOG,0.000786970489205679
2017,July,Tulare (SJV),LDA,Elec,PMBW,ELEC,PM,8.474979899859726e-05
2017,July,Tulare (SJV),LDA,Elec,PMBW,ELEC,PM10,8.474979899859726e-05
2017,July,Tulare (SJV),LDA,Elec,PMBW,ELEC,PM2_5,2.966242964950904e-05
2017,July,Tulare (SJV),LDA,Elec,PMTW,ELEC,PM,0.00015559142279071735
2017,July,Tulare (SJV),LDA,Elec,PMTW,ELEC,PM10,0.00015559142279071735
2017,July,Tulare (SJV),LDA,Elec,PMTW,ELEC,PM2_5,3.889785569767934e-05
2017,July,Tulare (SJV),LDA,Gas,DIURN,CAT,TOG,0.4132911915883133
2017,July,Tulare (SJV),LDA,Gas,DIURN,NCAT,TOG,0.009832489470970375
2017,July,Tulare (SJV),LDA,Gas,HOTSOAK,CAT,TOG,0.08985624802722149
2017,July,Tulare (SJV),LDA,Gas,HOTSOAK,NCAT,TOG,0.004594235445732005
2017,July,Tulare (SJV),LDA,Gas,PMBW,CAT,PM,0.03994169718481463
2017,July,Tulare (SJV),LDA,Gas,PMBW,CAT,PM10,0.03994169718481463
2017,July,Tulare (SJV),LDA,Gas,PMBW,CAT,PM2_5,0.013979594014685121
2017,July,Tulare (SJV),LDA,Gas,PMBW,NCAT,PM,1.195675416475459e-05
2017,July,Tulare (SJV),LDA,Gas,PMBW,NCAT,PM10,1.195675416475459e-05
2017,July,Tulare (SJV),LDA,Gas,PMBW,NCAT,PM2_5,4.184863957664106e-06
2017,July,Tulare (SJV),LDA,Gas,PMTW,CAT,PM,0.04072557930755092
2017,July,Tulare (SJV),LDA,Gas,PMTW,CAT,PM10,0.04072557930755092
2017,July,Tulare (SJV),LDA,Gas,PMTW,CAT,PM2_5,0.01018139482688773
