calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Ventura (SCC),LDA,Dsl,PMBW,DSL,PM,0.0004370788628941488
2017,July,Ventura (SCC),LDA,Dsl,PMBW,DSL,PM10,0.0004370788628941488
2017,July,Ventura (SCC),LDA,Dsl,PMBW,DSL,PM2_5,0.00015297760201295204
2017,July,Ventura (SCC),LDA,Dsl,PMTW,DSL,PM,0.0004979286099515761
2017,July,Ventura (SCC),LDA,Dsl,PMTW,DSL,PM10,0.0004979286099515761
2017,July,Ventura (SCC),LDA,Dsl,PMTW,DSL,PM2_5,0.00012448215248789403
2017,July,Ventura (SCC),LDA,Dsl,RUNEX,DSL,CO,0.024591570969117554
2017,July,Ventura (SCC),LDA,Dsl,RUNEX,DSL,NH3,0.00019294728105736348
2017,July,Ventura (SCC),LDA,Dsl,RUNEX,DSL,NOx,0.020074575725239296
2017,July,Ventura (SCC),LDA,Dsl,RUNEX,DSL,PM,0.0015997539258953437
2017,July,Ventura (SCC),LDA,Dsl,RUNEX,DSL,PM10,0.0015901554023399712
2017,July,Ventura (SCC),LDA,Dsl,RUNEX,DSL,PM2_5,0.0015213659835264712
2017,July,Ventura (SCC),LDA,Dsl,RUNEX,DSL,SOx,0.0001466075699125275
2017,July,Ventura (SCC),LDA,Dsl,RUNEX,DSL,TOG,0.002745617445341207
2017,July,Ventura (SCC),LDA,Elec,PMBW,ELEC,PM,0.0003698876282677426
2017,July,Ventura (SCC),LDA,Elec,PMBW,ELEC,PM10,0.0003698876282677426
2017,July,Ventura (SCC),LDA,Elec,PMBW,ELEC,PM2_5,0.0001294606698937099
2017,July,Ventura (SCC),LDA,Elec,PMTW,ELEC,PM,0.0006787337487063122
2017,July,Ventura (SCC),LDA,Elec,PMTW,ELEC,PM10,0.0006787337487063122
2017,July,Ventura (SCC),LDA,Elec,PMTW,ELEC,PM2_5,0.00016968343717657804
2017,July,Ventura (SCC),LDA,Gas,DIURN,CAT,TOG,0.605864688451558
2017,July,Ventura (SCC),LDA,Gas,DIURN,NCAT,TOG,0.015197185227796088
2017,July,Ventura (SCC),LDA,Gas,HOTSOAK,CAT,TOG,0.18124652009722764
2017,July,Ventura (SCC),LDA,Gas,HOTSOAK,NCAT,TOG,0.010606186064659583
2017,July,Ventura (SCC),LDA,Gas,PMBW,CAT,PM,0.07789381198207057
2017,July,Ventura (SCC),LDA,Gas,PMBW,CAT,PM10,0.07789381198207057
2017,July,Ventura (SCC),LDA,Gas,PMBW,CAT,PM2_5,0.02726283419372469
2017,July,Ventura (SCC),LDA,Gas,PMBW,NCAT,PM,2.4153382358646617e-05
2017,July,Ventura (SCC),LDA,Gas,PMBW,NCAT,PM10,2.4153382358646617e-05
2017,July,Ventura (SCC),LDA,Gas,PMBW,NCAT,PM2_5,8.453683825526317e-06
2017,July,Ventura (SCC),LDA,Gas,PMTW,CAT,PM,0.0882096537081175
2017,July,Ventura (SCC),LDA,Gas,PMTW,CAT,PM10,0.0882096537081175
2017,July,Ventura (SCC),LDA,Gas,PMTW,CAT,PM2_5,0.022052413427029374
2017,July,Ventura (SCC),LDA,Gas,PMTW,NCAT,PM,2.5604806725354065e-05
2017,July,Ventura (SCC),LDA,Gas,PMTW,NCAT,PM10,2.5604806725354065e-05
2017,July,Ventura (SCC),LDA,Gas,PMTW,NCAT,PM2_5,6.401201681338516e-06
2017,July,Ventura (SCC),LDA,Gas,RUNEX,CAT,CO,14.086863816625694
2017,July,Ventura (SCC),LDA,Gas,RUNEX,CAT,NH3,0.3162451873566094
2017,July,Ventura (SCC),LDA,Gas,RUNEX,CAT,NOx,0.8830533841693177
2017,July,Ventura (SCC),LDA,Gas,RUNEX,CAT,PM,0.018243698879497557
2017,July,Ventura (SCC),LDA,Gas,RUNEX,CAT,PM10,0.016311096664696923
2017,July,Ventura (SCC),LDA,Gas,RUNEX,CAT,PM2_5,0.01499806431940192
2017,July,Ventura (SCC),LDA,Gas,RUNEX,CAT,SOx,0.034128042194856816
2017,July,Ventura (SCC),LDA,Gas,RUNEX,CAT,TOG,0.3692413735560831
2017,July,Ventura (SCC),LDA,Gas,RUNEX,NCAT,CO,0.22951964001783234
2017,July,Ventura (SCC),LDA,Gas,RUNEX,NCAT,NH3,1.93516885339261e-05
2017,July,Ventura (SCC),LDA,Gas,RUNEX,NCAT,NOx,0.01295160731537735
2017,July,Ventura (SCC),LDA,Gas,RUNEX,NCAT,PM,0.00019412724944115693
2017,July,Ventura (SCC),LDA,Gas,RUNEX,NCAT,PM10,0.00018532642028684174
2017,July,Ventura (SCC),LDA,Gas,RUNEX,NCAT,PM2_5,0.00017627084728260878
2017,July,Ventura (SCC),LDA,Gas,RUNEX,NCAT,SOx,1.9670556314340416e-05
2017,July,Ventura (SCC),LDA,Gas,RUNEX,NCAT,TOG,0.016965456756348793
2017,July,Ventura (SCC),LDA,Gas,RUNLOSS,CAT,TOG,0.4315950194448333
2017,July,Ventura (SCC),LDA,Gas,RUNLOSS,NCAT,TOG,0.008538190816663902
2017,July,Ventura (SCC),LDA,Gas,STREX,CAT,CO,6.21761341336526
2017,July,Ventura (SCC),LDA,Gas,STREX,CAT,NOx,0.5008423947256366
2017,July,Ventura (SCC),LDA,Gas,STREX,CAT,PM,0.0040240169358962624
2017,July,Ventura (SCC),LDA,Gas,STREX,CAT,PM10,0.0035983751059557104
