calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Yolo (SV),LDA,Dsl,PMBW,DSL,PM,0.00015455053917428203
2017,July,Yolo (SV),LDA,Dsl,PMBW,DSL,PM10,0.00015455053917428203
2017,July,Yolo (SV),LDA,Dsl,PMBW,DSL,PM2_5,5.4092688710998716e-05
2017,July,Yolo (SV),LDA,Dsl,PMTW,DSL,PM,0.00015502787471243006
2017,July,Yolo (SV),LDA,Dsl,PMTW,DSL,PM10,0.00015502787471243006
2017,July,Yolo (SV),LDA,Dsl,PMTW,DSL,PM2_5,3.8756968678107514e-05
2017,July,Yolo (SV),LDA,Dsl,RUNEX,DSL,CO,0.008259786176205193
2017,July,Yolo (SV),LDA,Dsl,RUNEX,DSL,NH3,6.007328423400687e-05
2017,July,Yolo (SV),LDA,Dsl,RUNEX,DSL,NOx,0.00817309479077739
2017,July,Yolo (SV),LDA,Dsl,RUNEX,DSL,PM,0.00047811970368998334
2017,July,Yolo (SV),LDA,Dsl,RUNEX,DSL,PM10,0.0004752509854678435
2017,July,Yolo (SV),LDA,Dsl,RUNEX,DSL,PM2_5,0.0004546918382091742
2017,July,Yolo (SV),LDA,Dsl,RUNEX,DSL,SOx,4.5499130559613846e-05
2017,July,Yolo (SV),LDA,Dsl,RUNEX,DSL,TOG,0.0008686933508933743
2017,July,Yolo (SV),LDA,Elec,PMBW,ELEC,PM,8.992418222318384e-05
2017,July,Yolo (SV),LDA,Elec,PMBW,ELEC,PM10,8.992418222318384e-05
2017,July,Yolo (SV),LDA,Elec,PMBW,ELEC,PM2_5,3.1473463778114343e-05
2017,July,Yolo (SV),LDA,Elec,PMTW,ELEC,PM,0.00016493304101838566
2017,July,Yolo (SV),LDA,Elec,PMTW,ELEC,PM10,0.00016493304101838566
2017,July,Yolo (SV),LDA,Elec,PMTW,ELEC,PM2_5,4.1233260254596414e-05
2017,July,Yolo (SV),LDA,Gas,DIURN,CAT,TOG,0.18897381671154662
2017,July,Yolo (SV),LDA,Gas,DIURN,NCAT,TOG,0.0037531133868701203
2017,July,Yolo (SV),LDA,Gas,HOTSOAK,CAT,TOG,0.04631357583897702
2017,July,Yolo (SV),LDA,Gas,HOTSOAK,NCAT,TOG,0.002083558851608674
2017,July,Yolo (SV),LDA,Gas,PMBW,CAT,PM,0.024747754099725194
2017,July,Yolo (SV),LDA,Gas,PMBW,CAT,PM10,0.024747754099725194
2017,July,Yolo (SV),LDA,Gas,PMBW,CAT,PM2_5,0.008661713934903817
2017,July,Yolo (SV),LDA,Gas,PMBW,NCAT,PM,7.243648161018213e-06
2017,July,Yolo (SV),LDA,Gas,PMBW,NCAT,PM10,7.243648161018213e-06
2017,July,Yolo (SV),LDA,Gas,PMBW,NCAT,PM2_5,2.5352768563563747e-06
2017,July,Yolo (SV),LDA,Gas,PMTW,CAT,PM,0.024765061846754078
2017,July,Yolo (SV),LDA,Gas,PMTW,CAT,PM10,0.024765061846754078
2017,July,Yolo (SV),LDA,Gas,PMTW,CAT,PM2_5,0.0061912654616885195
2017,July,Yolo (SV),LDA,Gas,PMTW,NCAT,PM,6.799931777488135e-06
2017,July,Yolo (SV),LDA,Gas,PMTW,NCAT,PM10,6.799931777488135e-06
2017,July,Yolo (SV),LDA,Gas,PMTW,NCAT,PM2_5,1.6999829443720338e-06
2017,July,Yolo (SV),LDA,Gas,RUNEX,CAT,CO,5.422964549668373
2017,July,Yolo (SV),LDA,Gas,RUNEX,CAT,NH3,0.08759417966054442
2017,July,Yolo (SV),LDA,Gas,RUNEX,CAT,NOx,0.2738236805808238
2017,July,Yolo (SV),LDA,Gas,RUNEX,CAT,PM,0.005118166213995396
2017,July,Yolo (SV),LDA,Gas,RUNEX,CAT,PM10,0.004575892154993217
2017,July,Yolo (SV),LDA,Gas,RUNEX,CAT,PM2_5,0.0042074893170046136
2017,July,Yolo (SV),LDA,Gas,RUNEX,CAT,SOx,0.01040073809278144
2017,July,Yolo (SV),LDA,Gas,RUNEX,CAT,TOG,0.11181059754410128
2017,July,Yolo (SV),LDA,Gas,RUNEX,NCAT,CO,0.0751828679323557
2017,July,Yolo (SV),LDA,Gas,RUNEX,NCAT,NH3,4.936470358475525e-06
2017,July,Yolo (SV),LDA,Gas,RUNEX,NCAT,NOx,0.003561776736293525
2017,July,Yolo (SV),LDA,Gas,RUNEX,NCAT,PM,5.128814384876176e-05
2017,July,Yolo (SV),LDA,Gas,RUNEX,NCAT,PM10,4.903634655732647e-05
2017,July,Yolo (SV),LDA,Gas,RUNEX,NCAT,PM2_5,4.667453880891617e-05
2017,July,Yolo (SV),LDA,Gas,RUNEX,NCAT,SOx,5.680069596470473e-06
2017,July,Yolo (SV),LDA,Gas,RUNEX,NCAT,TOG,0.004702523841625977
2017,July,Yolo (SV),LDA,Gas,RUNLOSS,CAT,TOG,0.11053283220238555
2017,July,Yolo (SV),LDA,Gas,RUNLOSS,NCAT,TOG,0.0017608829364810852
2017,July,Yolo (SV),LDA,Gas,STREX,CAT,CO,1.5248697353912226
2017,July,Yolo (SV),LDA,Gas,STREX,CAT,NOx,0.12521957444210466
2017,July,Yolo (SV),LDA,Gas,STREX,CAT,PM,0.000934058987707577
2017,July,Yolo (SV),LDA,Gas,STREX,CAT,PM10,0.0008352046394503846
2017,July,Yolo (SV),LDA,Gas,STREX,CAT,PM2_5,0.0007680175464296884
2017,July,Yolo (SV),LDA,Gas,STREX,CAT,SOx,0.0002726786681394894
