calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2017,July,Yuba (SV),LDA,Dsl,PMBW,DSL,PM,3.118176489398527e-05
2017,July,Yuba (SV),LDA,Dsl,PMBW,DSL,PM10,3.118176489398527e-05
2017,July,Yuba (SV),LDA,Dsl,PMBW,DSL,PM2_5,1.0913617712894844e-05
2017,July,Yuba (SV),LDA,Dsl,PMTW,DSL,PM,3.2061068627562106e-05
2017,July,Yuba (SV),LDA,Dsl,PMTW,DSL,PM10,3.2061068627562106e-05
2017,July,Yuba (SV),LDA,Dsl,PMTW,DSL,PM2_5,8.015267156890526e-06
2017,July,Yuba (SV),LDA,Dsl,RUNEX,DSL,CO,0.002084562403262325
2017,July,Yuba (SV),LDA,Dsl,RUNEX,DSL,NH3,1.2423660532547517e-05
2017,July,Yuba (SV),LDA,Dsl,RUNEX,DSL,NOx,0.0021212308262019276
2017,July,Yuba (SV),LDA,Dsl,RUNEX,DSL,PM,0.00016003858234373144
2017,July,Yuba (SV),LDA,Dsl,RUNEX,DSL,PM10,0.00015907835084966903
2017,July,Yuba (SV),LDA,Dsl,RUNEX,DSL,PM2_5,0.00015219669180888858
2017,July,Yuba (SV),LDA,Dsl,RUNEX,DSL,SOx,9.423360693269182e-06
2017,July,Yuba (SV),LDA,Dsl,RUNEX,DSL,TOG,0.00027807527901768734
2017,July,Yuba (SV),LDA,Elec,PMBW,ELEC,PM,3.933229710096206e-06
2017,July,Yuba (SV),LDA,Elec,PMBW,ELEC,PM10,3.933229710096206e-06
2017,July,Yuba (SV),LDA,Elec,PMBW,ELEC,PM2_5,1.3766303985336719e-06
2017,July,Yuba (SV),LDA,Elec,PMTW,ELEC,PM,7.202753959524771e-06
2017,July,Yuba (SV),LDA,Elec,PMTW,ELEC,PM10,7.202753959524771e-06
2017,July,Yuba (SV),LDA,Elec,PMTW,ELEC,PM2_5,1.8006884898811928e-06
2017,July,Yuba (SV),LDA,Gas,DIURN,CAT,TOG,0.07224748598481438
2017,July,Yuba (SV),LDA,Gas,DIURN,NCAT,TOG,0.002046700047706073
2017,July,Yuba (SV),LDA,Gas,HOTSOAK,CAT,TOG,0.017075126187572003
2017,July,Yuba (SV),LDA,Gas,HOTSOAK,NCAT,TOG,0.0010768380471060082
2017,July,Yuba (SV),LDA,Gas,PMBW,CAT,PM,0.007033568117920251
2017,July,Yuba (SV),LDA,Gas,PMBW,CAT,PM10,0.007033568117920251
2017,July,Yuba (SV),LDA,Gas,PMBW,CAT,PM2_5,0.002461748841272088
2017,July,Yuba (SV),LDA,Gas,PMBW,NCAT,PM,3.315685933922633e-06
2017,July,Yuba (SV),LDA,Gas,PMBW,NCAT,PM10,3.315685933922633e-06
2017,July,Yuba (SV),LDA,Gas,PMBW,NCAT,PM2_5,1.1604900768729212e-06
2017,July,Yuba (SV),LDA,Gas,PMTW,CAT,PM,0.007219192129517498
2017,July,Yuba (SV),LDA,Gas,PMTW,CAT,PM10,0.007219192129517498
2017,July,Yuba (SV),LDA,Gas,PMTW,CAT,PM2_5,0.0018047980323793746
2017,July,Yuba (SV),LDA,Gas,PMTW,NCAT,PM,3.211462560942661e-06
2017,July,Yuba (SV),LDA,Gas,PMTW,NCAT,PM10,3.211462560942661e-06
