calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2021,July,Inyo (GBV),LDA,BEV,PMBW,ELEC,PM,8.786375478510723e-05
2021,July,Inyo (GBV),LDA,BEV,PMBW,ELEC,PM10,8.786375478510723e-05
2021,July,Inyo (GBV),LDA,BEV,PMBW,ELEC,PM2_5,3.075231417478754e-05
2021,July,Inyo (GBV),LDA,BEV,PMTW,ELEC,PM,0.00031938524611475747
2021,July,Inyo (GBV),LDA,BEV,PMTW,ELEC,PM10,0.00031938524611475747
2021,July,Inyo (GBV),LDA,BEV,PMTW,ELEC,PM2_5,7.984631152868937e-05
2021,July,Inyo (GBV),LDA,Dsl,PMBW,DSL,PM,3.2324345913135e-05
2021,July,Inyo (GBV),LDA,Dsl,PMBW,DSL,PM10,3.2324345913135e-05
2021,July,Inyo (GBV),LDA,Dsl,PMBW,DSL,PM2_5,1.131352106959725e-05
2021,July,Inyo (GBV),LDA,Dsl,PMTW,DSL,PM,4.019818046204599e-05
2021,July,Inyo (GBV),LDA,Dsl,PMTW,DSL,PM10,4.019818046204599e-05
2021,July,Inyo (GBV),LDA,Dsl,PMTW,DSL,PM2_5,1.0049545115511498e-05
2021,July,Inyo (GBV),LDA,Dsl,RUNEX,DSL,CO,0.0031718996624030167
2021,July,Inyo (GBV),LDA,Dsl,RUNEX,DSL,NH3,1.557679046472002e-05
2021,July,Inyo (GBV),LDA,Dsl,RUNEX,DSL,NOx,0.0027200198598786615
2021,July,Inyo (GBV),LDA,Dsl,RUNEX,DSL,PM,0.00022406193306269323
2021,July,Inyo (GBV),LDA,Dsl,RUNEX,DSL,PM10,0.00022271756146431714
2021,July,Inyo (GBV),LDA,Dsl,RUNEX,DSL,PM2_5,0.00021308289834262123
2021,July,Inyo (GBV),LDA,Dsl,RUNEX,DSL,SOx,4.287170006098403e-06
2021,July,Inyo (GBV),LDA,Dsl,RUNEX,DSL,TOG,0.0003880232171922935
2021,July,Inyo (GBV),LDA,Gas,DIURN,CAT,TOG,0.143419349614768
2021,July,Inyo (GBV),LDA,Gas,DIURN,NCAT,TOG,0.005678634387258152
2021,July,Inyo (GBV),LDA,Gas,HOTSOAK,CAT,TOG,0.04460402204063252
2021,July,Inyo (GBV),LDA,Gas,HOTSOAK,NCAT,TOG,0.0033000790617111193
2021,July,Inyo (GBV),LDA,Gas,PMBW,CAT,PM,0.00660436760171969
2021,July,Inyo (GBV),LDA,Gas,PMBW,CAT,PM10,0.00660436760171969
2021,July,Inyo (GBV),LDA,Gas,PMBW,CAT,PM2_5,0.002311528660601891
2021,July,Inyo (GBV),LDA,Gas,PMBW,NCAT,PM,2.9280603280236852e-06
2021,July,Inyo (GBV),LDA,Gas,PMBW,NCAT,PM10,2.9280603280236852e-06
2021,July,Inyo (GBV),LDA,Gas,PMBW,NCAT,PM2_5,1.02482111480829e-06
2021,July,Inyo (GBV),LDA,Gas,PMTW,CAT,PM,0.008353151950790264
2021,July,Inyo (GBV),LDA,Gas,PMTW,CAT,PM10,0.008353151950790264
2021,July,Inyo (GBV),LDA,Gas,PMTW,CAT,PM2_5,0.002088287987697566
2021,July,Inyo (GBV),LDA,Gas,PMTW,NCAT,PM,3.489189589316927e-06
2021,July,Inyo (GBV),LDA,Gas,PMTW,NCAT,PM10,3.489189589316927e-06
2021,July,Inyo (GBV),LDA,Gas,PMTW,NCAT,PM2_5,8.722973973292317e-07
2021,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,CO,2.7568569191047807
2021,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,NH3,0.029656941297342244
2021,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,NOx,0.0905034572245801
2021,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,PM,0.0028999264502388073
2021,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,PM10,0.002603815614040331
2021,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,PM2_5,0.002399735510977636
2021,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,SOx,0.001523379359347986
2021,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,TOG,0.05077714482696522
2021,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,CO,0.040505352569196344
2021,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,NH3,6.566141958854511e-06
2021,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,NOx,0.0017916281320114601
2021,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,PM,2.728465555341067e-05
2021,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,PM10,2.591178816390311e-05
2021,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,PM2_5,2.4582226856241304e-05
2021,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,SOx,1.3648552831400636e-06
2021,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,TOG,0.002398961523377271
2021,July,Inyo (GBV),LDA,Gas,RUNLOSS,CAT,TOG,0.05061138160160149
2021,July,Inyo (GBV),LDA,Gas,RUNLOSS,NCAT,TOG,0.0001841774270277533
2021,July,Inyo (GBV),LDA,Gas,STREX,CAT,CO,0.5595237749404272
2021,July,Inyo (GBV),LDA,Gas,STREX,CAT,NOx,0.04007533225773479
2021,July,Inyo (GBV),LDA,Gas,STREX,CAT,PM,0.00045327597795537553
2021,July,Inyo (GBV),LDA,Gas,STREX,CAT,PM10,0.00040604408754098644
2021,July,Inyo (GBV),LDA,Gas,STREX,CAT,PM2_5,0.0003737489659486272
2021,July,Inyo (GBV),LDA,Gas,STREX,CAT,SOx,5.11431848685462e-05
2021,July,Inyo (GBV),LDA,Gas,STREX,CAT,TOG,0.06327412851446393
2021,July,Inyo (GBV),LDA,Gas,STREX,NCAT,CO,0.0012683010713943534
2021,July,Inyo (GBV),LDA,Gas,STREX,NCAT,NOx,4.073721573389118e-05
2021,July,Inyo (GBV),LDA,Gas,STREX,NCAT,PM,2.9149127147510476e-06
2021,July,Inyo (GBV),LDA,Gas,STREX,NCAT,PM10,2.712331753771456e-06
2021,July,Inyo (GBV),LDA,Gas,STREX,NCAT,PM2_5,2.5469236208459863e-06
2021,July,Inyo (GBV),LDA,Gas,STREX,NCAT,SOx,4.2410576032990615e-08
2021,July,Inyo (GBV),LDA,Gas,STREX,NCAT,TOG,0.00018746137122204888
2021,July,Inyo (GBV),LDA,Phe,DIURN,CAT,TOG,0.0005607565363789314
2021,July,Inyo (GBV),LDA,Phe,HOTSOAK,CAT,TOG,0.00011813006033282223
2021,July,Inyo (GBV),LDA,Phe,PMBW,CAT,PM,6.944480596027472e-05
2021,July,Inyo (GBV),LDA,Phe,PMBW,CAT,PM10,6.944480596027472e-05
2021,July,Inyo (GBV),LDA,Phe,PMBW,CAT,PM2_5,2.4305682086096153e-05
2021,July,Inyo (GBV),LDA,Phe,PMTW,CAT,PM,0.00021709735376053947
2021,July,Inyo (GBV),LDA,Phe,PMTW,CAT,PM10,0.00021709735376053947
2021,July,Inyo (GBV),LDA,Phe,PMTW,CAT,PM2_5,5.427433844013487e-05
2021,July,Inyo (GBV),LDA,Phe,RUNEX,CAT,CO,0.012642216520356318
2021,July,Inyo (GBV),LDA,Phe,RUNEX,CAT,NH3,0.000385498555076942
2021,July,Inyo (GBV),LDA,Phe,RUNEX,CAT,NOx,8.137140574898534e-05
2021,July,Inyo (GBV),LDA,Phe,RUNEX,CAT,PM,3.798299854442659e-05
2021,July,Inyo (GBV),LDA,Phe,RUNEX,CAT,PM10,3.395680069871737e-05
2021,July,Inyo (GBV),LDA,Phe,RUNEX,CAT,PM2_5,3.122202480351866e-05
2021,July,Inyo (GBV),LDA,Phe,RUNEX,CAT,SOx,1.9153264836017805e-05
2021,July,Inyo (GBV),LDA,Phe,RUNEX,CAT,TOG,6.314225710840346e-05
2021,July,Inyo (GBV),LDA,Phe,RUNLOSS,CAT,TOG,9.832468146982e-05
2021,July,Inyo (GBV),LDA,Phe,STREX,CAT,CO,0.002432823765599659
2021,July,Inyo (GBV),LDA,Phe,STREX,CAT,NOx,0.0002203050778356383
2021,July,Inyo (GBV),LDA,Phe,STREX,CAT,PM,7.084521255769969e-06
2021,July,Inyo (GBV),LDA,Phe,STREX,CAT,PM10,6.3335620026583545e-06
2021,July,Inyo (GBV),LDA,Phe,STREX,CAT,PM2_5,5.823476472242913e-06
2021,July,Inyo (GBV),LDA,Phe,STREX,CAT,SOx,6.927495529922365e-07
2021,July,Inyo (GBV),LDA,Phe,STREX,CAT,TOG,0.00032359355313578083
2021,July,Inyo (GBV),LDT1,BEV,PMBW,ELEC,PM,2.2515215209514917e-07
2021,July,Inyo (GBV),LDT1,BEV,PMBW,ELEC,PM10,2.2515215209514917e-07
2021,July,Inyo (GBV),LDT1,BEV,PMBW,ELEC,PM2_5,7.880325323330219e-08
2021,July,Inyo (GBV),LDT1,BEV,PMTW,ELEC,PM,8.090706836881266e-07
2021,July,Inyo (GBV),LDT1,BEV,PMTW,ELEC,PM10,8.090706836881266e-07
2021,July,Inyo (GBV),LDT1,BEV,PMTW,ELEC,PM2_5,2.0226767092203164e-07
2021,July,Inyo (GBV),LDT1,Dsl,PMBW,DSL,PM,7.094637063666049e-07
2021,July,Inyo (GBV),LDT1,Dsl,PMBW,DSL,PM10,7.094637063666049e-07
2021,July,Inyo (GBV),LDT1,Dsl,PMBW,DSL,PM2_5,2.483122972283116e-07
2021,July,Inyo (GBV),LDT1,Dsl,PMTW,DSL,PM,6.286196318243266e-07
2021,July,Inyo (GBV),LDT1,Dsl,PMTW,DSL,PM10,6.286196318243266e-07
2021,July,Inyo (GBV),LDT1,Dsl,PMTW,DSL,PM2_5,1.5715490795608165e-07
2021,July,Inyo (GBV),LDT1,Dsl,RUNEX,DSL,CO,0.00014465054150234014
2021,July,Inyo (GBV),LDT1,Dsl,RUNEX,DSL,NH3,2.435900375187926e-07
2021,July,Inyo (GBV),LDT1,Dsl,RUNEX,DSL,NOx,0.00012174958079768435
2021,July,Inyo (GBV),LDT1,Dsl,RUNEX,DSL,PM,2.0474065232393876e-05
2021,July,Inyo (GBV),LDT1,Dsl,RUNEX,DSL,PM10,2.035122084099951e-05
2021,July,Inyo (GBV),LDT1,Dsl,RUNEX,DSL,PM2_5,1.9470836036006563e-05
2021,July,Inyo (GBV),LDT1,Dsl,RUNEX,DSL,SOx,1.1033785775018973e-07
2021,July,Inyo (GBV),LDT1,Dsl,RUNEX,DSL,TOG,2.7359928582099793e-05
2021,July,Inyo (GBV),LDT1,Gas,DIURN,CAT,TOG,0.054605695675087405
2021,July,Inyo (GBV),LDT1,Gas,DIURN,NCAT,TOG,0.000946173196118696
2021,July,Inyo (GBV),LDT1,Gas,HOTSOAK,CAT,TOG,0.012934242582562781
2021,July,Inyo (GBV),LDT1,Gas,HOTSOAK,NCAT,TOG,0.000523728125544291
2021,July,Inyo (GBV),LDT1,Gas,PMBW,CAT,PM,0.0012012743818149724
2021,July,Inyo (GBV),LDT1,Gas,PMBW,CAT,PM10,0.0012012743818149724
2021,July,Inyo (GBV),LDT1,Gas,PMBW,CAT,PM2_5,0.00042044603363524026
2021,July,Inyo (GBV),LDT1,Gas,PMBW,NCAT,PM,1.1678402640391389e-06
2021,July,Inyo (GBV),LDT1,Gas,PMBW,NCAT,PM10,1.1678402640391389e-06
2021,July,Inyo (GBV),LDT1,Gas,PMBW,NCAT,PM2_5,4.087440924136987e-07
2021,July,Inyo (GBV),LDT1,Gas,PMTW,CAT,PM,0.001208281102012098
2021,July,Inyo (GBV),LDT1,Gas,PMTW,CAT,PM10,0.001208281102012098
2021,July,Inyo (GBV),LDT1,Gas,PMTW,CAT,PM2_5,0.0003020702755030245
2021,July,Inyo (GBV),LDT1,Gas,PMTW,NCAT,PM,1.034216232091597e-06
2021,July,Inyo (GBV),LDT1,Gas,PMTW,NCAT,PM10,1.034216232091597e-06
2021,July,Inyo (GBV),LDT1,Gas,PMTW,NCAT,PM2_5,2.5855405802289927e-07
2021,July,Inyo (GBV),LDT1,Gas,RUNEX,CAT,CO,0.7843447847123264
2021,July,Inyo (GBV),LDT1,Gas,RUNEX,CAT,NH3,0.005490614281042438
2021,July,Inyo (GBV),LDT1,Gas,RUNEX,CAT,NOx,0.04794589287875152
2021,July,Inyo (GBV),LDT1,Gas,RUNEX,CAT,PM,0.0006966289695755522
2021,July,Inyo (GBV),LDT1,Gas,RUNEX,CAT,PM10,0.0006247894280464606
2021,July,Inyo (GBV),LDT1,Gas,RUNEX,CAT,PM2_5,0.0005754692708771056
2021,July,Inyo (GBV),LDT1,Gas,RUNEX,CAT,SOx,0.00026023488680307973
2021,July,Inyo (GBV),LDT1,Gas,RUNEX,CAT,TOG,0.018960664245352078
2021,July,Inyo (GBV),LDT1,Gas,RUNEX,NCAT,CO,0.007760608454671068
2021,July,Inyo (GBV),LDT1,Gas,RUNEX,NCAT,NH3,2.7653959242926277e-06
2021,July,Inyo (GBV),LDT1,Gas,RUNEX,NCAT,NOx,0.0004319837460324614
2021,July,Inyo (GBV),LDT1,Gas,RUNEX,NCAT,PM,8.063782039587108e-06
2021,July,Inyo (GBV),LDT1,Gas,RUNEX,NCAT,PM10,7.471405042692629e-06
2021,July,Inyo (GBV),LDT1,Gas,RUNEX,NCAT,PM2_5,7.00046570868488e-06
2021,July,Inyo (GBV),LDT1,Gas,RUNEX,NCAT,SOx,3.487769590369045e-07
2021,July,Inyo (GBV),LDT1,Gas,RUNEX,NCAT,TOG,0.0004598735085680551
2021,July,Inyo (GBV),LDT1,Gas,RUNLOSS,CAT,TOG,0.02593685077879532
2021,July,Inyo (GBV),LDT1,Gas,RUNLOSS,NCAT,TOG,6.604739720868275e-05
2021,July,Inyo (GBV),LDT1,Gas,STREX,CAT,CO,0.20820460683868322
2021,July,Inyo (GBV),LDT1,Gas,STREX,CAT,NOx,0.013889913136415
2021,July,Inyo (GBV),LDT1,Gas,STREX,CAT,PM,0.0001467775675614149
